data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,best_tested_T,best_tested_T_over_N,best_tested_T_over_K,best_tested_u_bf,best_tested_u_i,best_tested_u_g_value,best_tested_u_g_db,prev_T,prev_T_u_g,next_T,next_T_u_g,row_power_cv,row_power_skew3,row_power_p95_p50,row_power_p99_p50,row_power_max_p95,log_power_gap_max,log_power_gap_rank,log_power_gap_rank_pct,tail_mass_p80,tail_mass_p90,tail_mass_p95,tail_mass_p99
rician,42,0,1000,10,250,1.0,1.0,75.0,25.0,208,0.208,0.832,16006.759332762209,220739582.83692652,8.256383035604906e+17,179.16789832828533,207,7.674821270355565e+17,209,8.018907116813916e+17,0.2388612163288893,0.4841948716400977,1.4285167670264496,1.6612392985044917,1.4004549385744882,0.23106143947727964,998,0.998,0.2710410993749533,0.14564842766817093,0.07750482094802147,0.017707493087459305
rician,42,1,1000,10,250,1.0,1.0,75.0,25.0,184,0.184,0.736,17027.792185557948,248892896.56900367,3.059668443167242e+18,184.85674367297122,183,2.986182804174125e+18,185,3.0503436927155584e+18,0.23166190353685434,0.35872705863126453,1.4281116057040888,1.5935064503705882,1.3264696453268705,0.052950462804743026,999,0.999,0.26853717816143835,0.1437080440001004,0.07557438279702186,0.016805805057047297
rician,42,2,1000,10,250,1.0,1.0,75.0,25.0,225,0.225,0.9,17071.45631037563,250344542.16799116,2.6264719348905626e+18,184.19372764519565,224,2.6235860709991834e+18,226,2.4969906626287913e+18,0.22833487290095583,0.34103374792054425,1.4204045921807358,1.6330355811207635,1.3039774804622093,0.04963997061204672,2,0.002,0.2669436089163673,0.1432613579758262,0.07571511836058745,0.016596289007393454
rician,42,3,1000,10,250,1.0,1.0,75.0,25.0,213,0.213,0.852,16568.835239407148,236082392.3197945,1.7871856829904407e+18,182.52169676685168,212,1.693504230042433e+18,214,1.7701333517118874e+18,0.23458601268895676,0.5370445172793509,1.4570670691147452,1.6545831276225287,1.3266089093848201,0.18744490672567116,999,0.999,0.2698370034161859,0.14629083542139704,0.07800844251187486,0.01749993604338434
rician,42,4,1000,10,250,1.0,1.0,75.0,25.0,110,0.11,0.44,17555.410914139207,266245732.52293414,1.1390542891346504e+18,180.56544423736455,109,1.1071061499255383e+18,111,1.0900726495898641e+18,0.22915135536205586,0.3923882837851359,1.4346438804201254,1.632389257735957,1.3813436848105116,0.21728437105475984,999,0.999,0.266963771726177,0.14389978919614024,0.07677941646912552,0.016825278395375516
rician,42,5,1000,10,250,1.0,1.0,75.0,25.0,240,0.24,0.96,15444.043061750106,204314451.645328,1.5160239295811697e+18,181.80706056443157,239,1.4900350648130767e+18,241,1.489657738571511e+18,0.24242714818508104,0.5333826401387749,1.4430708487958348,1.7278100572197992,1.3864009334510925,0.23384618696595405,998,0.998,0.2718434639673322,0.1467257807126553,0.07877192469671411,0.017977802553835718
rician,42,6,1000,10,250,1.0,1.0,75.0,25.0,30,0.03,0.12,18941.051482651175,310378513.4039097,1.711513215856241e+18,182.33380256994948,29,1.5440829350461742e+18,31,1.6868775685781164e+18,0.23319355498777514,0.38808188359449686,1.4336235735532379,1.6408696059901988,1.3182772096752424,0.09726525047078269,1,0.001,0.26874980807831367,0.14431096257730014,0.07636406889341076,0.016794933146090932
rician,42,7,1000,10,250,1.0,1.0,75.0,25.0,149,0.149,0.596,16391.296849188206,232052022.1713122,5.977776391955596e+17,177.76539665545002,148,5.85699174940102e+17,150,5.885577052907764e+17,0.22986285306258503,0.32336044589217716,1.4258720068158877,1.5707857336328501,1.4757281790852304,0.18949664349734513,1,0.001,0.2667843312683498,0.14246128960931154,0.07499321791815682,0.01671060888699424
rician,42,8,1000,10,250,1.0,1.0,75.0,25.0,45,0.045,0.18,18065.441487673637,283232602.1151347,5.019164457515924e+17,177.00631425971267,44,4.900795897366338e+17,46,4.9492875219576403e+17,0.2308644208757261,0.4001720236097378,1.4345622244717362,1.6318303124813571,1.4086569765340804,0.1069841990961829,2,0.002,0.26842275424197787,0.1441154389076626,0.0763251484405945,0.01684020263938462
rician,42,9,1000,10,250,1.0,1.0,75.0,25.0,185,0.185,0.74,17527.09059260629,264417470.7588396,2.020395041959753e+18,183.05436294084933,184,2.0147614824057206e+18,186,1.9056993586019791e+18,0.23501064648510736,0.34530166047094024,1.4378557142378294,1.6142721943004301,1.2922410763073133,0.15153393874768684,998,0.998,0.26911482245992757,0.144782777106947,0.07695722358771608,0.01679868076693719
rician,42,10,1000,10,250,1.0,1.0,75.0,25.0,57,0.057,0.228,18930.442299649134,310500832.85434335,1.1081137705925359e+18,180.44584351912252,56,1.0961117392839603e+18,58,1.1051315685613457e+18,0.23660420563613743,0.360987133454072,1.4270027542817385,1.6355444892675342,1.3612803864979386,0.08479246323389034,999,0.999,0.26977640669013964,0.14402053349929156,0.07614511547090909,0.01727993163069601
rician,42,11,1000,10,250,1.0,1.0,75.0,25.0,128,0.128,0.512,18443.17758329266,293397006.10814804,2.489262834328325e+18,183.96070754974193,127,2.3778573295781555e+18,129,2.4628835494257034e+18,0.22880601604040066,0.3515507039145605,1.4156434378385319,1.5645092138042664,1.2890737350901256,0.13120643596244697,997,0.997,0.2672411365776889,0.14312288422319241,0.07593926329013037,0.016999289730312957
