data_profile,N,L,K,off_pct,active_pct,T,samples,winner_rate,u_bf_mean,u_i_mean,u_g_mean,u_g_p05,u_g_p50,u_g_p95,u_g_db_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,elapsed_seconds_mean
lognormal,500,4,125,75.0,25.0,0,100,0.0,97.25157625607075,454.1041110471132,1450664.1875816858,1148.8315982940517,155402.21783651778,7119080.543790889,51.530819206751154,0.10618588065605229,0.008044563014778617,89.38141193439476,5.931264982791617e-05
lognormal,500,4,125,75.0,25.0,1,100,0.0,114.7419021983901,514.9612017964239,1893650.3669369756,16433.654771818194,399161.40445641906,7757218.656302414,55.552874677155906,0.20052331742745222,0.027507879554453774,79.94766825725478,3.311355045298114e-05
lognormal,500,4,125,75.0,25.0,2,100,0.0,124.41539914319654,543.443045247556,2190284.0542410854,16050.010678422394,598764.8659187374,9189055.861462649,57.35092040343842,0.2712774549138209,0.07279396692553015,72.87225450861791,3.041557181859389e-05
lognormal,500,4,125,75.0,25.0,3,100,0.0,131.0077891373711,560.3418303224245,2584787.783344075,31104.856358853533,694978.7048081986,11057992.61320924,58.33800891960038,0.33627387879754034,0.07981339297055315,66.37261212024596,2.978833857923746e-05
lognormal,500,4,125,75.0,25.0,4,100,0.02,138.4145170507842,601.7439659503708,3190392.135415867,37058.608920106824,847270.2289092487,12392879.97472911,59.2894212529851,0.4024948545159811,0.12307042033571604,59.75051454840189,2.971702051581815e-05
lognormal,500,4,125,75.0,25.0,5,100,0.06,143.75752716026432,618.6841793810189,3520401.4582440197,47399.342370917664,944590.696041314,15368605.943283744,60.055133704203506,0.47641423033826125,0.15969905015742297,52.35857696617388,2.9686381458304824e-05
lognormal,500,4,125,75.0,25.0,6,100,0.0,149.18997624364053,665.418157170658,3895723.0756557896,44491.011653789225,1197303.7183124078,18462824.900887426,60.73614833835233,0.5283253727515814,0.1953130987423569,47.167462724841855,2.9449560970533638e-05
lognormal,500,4,125,75.0,25.0,7,100,0.04,151.41859056743345,675.8660192139013,4033489.7410082566,54579.15386114342,1338098.9483579895,18663655.655318335,61.050857786258,0.5655092713264998,0.22576079047818573,43.44907286735003,2.995038143126294e-05
lognormal,500,4,125,75.0,25.0,8,100,0.01,154.32934261025247,684.9721080558899,4191051.1955293524,54867.02689183202,1267439.639293001,18283094.857866656,61.41591907086351,0.602016905383751,0.2690840799662784,39.7983094616249,2.8960689960513263e-05
lognormal,500,4,125,75.0,25.0,9,100,0.02,155.40452533227693,665.7470345070107,4245726.254510561,77731.00260061561,1405331.6580362106,17996021.635789756,61.61048786242807,0.6221333353573221,0.285088795444176,37.78666646426779,2.917439123848453e-05
lognormal,500,4,125,75.0,25.0,10,100,0.04,157.48792152317787,687.5010346207315,4441475.870478335,68909.80112475708,1495815.3055973705,18369268.787383884,61.84232675216887,0.6503907368427545,0.34023852010127936,34.96092631572455,2.9047921125311404e-05
lognormal,500,4,125,75.0,25.0,11,100,0.05,159.48176103800935,687.6621424608725,4583603.25329888,73615.77265965137,1533828.490572326,20619830.5088362,62.10430544772842,0.6823896257279212,0.39578504221138977,31.761037427207885,2.886497037252411e-05
lognormal,500,4,125,75.0,25.0,12,100,0.02,160.3319173684979,661.4274947216999,4582926.344447162,67781.99970328965,1661826.5812646544,18506806.025855374,62.25613433440644,0.7019012257041684,0.4460867086098664,29.809877429583167,2.914366836193949e-05
lognormal,500,4,125,75.0,25.0,13,100,0.01,161.75320721350073,674.3037981624922,4822746.195758364,69370.55252077355,1691849.5302146743,16889366.27211768,62.379219104069925,0.7204809082149443,0.45908727317578046,27.95190917850557,2.9069008596707136e-05
lognormal,500,4,125,75.0,25.0,14,100,0.02,161.93570563259112,653.5429316335167,4877146.844677753,71673.98779473765,1554470.9626596035,16674508.51953318,62.416423741531034,0.7267967371506088,0.4971546661023788,27.320326284939128,2.9572520288638772e-05
lognormal,500,4,125,75.0,25.0,15,100,0.02,161.76405434763356,653.0527378124342,4896641.316249471,66185.67239292477,1601003.9663145253,22422163.35647982,62.395232995566396,0.723176389949552,0.4523176389478589,27.6823610050448,2.976184041472152e-05
lognormal,500,4,125,75.0,25.0,16,100,0.1,163.95146204203448,657.325666657737,5190174.745855382,65913.24575614341,1668156.6137782945,22866881.80404127,62.61202730837646,0.7589075211775739,0.4727323199038393,24.109247882242606,2.957464836072177e-05
lognormal,500,4,125,75.0,25.0,17,100,0.06,164.2780640665982,663.265217009833,5112052.337441804,68127.56876088218,1660310.5005884636,21389721.808478955,62.682723513628545,0.7696127470426899,0.4897423988122272,23.038725295731016,2.9749211680609733e-05
lognormal,500,4,125,75.0,25.0,18,100,0.03,164.47722102439224,664.3200491881101,5112149.029337836,74134.59244399921,1656352.0853066854,19271555.83242813,62.72479075979437,0.773143835254181,0.5605286830994883,22.685616474581913,2.905358123825863e-05
lognormal,500,4,125,75.0,25.0,19,100,0.04,164.95036300850043,647.0756100175644,5163391.177850284,83606.13615887742,1641397.6454532936,18771845.056976233,62.781325065067065,0.7825849836018728,0.5423434305665101,21.74150163981273,2.902497013565153e-05
lognormal,500,4,125,75.0,25.0,20,100,0.08,165.16126405902259,647.8127666915316,5112959.42237334,77704.21546797916,1995915.1687339153,17827159.85757484,62.79792647824088,0.7853606381030543,0.5602413933229368,21.463936189694568,2.9371420969255268e-05
lognormal,500,4,125,75.0,25.0,21,100,0.03,165.23103800642727,633.0149413575074,5033326.273331431,72929.70323481502,1956480.0855786058,16979079.21996705,62.85388718784335,0.7927094373274113,0.5766031678463239,20.729056267258876,2.874839003197849e-05
lognormal,500,4,125,75.0,25.0,22,100,0.07,165.37905987691073,621.8906063818837,5052544.797326055,66471.11257368162,2033037.4945225297,16861820.500647236,62.88173157075773,0.7987562308351268,0.5927103365156665,20.124376916487325,2.8844779590144752e-05
lognormal,500,4,125,75.0,25.0,23,100,0.04,164.95249621959695,617.3741157789002,5036471.115492055,65566.47069756723,2046187.134119094,18252260.294585127,62.80790486944229,0.7846504408247044,0.577260225834595,21.534955917529558,2.885456895455718e-05
lognormal,500,4,125,75.0,25.0,24,100,0.03,164.37908398334363,628.1900396647711,4889864.407683502,74255.0810233433,2025366.6212046887,17615657.091179013,62.761609648533074,0.7771395761749357,0.5773556562047325,22.28604238250643,2.9221898294053973e-05
lognormal,500,4,125,75.0,25.0,25,100,0.03,164.05370584938728,616.0058542456379,4894275.688188871,72216.47844282864,1965575.8983506681,17462699.52112576,62.725675866972736,0.7717038248972997,0.5728677502030677,22.829617510270023,2.9184169834479688e-05
lognormal,500,4,125,75.0,25.0,26,100,0.02,164.02413001800585,597.5965665223973,4910244.421573034,77029.41834191905,1874663.8443600354,16800730.656114385,62.753176956481965,0.7751373696273016,0.5802935586505035,22.486263037269836,2.85654203617014e-05
lognormal,500,4,125,75.0,25.0,27,100,0.01,163.20105659846894,584.5608711672,4825341.602314275,74709.43983788532,2048759.5094588816,16841225.74824493,62.66659799409541,0.7589224009735692,0.5786066438488425,24.107759902643078,2.8570338618010282e-05
lognormal,500,4,125,75.0,25.0,28,100,0.01,162.27861626382833,588.7908074036532,4695737.405447367,78949.55480903936,1945640.1643239772,16365613.587267002,62.5693763436982,0.7422980542433649,0.5507641087066477,25.770194575663503,2.8877617442049086e-05
lognormal,500,4,125,75.0,25.0,29,100,0.02,161.528089856791,590.5450115444911,4547786.8573478125,73704.42843587381,1876967.357213093,16582911.022223754,62.50985542066529,0.7323044488558226,0.5456424889497246,26.769555114417734,2.899350016377866e-05
lognormal,500,4,125,75.0,25.0,30,100,0.02,161.6412945095113,605.8890943573776,4581395.958174324,74108.93997376385,1798558.82348461,16079372.156720439,62.49378986574689,0.7304702199396632,0.522841652299888,26.95297800603368,2.8390821535140275e-05
lognormal,500,4,125,75.0,25.0,31,100,0.03,161.3204796083248,604.6102338450464,4537247.235020947,77213.09717200755,1703655.8813848076,15795422.45457694,62.46288660076604,0.726466003707856,0.5210935085315559,27.353399629214405,2.8784699679818004e-05
lognormal,500,4,125,75.0,25.0,32,100,0.04,160.20553681614945,596.7266494816988,4395975.063943857,76438.4205696675,1648619.0488370764,15010437.615805015,62.34288308374189,0.7081333391512983,0.5031412716970788,29.18666608487016,2.8964881494175643e-05
lognormal,500,4,125,75.0,25.0,33,100,0.02,159.14221810185347,578.7993884226296,4284360.857305819,72612.08058521607,1611125.4021692157,14635183.778918581,62.24854813218853,0.6944893176028316,0.4825203519868697,30.551068239716848,2.9064849368296563e-05
lognormal,500,4,125,75.0,25.0,34,100,0.0,158.14221025752244,573.7631664456644,4141827.743951906,70320.76342134373,1673601.8191419297,13598161.091831533,62.15752718015804,0.680714877069967,0.4614743120052058,31.92851229300329,2.9065500129945576e-05
lognormal,500,4,125,75.0,25.0,35,100,0.01,157.18315840098262,562.2814462747264,3992752.0664398624,66965.9988327587,1555604.9203402032,12974970.46383106,62.092544474255156,0.6705466040034476,0.458825838847593,32.94533959965524,2.8923041827511043e-05
lognormal,500,4,125,75.0,25.0,36,100,0.0,156.45784664126577,561.3153867097976,3881006.4420745634,70813.61989017134,1604340.9017271348,12152610.991005896,62.028268519719404,0.6610234539889975,0.4715051594003737,33.89765460110025,2.894182049203664e-05
lognormal,500,4,125,75.0,25.0,37,100,0.0,155.72427242929356,558.3801244673704,3830104.5148362922,66652.18521360683,1628493.5924140946,12188153.149997473,61.93794299542728,0.6474660756804148,0.43936625557972275,35.25339243195852,2.8200061642564833e-05
lognormal,500,4,125,75.0,25.0,38,100,0.0,155.20225366757413,544.7372172229693,3851868.9429077376,67838.81441325472,1590950.1337572932,12556455.21901257,61.88083074437174,0.6390534437905109,0.43599981623083867,36.09465562094891,2.939303987659514e-05
lognormal,500,4,125,75.0,25.0,39,100,0.0,154.75385759127818,557.1684073992925,3794404.334015054,65819.25347163418,1676239.201415194,12078747.68906172,61.82425976267742,0.6332198846099629,0.40522690232196745,36.6780115390037,2.8649140731431543e-05
lognormal,500,4,125,75.0,25.0,40,100,0.0,154.13539937472603,555.6740931277815,3735705.7809538925,64360.03097009611,1636825.3703852557,12495178.446821839,61.75246606171462,0.6240186469054536,0.39982886025515585,37.59813530945463,2.842218935256824e-05
lognormal,500,4,125,75.0,25.0,41,100,0.0,153.19673766533973,544.411694547605,3643189.609368244,67263.50930111083,1582893.6308394508,12159278.32093806,61.66158345246462,0.6112457180923001,0.3731224076564055,38.87542819077,2.846682065865025e-05
