active_pct,cases,active_pct_actual_mean,best_T_mean,best_T_p50,best_T_p95,best_T_over_N_mean,best_T_over_K_mean,T_0p05N_over_N_mean,T_0p05N_over_K_mean,threshold_fraction_exact_mean,threshold_fraction_exact_p05,threshold_exact_rate,exact_is_threshold_window_rate
25.0,500,25.0,0.31,0.0,2.0,0.017808333333333332,0.07123333333333333,0.05,0.20000000000000004,0.9887542575624889,0.9243635726879758,0.744,0.744
30.0,500,29.75,0.376,0.0,2.0,0.022375,0.07629999999999999,0.05,0.1696190476190476,0.9861743700687335,0.9085214843827064,0.7,0.7
35.0,500,35.333333333333336,0.394,0.0,2.0,0.02145,0.061380952380952376,0.05,0.1419047619047619,0.9877993208216574,0.9258496073386842,0.688,0.688
40.0,500,39.666666666666664,0.474,0.0,2.0499999999999545,0.025816666666666665,0.06426666666666667,0.05,0.12633333333333335,0.9906191008096293,0.9431015270536156,0.712,0.712
45.0,500,45.25,0.458,0.0,2.0,0.024933333333333335,0.05627445887445887,0.05,0.1108975468975469,0.9904678421830113,0.9514665699345324,0.686,0.686
50.0,500,50.0,0.472,0.0,2.0,0.025866666666666666,0.05173333333333333,0.05,0.10000000000000002,0.9900193232180134,0.9405217321516592,0.68,0.68
