data_profile,N,L,K,off_pct,active_pct,formula,formula_family,cases,T_min,T_p50,T_max,outside_dense_rate,u_g_mean,fraction_exact_mean,fraction_exact_p05,fraction_exact_p50,fraction_exact_p95,gap_to_exact_pct_mean,exact_rate
gaussian,8,2,2,70.0,30.0,legacy_T100,legacy,100,2,2.0,2,0.0,2.6910710795592907,0.743196793390943,0.5487317219115487,0.7534388120798257,0.9173264220013087,25.680320660905696,0.01
gaussian,8,2,2,75.0,25.0,legacy_T100,legacy,100,2,2.0,2,0.0,2.6910710795592907,0.743196793390943,0.5487317219115487,0.7534388120798257,0.9173264220013087,25.680320660905696,0.01
gaussian,8,2,2,70.0,30.0,legacy_T25,legacy,100,2,2.0,2,0.0,2.6910710795592907,0.743196793390943,0.5487317219115487,0.7534388120798257,0.9173264220013087,25.680320660905696,0.01
gaussian,8,2,2,75.0,25.0,legacy_T25,legacy,100,2,2.0,2,0.0,2.6910710795592907,0.743196793390943,0.5487317219115487,0.7534388120798257,0.9173264220013087,25.680320660905696,0.01
gaussian,8,2,2,70.0,30.0,legacy_T50,legacy,100,2,2.0,2,0.0,2.6910710795592907,0.743196793390943,0.5487317219115487,0.7534388120798257,0.9173264220013087,25.680320660905696,0.01
gaussian,8,2,2,75.0,25.0,legacy_T50,legacy,100,2,2.0,2,0.0,2.6910710795592907,0.743196793390943,0.5487317219115487,0.7534388120798257,0.9173264220013087,25.680320660905696,0.01
gaussian,8,2,2,70.0,30.0,strong_weak,heuristic,100,3,3.0,3,1.0,2.278400621615919,0.6297307711405074,0.4592100695411368,0.6265202888291495,0.8010620813768622,37.02692288594927,0.0
gaussian,8,2,2,75.0,25.0,strong_weak,heuristic,100,3,3.0,3,1.0,2.278400621615919,0.6297307711405074,0.4592100695411368,0.6265202888291495,0.8010620813768622,37.02692288594927,0.0
gaussian,8,2,3,60.0,40.0,T_0p025N,N,100,0,0.0,0,0.0,6.090102724444532,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156856,0.88
gaussian,8,2,3,65.0,35.0,T_0p025N,N,100,0,0.0,0,0.0,6.090102724444532,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156856,0.88
gaussian,8,2,3,60.0,40.0,T_0p05K,K,100,0,0.0,0,0.0,6.090102724444532,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156856,0.88
gaussian,8,2,3,65.0,35.0,T_0p05K,K,100,0,0.0,0,0.0,6.090102724444532,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156856,0.88
gaussian,8,2,3,60.0,40.0,T_0p05N,N,100,0,0.0,0,0.0,6.090102724444532,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156856,0.88
gaussian,8,2,3,65.0,35.0,T_0p05N,N,100,0,0.0,0,0.0,6.090102724444532,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156856,0.88
gaussian,8,2,3,60.0,40.0,T_0p05NL_over_Lp2,N_L,100,0,0.0,0,0.0,6.090102724444532,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156856,0.88
gaussian,8,2,3,65.0,35.0,T_0p05NL_over_Lp2,N_L,100,0,0.0,0,0.0,6.090102724444532,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156856,0.88
gaussian,8,2,3,60.0,40.0,T_0p075N,N,100,1,1.0,1,0.0,4.9480582820244505,0.8093601495357082,0.6334331315358078,0.80562560117145,0.9712152158774852,19.063985046429178,0.03
gaussian,8,2,3,65.0,35.0,T_0p075N,N,100,1,1.0,1,0.0,4.9480582820244505,0.8093601495357082,0.6334331315358078,0.80562560117145,0.9712152158774852,19.063985046429178,0.03
gaussian,8,2,3,60.0,40.0,T_0p075NL_over_Lp2,N_L,100,0,0.0,0,0.0,6.090102724444532,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156856,0.88
gaussian,8,2,3,65.0,35.0,T_0p075NL_over_Lp2,N_L,100,0,0.0,0,0.0,6.090102724444532,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156856,0.88
gaussian,8,2,3,60.0,40.0,T_0p10K,K,100,0,0.0,0,0.0,6.090102724444532,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156856,0.88
gaussian,8,2,3,65.0,35.0,T_0p10K,K,100,0,0.0,0,0.0,6.090102724444532,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156856,0.88
gaussian,8,2,3,60.0,40.0,T_0p10N,N,100,1,1.0,1,0.0,4.9480582820244505,0.8093601495357082,0.6334331315358078,0.80562560117145,0.9712152158774852,19.063985046429178,0.03
gaussian,8,2,3,65.0,35.0,T_0p10N,N,100,1,1.0,1,0.0,4.9480582820244505,0.8093601495357082,0.6334331315358078,0.80562560117145,0.9712152158774852,19.063985046429178,0.03
gaussian,8,2,3,60.0,40.0,T_0p10NL_over_Lp2,N_L,100,0,0.0,0,0.0,6.090102724444532,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156856,0.88
gaussian,8,2,3,65.0,35.0,T_0p10NL_over_Lp2,N_L,100,0,0.0,0,0.0,6.090102724444532,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156856,0.88
gaussian,8,2,3,60.0,40.0,T_0p125NL_over_Lp2,N_L,100,0,0.0,0,0.0,6.090102724444532,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156856,0.88
gaussian,8,2,3,65.0,35.0,T_0p125NL_over_Lp2,N_L,100,0,0.0,0,0.0,6.090102724444532,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156856,0.88
gaussian,8,2,3,60.0,40.0,T_0p15K,K,100,0,0.0,0,0.0,6.090102724444532,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156856,0.88
gaussian,8,2,3,65.0,35.0,T_0p15K,K,100,0,0.0,0,0.0,6.090102724444532,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156856,0.88
gaussian,8,2,3,60.0,40.0,T_0p15NL_over_Lp2,N_L,100,1,1.0,1,0.0,4.9480582820244505,0.8093601495357082,0.6334331315358078,0.80562560117145,0.9712152158774852,19.063985046429178,0.03
gaussian,8,2,3,65.0,35.0,T_0p15NL_over_Lp2,N_L,100,1,1.0,1,0.0,4.9480582820244505,0.8093601495357082,0.6334331315358078,0.80562560117145,0.9712152158774852,19.063985046429178,0.03
gaussian,8,2,3,60.0,40.0,T_0p20K,K,100,1,1.0,1,0.0,4.9480582820244505,0.8093601495357082,0.6334331315358078,0.80562560117145,0.9712152158774852,19.063985046429178,0.03
gaussian,8,2,3,65.0,35.0,T_0p20K,K,100,1,1.0,1,0.0,4.9480582820244505,0.8093601495357082,0.6334331315358078,0.80562560117145,0.9712152158774852,19.063985046429178,0.03
gaussian,8,2,3,60.0,40.0,best_tested_T,best_tested,100,0,0.0,1,0.0,6.104825603251845,0.9981942445632295,0.9946621350684957,1.0,1.0,0.18057554367705664,0.91
gaussian,8,2,3,65.0,35.0,best_tested_T,best_tested,100,0,0.0,1,0.0,6.104825603251845,0.9981942445632295,0.9946621350684957,1.0,1.0,0.18057554367705664,0.91
gaussian,8,2,3,60.0,40.0,legacy_T100,legacy,100,3,3.0,3,0.0,3.2516567261389664,0.5400744282170585,0.35447203359683294,0.5347917418169569,0.7211827847980959,45.992557178294135,0.0
gaussian,8,2,3,65.0,35.0,legacy_T100,legacy,100,3,3.0,3,0.0,3.2516567261389664,0.5400744282170585,0.35447203359683294,0.5347917418169569,0.7211827847980959,45.992557178294135,0.0
gaussian,8,2,3,60.0,40.0,legacy_T25,legacy,100,3,3.0,3,0.0,3.2516567261389664,0.5400744282170585,0.35447203359683294,0.5347917418169569,0.7211827847980959,45.992557178294135,0.0
gaussian,8,2,3,65.0,35.0,legacy_T25,legacy,100,3,3.0,3,0.0,3.2516567261389664,0.5400744282170585,0.35447203359683294,0.5347917418169569,0.7211827847980959,45.992557178294135,0.0
gaussian,8,2,3,60.0,40.0,legacy_T50,legacy,100,3,3.0,3,0.0,3.2516567261389664,0.5400744282170585,0.35447203359683294,0.5347917418169569,0.7211827847980959,45.992557178294135,0.0
