active_pct,formula,formula_label,cases,active_pct_actual_mean,N_min,N_max,K_min,K_max,T_mean,T_p50,T_over_N_mean,T_over_K_mean,u_g_mean,u_g_p05,u_g_p50,u_g_p95,fraction_exact_mean,fraction_exact_p05,fraction_exact_p50,fraction_exact_p95,exact_rate
25.0,T_0p05N,T=0.05N,500,25.0,8,24,2,6,0.8,1.0,0.0475,0.19,12.127523077811952,3.1042893558199105,8.25856782114732,34.50393125517061,0.8745693982353355,0.6787304721505381,0.8946321400821989,1.0,0.226
25.0,best_tested_T,best tested T,500,25.0,8,24,2,6,0.31,0.0,0.017808333333333332,0.07123333333333333,14.024072424218765,3.190283888153648,9.495096741142754,39.396658060977806,0.9887542575624889,0.9243635726879758,1.0,1.0000000000000004,0.744
25.0,exact_best,exact best,500,25.0,8,24,2,6,0.23387096774193547,0.0,0.014740143369175628,0.05896057347670251,14.245869595645479,3.2648604363661806,9.495096741142754,39.396658060977806,1.0,1.0,1.0,1.0,1.0
25.0,strong_weak,strong/weak H3,500,25.0,8,24,2,6,6.2,6.0,0.3883333333333333,1.5533333333333332,5.774883618498763,1.8223929551650777,4.290496751942573,13.534641283679445,0.47927463742698884,0.25456544238331186,0.4714070989681187,0.7427053973230029,0.0
30.0,T_0p05N,T=0.05N,500,29.75,8,24,2,7,0.8,1.0,0.0475,0.1519047619047619,18.12086694017023,3.1749139507382322,12.998036239738468,52.262362996710344,0.8658001857788014,0.6481974907740976,0.8887904837144389,1.0,0.252
30.0,best_tested_T,best tested T,500,29.75,8,24,2,7,0.376,0.0,0.022375,0.07629999999999999,21.138350256766692,3.190283888153648,15.562506438987498,58.79768716684383,0.9861743700687335,0.9085214843827064,1.0,1.0000000000000004,0.7
30.0,exact_best,exact best,500,29.75,8,24,2,7,0.3742857142857143,0.0,0.023095238095238096,0.07862585034013606,21.52285365405753,3.2648604363661806,15.941816553294075,59.01342171173653,1.0,1.0,1.0,1.0,1.0
30.0,strong_weak,strong/weak H3,500,29.75,8,24,2,7,5.8,6.0,0.3616666666666667,1.2304761904761905,8.471111321712057,1.8849736037350322,6.516931494592215,20.53226997229859,0.4766354446643141,0.23767605350801094,0.46638409185193397,0.7528488802481963,0.0
35.0,T_0p05N,T=0.05N,500,35.333333333333336,8,24,3,8,0.8,1.0,0.0475,0.1369047619047619,25.44980764592755,4.5845753130826035,16.882743053709504,73.86432630130533,0.8671123205896892,0.6409822957476685,0.90103496695439,1.0,0.284
35.0,best_tested_T,best tested T,500,35.333333333333336,8,24,3,8,0.394,0.0,0.02145,0.061380952380952376,29.597452038285823,4.65028736897301,20.022666139419766,82.51412045209916,0.9877993208216574,0.9258496073386842,1.0,1.0000000000000004,0.688
35.0,exact_best,exact best,500,35.333333333333336,8,24,3,8,0.311046511627907,0.0,0.01764777131782946,0.05043950719822812,30.159231248518974,4.735934452125551,20.366324179598664,86.55782808075891,1.0,1.0,1.0,1.0,1.0
35.0,strong_weak,strong/weak H3,500,35.333333333333336,8,24,3,8,5.4,5.0,0.3408333333333333,0.9666666666666667,12.197320041802017,2.5330687064989093,8.726163845258244,32.5638378290273,0.46968215911456596,0.24566878552592716,0.45709106004269284,0.7178955598791379,0.0
40.0,T_0p05N,T=0.05N,500,39.666666666666664,8,24,3,10,0.8,1.0,0.0475,0.11833333333333333,37.531317813049796,4.716693251035737,20.20327838844576,122.19107340712621,0.8641694112301915,0.6315924202249105,0.897532911552791,1.0,0.286
40.0,best_tested_T,best tested T,500,39.666666666666664,8,24,3,10,0.474,0.0,0.025816666666666665,0.06426666666666667,43.63874097745106,4.843729669441618,24.425067638332987,143.7495146937639,0.9906191008096293,0.9431015270536156,1.0,1.0000000000000004,0.712
40.0,exact_best,exact best,500,39.666666666666664,8,24,3,10,0.41853932584269665,0.0,0.023794475655430712,0.05901217228464419,44.26789598015986,4.843729669441619,25.235539120641228,145.7978716185143,1.0,1.0,1.0,1.0,1.0
40.0,strong_weak,strong/weak H3,500,39.666666666666664,8,24,3,10,5.0,5.0,0.3225,0.8166666666666667,19.026823449835167,2.568545962155162,10.30686432715369,63.37467743892615,0.4790814981465627,0.25155538083850376,0.4683969561785128,0.7407999975548368,0.002
45.0,T_0p05N,T=0.05N,500,45.25,8,24,4,11,0.8,1.0,0.0475,0.10897546897546898,48.39857478492294,6.187103886974183,24.97337055020028,155.01349797709975,0.8657739118386274,0.6264492459191157,0.8956210538956102,1.0000000000000004,0.312
45.0,best_tested_T,best tested T,500,45.25,8,24,4,11,0.458,0.0,0.024933333333333335,0.05627445887445887,56.12285492379399,6.653912824531349,30.883010526480756,184.05027672791277,0.9904678421830113,0.9514665699345324,1.0,1.0000000000000009,0.686
45.0,exact_best,exact best,500,45.25,8,24,4,11,0.43440233236151604,0.0,0.02498785228377065,0.0567604407254553,56.8717391748135,6.653912824531353,31.26653693028412,184.7519413929699,1.0,1.0,1.0,1.0,1.0
45.0,strong_weak,strong/weak H3,500,45.25,8,24,4,11,4.8,5.0,0.2975,0.6634632034632035,23.91981336850253,3.683839362061676,12.683528440985395,78.7440798253996,0.48175808358202665,0.23673416127211805,0.47171464706453736,0.7824966604187773,0.002
50.0,T_0p05N,T=0.05N,500,50.0,8,24,4,12,0.8,1.0,0.0475,0.095,60.94747803611449,6.654408869782489,32.95946617995088,192.8907367913812,0.8646293725159906,0.6255169883147177,0.9017838165797865,1.0000000000000004,0.306
50.0,best_tested_T,best tested T,500,50.0,8,24,4,12,0.472,0.0,0.025866666666666666,0.05173333333333333,70.79103879132057,6.7938467162602585,41.40174904978825,229.34107930480738,0.9900193232180134,0.9405217321516592,1.0,1.0000000000000009,0.68
50.0,exact_best,exact best,500,50.0,8,24,4,12,0.40294117647058825,0.0,0.023125,0.04625,71.64940244596026,6.7938467162602585,41.605395042132784,231.85758786523263,1.0,1.0,1.0,1.0,1.0
50.0,strong_weak,strong/weak H3,500,50.0,8,24,4,12,4.0,4.0,0.25,0.5,33.96505192613626,4.16974253004662,19.306896777701684,111.38722953715045,0.5290960348391573,0.2932317873158474,0.5142591875980208,0.8270591487549026,0.002
