data_profile,generator_seed,sample,N,L,K,off_pct,active_pct,sigma,P,formula,formula_label,formula_T,u_g,fraction_exact_u_g,gap_to_exact_pct,is_exact_best,active_pct_actual,T_over_N,T_over_K
gaussian,42,32,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.176993179182424,0.9488673392302354,5.113266076976464,False,25.0,0.0,0.0
gaussian,42,33,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.1910784070545297,0.8770338695772968,12.29661304227032,False,25.0,0.0,0.0
gaussian,42,34,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,2.826311234854596,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,35,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.740003266343184,0.9008953406204474,9.91046593795526,False,25.0,0.0,0.0
gaussian,42,36,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,2.6850034428204625,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,37,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,4.0524615945202935,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,38,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.810174272750048,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,39,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,4.008471890404342,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,40,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.959601591465375,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,41,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.983967702826433,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,42,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.731949588606055,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,43,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.83686713170168,0.9619178297412913,3.808217025870886,False,25.0,0.0,0.0
gaussian,42,44,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,2.683904178785984,0.9298849194928464,7.011508050715365,False,25.0,0.0,0.0
gaussian,42,45,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.491814321811595,0.9643861355867576,3.561386441324254,False,25.0,0.0,0.0
gaussian,42,46,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.9491971023068633,0.991408881692766,0.8591118307234025,False,25.0,0.0,0.0
gaussian,42,47,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.056257919204456,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,48,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.288619553529605,1.0,0.0,True,25.0,0.0,0.0
