N,L,K,active_limit_fraction,required_turned_off_fraction,objective,objective_label,candidate,baseline_winner,winner,baseline_best_mean,candidate_mean,candidate_vs_best_h12_relative_delta
1000,4,500,0.5,0.5,u_g,General objective,MISO-EE,H1,Coutino,217601126743235.62,228818900840239.28,0.05155200372762947
1000,4,500,0.5,0.5,u_g,General objective,Pareto-H2,H1,Coutino,217601126743235.62,178144729954990.12,-0.1813244139806461
1000,4,750,0.75,0.25,u_bf,BF gain,Coutino,H1,Coutino,25380.55067634477,27901.890425773363,0.09934141231137812
1000,4,750,0.75,0.25,u_bf,BF gain,MISO-EE,H1,Coutino,25380.55067634477,25685.206570637274,0.012003517897523394
1000,4,750,0.75,0.25,u_bf,BF gain,Pareto-H2,H1,Coutino,25380.55067634477,24318.297752088365,-0.041853029030077274
1000,4,750,0.75,0.25,u_i,Interference,Coutino,H2,Pareto-H2,313.6053749471903,2161628.7335940003,-6891.830628167673
1000,4,750,0.75,0.25,u_i,Interference,MISO-EE,H2,Pareto-H2,313.6053749471903,1902657.7986349165,-6066.044606474986
1000,4,750,0.75,0.25,u_i,Interference,Pareto-H2,H2,Pareto-H2,313.6053749471903,206.8108188509941,0.3405380284511383
1000,4,750,0.75,0.25,u_g,General objective,Coutino,H1,Coutino,1578566170329524.0,2317761953972184.0,0.4682703820317863
1000,4,750,0.75,0.25,u_g,General objective,MISO-EE,H1,Coutino,1578566170329524.0,1662868817561683.0,0.05340456980308967
1000,4,750,0.75,0.25,u_g,General objective,Pareto-H2,H1,Coutino,1578566170329524.0,1360946773055105.0,-0.1378589009220888
1000,5,500,0.5,0.5,u_bf,BF gain,Coutino,H1,Coutino,9781.58384354127,10919.230066533768,0.11630490942872
1000,5,500,0.5,0.5,u_bf,BF gain,MISO-EE,H1,Coutino,9781.58384354127,9843.62080623821,0.006342220614701693
1000,5,500,0.5,0.5,u_bf,BF gain,Pareto-H2,H1,Coutino,9781.58384354127,9080.377716114008,-0.07168635863508595
1000,5,500,0.5,0.5,u_i,Interference,Coutino,H2,Tie,430.6593035776168,358976.2864415273,-832.5505200036386
1000,5,500,0.5,0.5,u_i,Interference,MISO-EE,H2,Tie,430.6593035776168,288649.036095798,-669.2491591332251
1000,5,500,0.5,0.5,u_i,Interference,Pareto-H2,H2,Tie,430.6593035776168,430.6593035776168,0.0
1000,5,500,0.5,0.5,u_g,General objective,Coutino,H1,Coutino,2.6963535223473576e+16,4.781837728065131e+16,0.7734461332437665
1000,5,500,0.5,0.5,u_g,General objective,MISO-EE,H1,Coutino,2.6963535223473576e+16,2.8487130555774028e+16,0.056505770466406036
1000,5,500,0.5,0.5,u_g,General objective,Pareto-H2,H1,Coutino,2.6963535223473576e+16,1.961400703375873e+16,-0.272572870315484
1000,5,750,0.75,0.25,u_bf,BF gain,Coutino,H1,Coutino,16430.018348647045,18395.445780655395,0.11962417754513316
1000,5,750,0.75,0.25,u_bf,BF gain,MISO-EE,H1,Coutino,16430.018348647045,16558.190675246005,0.0078011067230192655
1000,5,750,0.75,0.25,u_bf,BF gain,Pareto-H2,H1,Coutino,16430.018348647045,15233.744857530304,-0.07281023464074524
1000,5,750,0.75,0.25,u_i,Interference,Coutino,H2,Pareto-H2,485.03368109464645,1072146.0137995929,-2209.4568313275154
1000,5,750,0.75,0.25,u_i,Interference,MISO-EE,H2,Pareto-H2,485.03368109464645,830112.3208657205,-1710.4529427982911
1000,5,750,0.75,0.25,u_i,Interference,Pareto-H2,H2,Pareto-H2,485.03368109464645,391.0605535209179,0.19374557115630744
