L,K,sample,heuristic,u_bf,u_i,u_g,time
4,500,0,Frame-BF,18311.226787977197,637041.3694437742,431482196484444.8,0.019218599976738915
4,500,0,Frame-Gen,18300.31357417968,555673.4896847606,431731054242153.0,0.05122970000957139
4,500,0,Frame-Int,8846.593930968174,32.8589634411037,23743565534475.71,1.2078445999941323
4,500,1,Frame-BF,16269.50322936258,1824203.3794522807,258247184702159.06,0.018562499986728653
4,500,1,Frame-Gen,16306.448609117315,1601620.7769646794,262444940436869.72,0.04233830000157468
4,500,1,Frame-Int,6210.65102699332,14.201583061367273,5704177180167.302,1.2129252000013366
4,500,2,Frame-BF,14823.274229103854,1340571.7333446518,179863532331635.88,0.017040500009898096
4,500,2,Frame-Gen,14842.402750603822,1231056.8175789043,181553152649118.5,0.04053259998909198
4,500,2,Frame-Int,6124.522404719589,17.623820014297962,5474371578879.789,1.1788812000013422
4,500,3,Frame-BF,15667.29351208255,1446880.2627887279,223505958551532.44,0.022885299986228347
4,500,3,Frame-Gen,15683.684238224334,1298169.158119008,225701918383898.12,0.040411399997537956
4,500,3,Frame-Int,5898.060402090047,20.727831572294235,4735324216837.44,1.1886847999994643
4,500,4,Frame-BF,16486.68916805364,499837.14349238575,284227131077039.8,0.017624600004637614
4,500,4,Frame-Gen,16571.9663648634,411336.4938400239,291225971411363.7,0.03955399998812936
4,500,4,Frame-Int,6972.425063964525,22.259436674416065,9220101952713.826,1.1767072000075132
4,750,0,Frame-BF,30359.764015735225,1822090.7796301544,3264076917481963.0,0.031188100023427978
4,750,0,Frame-Gen,30447.32183468909,1803155.5199475586,3302916283051455.5,0.044469399988884106
4,750,0,Frame-Int,19760.113911753077,60.83353289961815,595081879304428.1,0.9230055999942124
4,750,1,Frame-BF,27162.69290685121,3106639.409147769,2052912106834445.2,0.020919700007652864
4,750,1,Frame-Gen,27162.69290685121,3106639.409147769,2052912106834445.2,0.040672500006621704
4,750,1,Frame-Int,13233.560161999252,37.32354371994734,119436955618036.28,0.9682859999884386
4,750,2,Frame-BF,24427.904874384796,3622555.004687518,1323026928800440.5,0.02376780001213774
4,750,2,Frame-Gen,24468.804725994763,3532206.285059035,1333746092322146.5,0.04456769998068921
4,750,2,Frame-Int,12093.683869591934,29.491252198815346,83061081856083.84,1.028418799978681
4,750,3,Frame-BF,26073.564379080348,1953310.983682096,1763087988145353.5,0.01909640000667423
4,750,3,Frame-Gen,26071.519014490434,1926154.7177947164,1763195302920520.0,0.042262100003426895
4,750,3,Frame-Int,13125.37193153237,28.033045195043087,115829629938883.7,0.9498904999927618
4,750,4,Frame-BF,27978.088569610183,2000326.3535897434,2345157059388228.5,0.023060900013661012
4,750,4,Frame-Gen,28117.817521101242,1685715.6825636923,2400887282415983.0,0.04352179999114014
4,750,4,Frame-Int,14561.426308750926,53.9772617444396,175501488255575.84,0.9912851999979466
8,500,0,Frame-BF,11884.244097946477,1012501.6318432391,1.864435028256887e+25,0.025449100008700043
8,500,0,Frame-Gen,11872.759636881301,961490.0400893129,1.8757137906014223e+25,0.09894279998843558
8,500,0,Frame-Int,6229.548540943928,427.27074329182506,1.3571916735020672e+23,3.780376500013517
8,500,1,Frame-BF,10959.319962910427,923778.2292745281,9.644480391452616e+24,0.021932399977231398
8,500,1,Frame-Gen,10954.323364056494,875533.1656669192,9.75622666276816e+24,0.10576149998814799
8,500,1,Frame-Int,4630.377076772325,249.7998576052487,1.2663005576787195e+22,3.824918800004525
8,500,2,Frame-BF,11389.980880190706,732163.4377086051,1.395806139836886e+25,0.02239580001332797
8,500,2,Frame-Gen,11373.688260595469,672046.3426726796,1.4047346493021641e+25,0.09778070001630113
8,500,2,Frame-Int,5715.268360153134,393.3247743966058,6.777559442199354e+22,2.4832044999930076
8,500,3,Frame-BF,11649.090256212912,543936.9377111271,1.7726732248641632e+25,0.023143099999288097
8,500,3,Frame-Gen,11663.2991046425,488173.3746546693,1.8138270099704456e+25,0.09400529999402352
8,500,3,Frame-Int,6075.406326085657,314.13044903520495,1.1032895768911204e+23,2.5891164999920875
8,500,4,Frame-BF,11723.011353200336,894125.4095509499,1.6958873271929728e+25,0.02223319999757223
8,500,4,Frame-Gen,11714.397968964564,862237.3761951737,1.7012115342705623e+25,0.09884549997514114
8,500,4,Frame-Int,5763.352183262938,349.8509035864845,7.302255608067324e+22,2.2644165999954566
8,750,0,Frame-BF,21293.127111425478,2390972.4330300167,2.1091542815514646e+27,0.030324799998197705
8,750,0,Frame-Gen,21287.79134964833,2370453.575246729,2.1096420473217266e+27,0.08652560002519749
8,750,0,Frame-Int,14450.627073539003,815.328606877476,1.1301884326860228e+26,1.9052536999806762
8,750,1,Frame-BF,19763.383660462547,1810095.4770517126,1.1923977394506003e+27,0.026171499979682267
8,750,1,Frame-Gen,19815.417182308774,1789916.653052248,1.2211155234697322e+27,0.08677290001651272
8,750,1,Frame-Int,11542.859371785486,644.8974089380354,1.8715151426955783e+25,1.8565663000044879
8,750,2,Frame-BF,20595.641566575592,1727186.4325719774,1.6992819886758523e+27,0.02841849997639656
8,750,2,Frame-Gen,20584.00106194808,1634116.1288872212,1.7037179456611516e+27,0.10439650001353584
8,750,2,Frame-Int,13724.547471722397,719.3445876985788,7.497159418049861e+25,1.8987668000045232
8,750,3,Frame-BF,21074.711108896343,1280631.5576337948,2.1136246580617107e+27,0.025453000009292737
8,750,3,Frame-Gen,21112.930207304114,1207783.304036975,2.156227287132726e+27,0.07520859999931417
8,750,3,Frame-Int,12994.712705200302,783.3578114397824,4.8330347289689655e+25,2.2978206999832764
8,750,4,Frame-BF,21211.063536199043,1926226.830130726,2.113085774721756e+27,0.026639999996405095
8,750,4,Frame-Gen,21211.063536199043,1926226.830130726,2.113085774721756e+27,0.0793847999884747
8,750,4,Frame-Int,15672.200516466035,939.2519346885383,2.1741506078675212e+26,1.7925808999862056
