data_profile,N,L,K,off_pct,active_pct,best_fixed_T,best_fixed_u_g_mean,recommended_band_low,recommended_band_high,recommended_band_width,best_tested_T_median,best_tested_T_p05,best_tested_T_p95,best_tested_T_std,best_tested_T_cv,best_tested_T_over_N_mean,best_tested_T_over_K_mean,best_formula,best_formula_T,best_formula_fraction
gaussian,2000,8,500,75.0,25.0,98,4.716893618918957e+25,89,107,19,94.0,60.9,137.25,25.428090328960565,0.2688242978006191,0.047295,0.18918,T_0p05N,100,0.9476874764770136
gaussian,2000,8,1000,50.0,50.0,139,4.573704629797313e+29,111,159,49,137.0,85.8,191.54999999999995,33.980474191256164,0.2493247794501149,0.0681449999999999,0.1362899999999999,T_0p075N,150,0.9511957254020154
lognormal,2000,8,500,75.0,25.0,95,1.3784596343096158e+17,94,96,3,88.5,46.9,128.1,25.89180869649236,0.2956023369847284,0.043795,0.17518,T_0p05N,100,0.7811228625881725
lognormal,2000,8,1000,50.0,50.0,125,1.988435779836619e+19,125,125,1,115.5,76.95,163.39999999999998,29.615543284572784,0.2542543207810163,0.05824,0.11648,T_0p075NL_over_Lp2,120,0.8343176696474718
nakagami,2000,8,500,75.0,25.0,89,2.536846496535664e+26,79,122,44,107.0,62.9,157.1,29.65868295706124,0.2829217109325693,0.052415,0.20966,T_0p05N,100,0.9549940023461808
nakagami,2000,8,1000,50.0,50.0,151,4.27785556942298e+30,131,175,45,149.0,96.8,197.3,31.269044298045493,0.2107362467855876,0.0741899999999999,0.1483799999999999,T_0p10NL_over_Lp2,160,0.9646954976945012
rayleigh,2000,8,500,75.0,25.0,91,5.149842461651802e+25,88,101,14,94.0,60.8,140.1,25.90698981379584,0.2639799247380868,0.04907,0.19628,T_0p05N,100,0.9496946126205466
rayleigh,2000,8,1000,50.0,50.0,131,4.933011892845715e+29,113,152,40,132.0,90.8,196.0,30.71984190826325,0.2288767837003669,0.06711,0.13422,T_0p075N,150,0.9499671142865926
rician,2000,8,500,75.0,25.0,252,7.252465806964442e+20,248,274,27,308.0,124.0,474.5,112.33041584198077,0.3643188007718378,0.154165,0.61666,T_0p10N,200,0.8402211669995381
rician,2000,8,1000,50.0,50.0,330,1.9898800708088757e+25,279,396,118,321.5,212.8,548.15,100.61166669302062,0.2943066363219465,0.17093,0.34186,T_0p15NL_over_Lp2,240,0.9032684757394452
thin_tail,2000,8,500,75.0,25.0,88,6.597071279331252e+22,86,92,7,82.0,50.95,132.39999999999998,27.490492387681453,0.3214886257476488,0.042755,0.17102,T_0p05NL_over_Lp2,80,0.8825211125084921
thin_tail,2000,8,1000,50.0,50.0,152,1.1946677434883186e+26,149,155,7,133.0,78.85,191.05,34.14546866427565,0.2554077991194229,0.066845,0.13369,T_0p075N,150,0.9000335088795716
twdp,2000,8,500,75.0,25.0,85,4.158409471865511e+26,78,98,21,82.0,48.85,134.29999999999998,27.976315740716156,0.3162952599289559,0.0442249999999999,0.1768999999999999,T_0p05NL_over_Lp2,80,0.9582655144933336
twdp,2000,8,1000,50.0,50.0,129,6.98399136637945e+30,113,158,46,134.0,78.7,176.29999999999998,29.674699287065703,0.2263689014193737,0.065545,0.13109,T_0p075NL_over_Lp2,120,0.9655288748943888
gaussian,500,10,125,75.0,25.0,22,4.655585008510845e+18,21,22,2,21.5,9.0,46.05,11.45577354327273,0.4821453511478422,0.04752,0.19008,T_0p05N,25,0.8616778014273494
gaussian,500,10,250,50.0,50.0,34,7.147073539075438e+23,33,38,6,32.0,18.0,54.1,12.208442185883529,0.3631303446128355,0.06724,0.13448,T_0p075N,38,0.8823422823490062
lognormal,500,10,125,75.0,25.0,3,432880598446.0323,3,3,1,18.0,6.95,37.05,9.713907555664711,0.4842426498337345,0.0401199999999999,0.1604799999999999,T_0p05NL_over_Lp2,21,0.625011298488093
lognormal,500,10,250,50.0,50.0,3,79462844079585.5,3,3,1,27.5,12.0,48.0,11.418976762522565,0.4156889975435953,0.05494,0.10988,T_0p075NL_over_Lp2,31,0.6288921663386237
nakagami,500,10,125,75.0,25.0,24,2.89978618490647e+19,21,27,7,27.0,9.95,46.05,10.905026178767107,0.398575518229792,0.05472,0.21888,T_0p05N,25,0.8991882036904231
nakagami,500,10,250,50.0,50.0,38,8.289579137448917e+24,33,41,9,35.0,21.0,58.05,11.708906219134429,0.3177450805735258,0.0737,0.1474,T_0p075N,38,0.9164959977863328
rayleigh,500,10,125,75.0,25.0,24,6.097150324822354e+18,22,26,5,22.0,8.95,43.05,10.71049235397918,0.4547979768144025,0.0471,0.1884,T_0p05NL_over_Lp2,21,0.8590265794683897
rayleigh,500,10,250,50.0,50.0,30,8.867955160620272e+23,30,34,5,30.5,14.0,51.05,12.54536817420129,0.3952541957845397,0.06348,0.12696,T_0p075NL_over_Lp2,31,0.8817005826776184
rician,500,10,125,75.0,25.0,62,3483942127031.8306,60,66,7,77.0,22.0,124.0,34.43339200323553,0.4495807808230256,0.15318,0.61272,T_0p15NL_over_Lp2,62,0.7162878786228789
rician,500,10,250,50.0,50.0,64,8.363489152854831e+17,62,68,7,76.0,37.95,155.1,39.0046617260506,0.4498807580859354,0.1734,0.3468,T_0p15NL_over_Lp2,62,0.8186811069467166
thin_tail,500,10,125,75.0,25.0,20,4840027899776520.0,20,20,1,20.0,7.95,41.1,10.11586912137598,0.4828577146241519,0.0418999999999999,0.1675999999999999,T_0p05NL_over_Lp2,21,0.7489177120940704
thin_tail,500,10,250,50.0,50.0,29,6.856941842836039e+19,29,30,2,30.0,11.0,55.05,13.303770256220718,0.4175696878914224,0.06372,0.12744,T_0p075NL_over_Lp2,31,0.7649711015937227
twdp,500,10,125,75.0,25.0,28,4.4070067593166684e+19,20,30,11,24.5,7.95,44.19999999999999,11.171301616104536,0.4415534235614441,0.0506,0.2024,T_0p05N,25,0.8912984772312228
twdp,500,10,250,50.0,50.0,35,1.2394448972207596e+25,28,40,13,30.5,16.0,57.0,12.175530187779724,0.361613608190666,0.06734,0.13468,T_0p075N,38,0.913349190088217
gaussian,500,2,125,75.0,25.0,21,1038599.2720315726,16,25,10,18.5,7.95,33.05,9.038436442954795,0.4772141733344665,0.03788,0.15152,T_0p075NL_over_Lp2,19,0.9400427140442648
gaussian,500,2,250,50.0,50.0,24,6665609.171393262,21,28,8,23.0,8.95,38.05,10.227710428344196,0.4261546011810082,0.048,0.096,T_0p05N,25,0.9476441471404702
lognormal,500,2,125,75.0,25.0,21,22554.99080961878,18,22,5,18.0,6.95,30.05,8.049411798574496,0.4334632094008883,0.03714,0.14856,T_0p075NL_over_Lp2,19,0.8711119256998547
lognormal,500,2,250,50.0,50.0,22,65855.51214312644,21,26,6,23.5,10.9,44.1,10.925847400277078,0.43949506839409,0.04972,0.09944,T_0p05N,25,0.8870980118694779
nakagami,500,2,125,75.0,25.0,19,1976039.2885493324,15,29,15,21.0,8.0,38.1,9.155359417336168,0.420742620281993,0.0435199999999999,0.1740799999999999,T_0p075NL_over_Lp2,19,0.9592124571547208
nakagami,500,2,250,50.0,50.0,27,16221886.925332325,22,38,17,27.5,13.95,50.05,11.105554165971787,0.3751876407422901,0.0592,0.1184,T_0p125NL_over_Lp2,31,0.9608281301964848
rayleigh,500,2,125,75.0,25.0,20,1074419.178065149,16,24,9,18.5,5.95,32.0,8.441695458983476,0.4558150895779415,0.03704,0.14816,T_0p075NL_over_Lp2,19,0.9453019316437448
rayleigh,500,2,250,50.0,50.0,24,6865281.668156752,19,32,14,23.0,10.9,45.1,10.218200240825984,0.4179223002382815,0.0489,0.0978,T_0p05N,25,0.9521830875662646
rician,500,2,125,75.0,25.0,34,505928.1194131685,24,36,13,39.0,12.95,98.49999999999996,26.582374353368557,0.6033221596316058,0.0881199999999999,0.3524799999999999,T_0p125NL_over_Lp2,31,0.9079225877965462
rician,500,2,250,50.0,50.0,34,4590263.722001207,29,56,28,40.0,16.0,88.0,20.646128602297967,0.4801425256348364,0.086,0.172,T_0p075N,38,0.9414022157255044
thin_tail,500,2,125,75.0,25.0,20,303333.70219304244,18,23,6,19.0,6.0,33.099999999999994,8.144130935027302,0.4383278221220292,0.03716,0.14864,T_0p075NL_over_Lp2,19,0.9278914867252414
thin_tail,500,2,250,50.0,50.0,23,1501484.509958247,20,27,8,24.0,12.95,43.1,10.429968476665806,0.3871554742637641,0.05388,0.10776,T_0p05N,25,0.9348385374626494
twdp,500,2,125,75.0,25.0,21,2800113.6957272924,14,28,15,18.0,6.0,34.05,8.53101294209438,0.4646521210291057,0.03672,0.14688,T_0p075NL_over_Lp2,19,0.9633882721139008
twdp,500,2,250,50.0,50.0,25,23337229.4275814,18,34,17,23.0,9.95,37.05,8.44432748457014,0.3658720747214099,0.04616,0.09232,T_0p05N,25,0.9672700008039178
gaussian,500,4,125,75.0,25.0,21,14608495200.529148,18,25,8,20.5,7.95,37.0,8.935973151348216,0.4331542972054395,0.0412599999999999,0.1650399999999999,T_0p05N,25,0.9079203078847756
gaussian,500,4,250,50.0,50.0,30,995988800093.5931,24,37,14,28.5,14.0,51.0,11.732588647167187,0.3875979070752292,0.06054,0.12108,T_0p10NL_over_Lp2,33,0.9225032229298292
lognormal,500,4,125,75.0,25.0,16,5190174.745855382,16,16,1,18.5,5.0,32.0,7.933632538284418,0.4318798333306705,0.0367399999999999,0.1469599999999999,T_0p15K,19,0.7825849836018726
lognormal,500,4,250,50.0,50.0,26,52078590.47580896,26,27,2,25.0,10.95,46.0,10.60433968722335,0.3994101577108606,0.0531,0.1062,T_0p05N,25,0.8064353082812734
nakagami,500,4,125,75.0,25.0,22,39732759334.60945,18,31,14,23.5,11.0,44.05,11.077408988522086,0.4446972697118461,0.04982,0.19928,T_0p05N,25,0.9374392412970028
nakagami,500,4,250,50.0,50.0,30,3987371415117.2783,27,40,14,31.5,15.0,54.05,12.064289067618976,0.3744347941532891,0.06444,0.12888,T_0p10NL_over_Lp2,33,0.9474156317592805
rayleigh,500,4,125,75.0,25.0,21,14020231430.909737,15,25,11,17.5,7.0,34.099999999999994,8.683264991297394,0.4587039086792073,0.03786,0.15144,T_0p05NL_over_Lp2,17,0.9123347724890396
rayleigh,500,4,250,50.0,50.0,26,958693456081.6776,22,34,13,27.0,12.9,50.0,11.406342378898088,0.4013491336698834,0.05684,0.11368,T_0p05N,25,0.9249277628242176
rician,500,4,125,75.0,25.0,40,295909304.7924207,37,44,8,52.0,15.95,110.05,31.802005844876764,0.5609808757254677,0.11338,0.4535200000000001,T_0p125NL_over_Lp2,42,0.8284766054283398
rician,500,4,250,50.0,50.0,65,36726249945.92918,64,72,9,65.5,33.95,117.2,28.74355439384488,0.4258304354643685,0.135,0.27,T_0p125NL_over_Lp2,42,0.8854729275772749
thin_tail,500,4,125,75.0,25.0,21,1172308182.940873,19,22,4,19.0,7.0,41.14999999999999,10.010822426582424,0.4803657594329379,0.04168,0.16672,T_0p15K,19,0.8670315391700807
thin_tail,500,4,250,50.0,50.0,27,40582442384.62558,25,28,4,29.0,12.95,50.0,12.392976179508237,0.4010671902753475,0.0618,0.1236,T_0p10NL_over_Lp2,33,0.8680622250201933
twdp,500,4,125,75.0,25.0,18,54472392816.6772,14,27,14,20.0,6.0,39.0,10.418025365934396,0.4958603220340026,0.04202,0.16808,T_0p05NL_over_Lp2,17,0.9405037244326871
twdp,500,4,250,50.0,50.0,33,5567593486561.063,24,37,14,27.0,11.95,50.0,11.442098416008148,0.3981245099515709,0.0574799999999999,0.1149599999999999,T_0p10NL_over_Lp2,33,0.9550447789370072
gaussian,500,6,125,75.0,25.0,21,31737884119055.73,19,23,5,21.0,7.0,43.1,11.173634189917845,0.4799671043779143,0.04656,0.18624,T_0p05NL_over_Lp2,19,0.892386739071637
gaussian,500,6,250,50.0,50.0,38,2.659559325075115e+16,33,40,8,33.0,14.95,50.1,11.540197641988703,0.353343467299103,0.06532,0.13064,T_0p075N,38,0.909947382105161
lognormal,500,6,125,75.0,25.0,17,280787543.72531104,17,17,1,17.0,6.95,35.05,9.516062975067712,0.51410388844234,0.03702,0.14808,T_0p05NL_over_Lp2,19,0.6831002057844011
lognormal,500,6,250,50.0,50.0,32,9879611687.301931,32,34,3,27.0,10.95,49.05,12.017243503155848,0.433835505529092,0.0554,0.1108,T_0p075NL_over_Lp2,28,0.693310941006677
nakagami,500,6,125,75.0,25.0,18,114706373784622.28,16,27,12,22.0,8.0,43.05,10.970460797113772,0.4580568182510969,0.0479,0.1916,T_0p05NL_over_Lp2,19,0.908910451689406
nakagami,500,6,250,50.0,50.0,37,1.526572523814672e+17,29,39,11,31.0,16.0,55.1,12.780489391682506,0.3914391850438746,0.0653,0.1306,T_0p075N,38,0.9291330055315132
rayleigh,500,6,125,75.0,25.0,20,34413144597141.29,19,23,5,22.0,8.95,43.05,10.442120416269807,0.445292981504043,0.0469,0.1876,T_0p05N,25,0.8962993847563142
rayleigh,500,6,250,50.0,50.0,29,2.8302383062944464e+16,25,35,11,31.0,16.9,53.05,12.01120688811457,0.3702591519147525,0.06488,0.12976,T_0p075NL_over_Lp2,28,0.9071806047361036
rician,500,6,125,75.0,25.0,69,22349894524.87662,66,69,4,69.0,21.95,123.05,32.46937795909409,0.4502756616155053,0.14422,0.5768800000000001,T_0p15NL_over_Lp2,56,0.7722108751162099
rician,500,6,250,50.0,50.0,75,36506787055872.7,65,78,14,75.5,31.9,148.14999999999998,34.49488177522672,0.4388103520573301,0.15722,0.31444,T_0p15NL_over_Lp2,56,0.8530662276521391
thin_tail,500,6,125,75.0,25.0,15,553239113102.2224,15,17,3,18.5,5.95,35.05,9.687412430363414,0.5032422041747229,0.0385,0.154,T_0p05NL_over_Lp2,19,0.8285236724827773
thin_tail,500,6,250,50.0,50.0,35,139530912896708.1,35,35,1,32.0,13.95,51.1,12.265991417514748,0.3797520562698064,0.0646,0.1292,T_0p075N,38,0.8269090801377559
twdp,500,6,125,75.0,25.0,20,167530168475761.56,17,27,11,21.0,7.0,35.05,8.871080013507973,0.4120334423366452,0.04306,0.17224,T_0p05N,25,0.9292116813798552
twdp,500,6,250,50.0,50.0,27,2.2270521450843955e+17,24,32,9,27.0,12.95,54.0,11.582745788456206,0.3999566915903386,0.0579199999999999,0.1158399999999999,T_0p075NL_over_Lp2,28,0.938770911171646
gaussian,500,8,125,75.0,25.0,25,2.1699334945048984e+16,23,26,4,22.0,8.95,47.05,11.465380477548466,0.4749536237592571,0.0482799999999999,0.1931199999999999,T_0p05N,25,0.8761189272359666
gaussian,500,8,250,50.0,50.0,32,2.4226125138263648e+20,31,32,2,32.0,16.95,56.1,12.390363639179888,0.356147273330839,0.06958,0.13916,T_0p075NL_over_Lp2,30,0.8928830134890419
lognormal,500,8,125,75.0,25.0,15,5270798011.147643,14,16,3,19.0,7.0,33.0,8.43456093592418,0.4356694698307944,0.03872,0.15488,T_0p05NL_over_Lp2,20,0.6571600792001493
lognormal,500,8,250,50.0,50.0,22,515719382421.7772,22,22,1,27.0,8.95,50.1,11.6619037896906,0.4256169266310438,0.0547999999999999,0.1095999999999999,T_0p075NL_over_Lp2,30,0.6971645408145387
nakagami,500,8,125,75.0,25.0,31,9.085983380058272e+16,30,31,2,24.5,8.95,52.0,13.075766003017051,0.4973665273114132,0.05258,0.21032,T_0p075NL_over_Lp2,30,0.8948663765921205
nakagami,500,8,250,50.0,50.0,40,1.7584242650613198e+21,36,46,11,35.5,18.0,54.1,11.549786827365072,0.3260809380961342,0.07084,0.14168,T_0p10NL_over_Lp2,40,0.923174129583551
rayleigh,500,8,125,75.0,25.0,19,1.976242261495085e+16,18,21,4,23.0,7.95,44.05,10.953432191221014,0.4490952107921694,0.0487799999999999,0.1951199999999999,T_0p075NL_over_Lp2,30,0.8718700113071759
rayleigh,500,8,250,50.0,50.0,36,2.15813716782606e+20,32,40,9,32.0,14.9,50.05,11.772502630359366,0.3645866407667812,0.06458,0.12916,T_0p075N,38,0.898594978118581
rician,500,8,125,75.0,25.0,87,431235778879.3937,87,92,6,72.5,24.95,124.0,33.35474918102808,0.4458594998132345,0.14962,0.59848,T_0p15NL_over_Lp2,60,0.719601654400565
rician,500,8,250,50.0,50.0,87,9658908197802230.0,85,90,6,89.5,32.95,160.14999999999998,38.79781702700045,0.4212117796873352,0.18422,0.36844,legacy_T100,100,0.832631117143292
thin_tail,500,8,125,75.0,25.0,18,118035613526238.95,18,18,1,21.5,8.0,39.05,10.012739360182582,0.4498085965940063,0.0445199999999999,0.1780799999999999,T_0p15K,19,0.7696687766023236
thin_tail,500,8,250,50.0,50.0,30,2.256666566709024e+17,29,32,4,32.0,13.95,53.1,12.988557512773552,0.3981777287790788,0.0652399999999999,0.1304799999999999,T_0p075N,38,0.8043499316457158
twdp,500,8,125,75.0,25.0,19,1.3847886443881384e+17,15,22,8,21.0,8.95,43.24999999999999,12.742611247862088,0.5454884951995758,0.04672,0.18688,T_0p15K,19,0.9066381453657129
twdp,500,8,250,50.0,50.0,36,2.6339045957276486e+21,30,39,10,31.0,15.0,53.05,11.66200772776387,0.3617248054517329,0.06448,0.12896,T_0p075NL_over_Lp2,30,0.9255441005348488
gaussian,5000,10,1250,75.0,25.0,247,1.7699742392041185e+38,205,283,79,239.0,174.75,327.7999999999999,52.75196008613607,0.2138130677940015,0.049344,0.197376,T_0p05N,250,0.9637999541847232
gaussian,5000,10,2500,50.0,50.0,338,2.136443455225045e+43,296,405,110,332.5,247.0,428.65,58.339046473475584,0.1720865062195085,0.067802,0.135604,T_0p075N,375,0.9669734636081294
lognormal,5000,10,1250,75.0,25.0,248,1.5154148397427398e+26,248,250,3,205.5,131.5,306.0,50.093915838556725,0.23691787664849,0.042288,0.169152,T_0p05NL_over_Lp2,208,0.835831160421008
lognormal,5000,10,2500,50.0,50.0,279,7.707286414694581e+28,279,280,2,307.0,215.9,411.2,57.82277346611049,0.1883232590740961,0.061408,0.122816,T_0p075NL_over_Lp2,312,0.8654022516879106
nakagami,5000,10,1250,75.0,25.0,255,1.3123052154589487e+39,218,296,79,251.5,177.95,329.35,48.75359194226336,0.1915059782475581,0.0509159999999999,0.2036639999999999,T_0p05N,250,0.9773312409044296
nakagami,5000,10,2500,50.0,50.0,391,2.925030979663018e+44,308,449,142,374.5,274.95,477.75,60.62193739010073,0.1623207684421793,0.074694,0.149388,T_0p075N,375,0.9759782288739
rayleigh,5000,10,1250,75.0,25.0,250,1.7378460055029897e+38,208,293,86,242.5,181.75,358.15,55.75557316891236,0.2218950657416817,0.0502539999999999,0.2010159999999999,T_0p05N,250,0.9623195258301552
rayleigh,5000,10,2500,50.0,50.0,340,2.090178413125496e+43,308,394,87,336.0,255.8,448.45,57.88588914075832,0.1680091981794808,0.068908,0.137816,T_0p075N,375,0.9638705170477772
rician,5000,10,1250,75.0,25.0,696,5.814091455355705e+31,618,737,120,821.5,393.3,1234.55,272.34794590076064,0.3319211547564479,0.164104,0.6564160000000001,T_0p15NL_over_Lp2,625,0.8959463932772885
rician,5000,10,2500,50.0,50.0,864,2.3385324414611457e+37,768,974,207,889.5,628.65,1213.75,188.38371972807485,0.2079933309721269,0.181144,0.362288,T_0p15NL_over_Lp2,625,0.9207641874772594
thin_tail,5000,10,1250,75.0,25.0,248,1.925382816561067e+34,206,253,48,222.5,158.75,302.0,47.74109891123711,0.2123147687949707,0.044972,0.179888,T_0p05NL_over_Lp2,208,0.9188632560358092
thin_tail,5000,10,2500,50.0,50.0,341,2.4036485657639614e+38,321,365,45,331.0,234.4,462.25,65.62859917980141,0.1979209239717766,0.066318,0.132636,T_0p075N,375,0.9224329026335822
twdp,5000,10,1250,75.0,25.0,233,2.5791621527807762e+39,208,292,85,237.0,165.85,331.15,47.90392215232232,0.1988622282050825,0.048178,0.192712,T_0p05N,250,0.9732465081349868
twdp,5000,10,2500,50.0,50.0,331,5.6588736732895495e+44,265,398,134,311.5,244.85,412.15,54.19314038369122,0.1720690280479162,0.06299,0.12598,T_0p075NL_over_Lp2,312,0.9768085919479128
gaussian,5000,2,1250,75.0,25.0,204,6270711669.956089,140,263,124,196.5,128.65,265.35,47.76834990373074,0.2434304127999324,0.039246,0.156984,T_0p075NL_over_Lp2,188,0.982241648397235
gaussian,5000,2,2500,50.0,50.0,256,40002389206.422615,198,342,145,260.5,185.85,367.1,53.07353770044356,0.2031445215511121,0.052252,0.104504,T_0p05N,250,0.986874009082368
lognormal,5000,2,1250,75.0,25.0,187,34421513.82710865,163,234,72,187.5,125.0,272.0,42.86909366804006,0.2259598021718324,0.037944,0.151776,T_0p075NL_over_Lp2,188,0.962880767172258
lognormal,5000,2,2500,50.0,50.0,277,100660378.19047809,221,308,88,261.5,181.75,358.45,56.95168606331638,0.2173562554893381,0.052404,0.104808,T_0p05N,250,0.9615601703107436
nakagami,5000,2,1250,75.0,25.0,217,12630660328.712114,160,313,154,220.5,149.0,317.25,50.370003699893374,0.2226692175407514,0.045242,0.180968,T_0p05N,250,0.98820999344128
nakagami,5000,2,2500,50.0,50.0,322,103255783492.52742,228,409,182,298.0,234.9,397.25,49.55828728259117,0.1627102478251729,0.060916,0.121832,T_0p125NL_over_Lp2,312,0.99126680829002
rayleigh,5000,2,1250,75.0,25.0,221,6339790096.176392,151,268,118,202.0,137.9,258.2,40.157462795622656,0.2004065415491698,0.040076,0.160304,T_0p075NL_over_Lp2,188,0.9823977886027796
rayleigh,5000,2,2500,50.0,50.0,240,40403571722.14578,205,334,130,249.5,191.6,346.25,50.13047219430754,0.1920119204623393,0.052216,0.104432,T_0p05N,250,0.9861643356996348
rician,5000,2,1250,75.0,25.0,378,3300327028.831537,232,474,243,346.0,228.55,572.0499999999998,122.42338193516974,0.3277558950930867,0.0747039999999999,0.2988159999999999,T_0p075N,375,0.9783591458941228
rician,5000,2,2500,50.0,50.0,435,30237355346.717724,304,571,268,422.0,306.95,559.4,79.32955109395034,0.1867852207246129,0.0849419999999999,0.1698839999999999,T_0p075N,375,0.9859744582879464
thin_tail,5000,2,1250,75.0,25.0,211,1283734406.2684543,174,254,81,210.0,136.65,294.1,45.78634064761007,0.2160446404360405,0.042386,0.169544,T_0p075NL_over_Lp2,188,0.9740942591361754
thin_tail,5000,2,2500,50.0,50.0,294,6394222943.325867,231,359,129,284.0,200.5,387.05,56.02082585336394,0.1969236004406775,0.056896,0.113792,T_0p125NL_over_Lp2,312,0.979565998878
twdp,5000,2,1250,75.0,25.0,178,21119516458.6022,125,264,140,181.0,115.8,252.45,41.36493781946349,0.2280945013480203,0.03627,0.14508,T_0p075NL_over_Lp2,188,0.9903701364625522
twdp,5000,2,2500,50.0,50.0,233,175045276567.51276,163,332,170,233.0,174.95,315.15,42.57859636820909,0.1791651435649446,0.0475299999999999,0.0950599999999999,T_0p05N,250,0.9903708436143932
gaussian,5000,4,1250,75.0,25.0,230,6.922807280212179e+17,176,280,105,210.0,151.85,309.69999999999993,47.80865058446087,0.2179460730509704,0.043872,0.175488,T_0p05N,250,0.9747698309601516
gaussian,5000,4,2500,50.0,50.0,309,4.6219146334866506e+19,246,383,138,301.5,217.0,410.05,56.61185941357717,0.1849577215550744,0.061216,0.122432,T_0p10NL_over_Lp2,333,0.9798787811749384
lognormal,5000,4,1250,75.0,25.0,186,14635242395957.455,177,226,50,195.5,126.0,286.35,48.684040070394296,0.2456804605893939,0.0396319999999999,0.1585279999999999,T_0p15K,188,0.9179760220950764
lognormal,5000,4,2500,50.0,50.0,282,151123994882391.97,249,296,48,280.5,178.7,400.05,65.12962986896737,0.2320257565691748,0.0561399999999999,0.1122799999999999,T_0p05N,250,0.9209139823496628
nakagami,5000,4,1250,75.0,25.0,228,2.2202628767787968e+18,189,309,121,236.5,162.95,320.35,49.40829174267506,0.2078161587494219,0.04755,0.1902,T_0p05N,250,0.983448827678536
nakagami,5000,4,2500,50.0,50.0,358,2.1438704565302837e+20,258,435,178,329.0,253.0,423.15,60.376930506392405,0.1812032728283085,0.06664,0.13328,T_0p10NL_over_Lp2,333,0.9849753991852392
rayleigh,5000,4,1250,75.0,25.0,218,6.426497400538956e+17,182,275,94,222.0,153.0,307.29999999999995,45.833271625302814,0.2018286653983126,0.045418,0.181672,T_0p05N,250,0.9768799920478723
rayleigh,5000,4,2500,50.0,50.0,314,4.298145805540641e+19,243,368,126,297.5,212.9,409.1,58.22656896411923,0.1908442116162544,0.06102,0.12204,T_0p10NL_over_Lp2,333,0.978748411239392
rician,5000,4,1250,75.0,25.0,567,1.61080115956262e+16,424,659,236,562.5,307.45,1053.85,215.83894365002715,0.3602900222845863,0.119814,0.4792560000000001,T_0p10N,500,0.9526628423930804
rician,5000,4,2500,50.0,50.0,575,2.073367942690989e+18,485,752,268,603.5,440.95,788.55,113.87442135257524,0.1859174226164493,0.1224999999999999,0.2449999999999999,T_0p10N,500,0.9717934662924388
thin_tail,5000,4,1250,75.0,25.0,206,2.1241266069973828e+16,180,259,80,220.0,147.8,321.2,53.74387444541043,0.2351000631907717,0.04572,0.18288,T_0p05N,250,0.9570067716213354
thin_tail,5000,4,2500,50.0,50.0,318,7.304171796212596e+17,284,391,108,330.0,227.65,440.9,67.45642738805249,0.2045932103607791,0.065942,0.131884,T_0p10NL_over_Lp2,333,0.9679536473705868
twdp,5000,4,1250,75.0,25.0,228,3.6593607913716326e+18,156,283,128,201.5,141.9,287.74999999999994,45.435858886206525,0.2198899428263394,0.041326,0.165304,T_0p15K,188,0.982464887946812
twdp,5000,4,2500,50.0,50.0,279,3.5785009015489364e+20,215,369,155,274.0,212.9,369.25,49.76145114646497,0.1778465015956575,0.05596,0.11192,T_0p05N,250,0.9848452369162124
gaussian,5000,6,1250,75.0,25.0,241,1.251514410805252e+25,186,285,100,224.5,161.95,322.54999999999995,47.824657644230754,0.208649961363949,0.0458419999999999,0.1833679999999999,T_0p05N,250,0.9711988210865105
gaussian,5000,6,2500,50.0,50.0,320,9.713907759929754e+27,261,399,139,319.5,233.9,439.05,60.38751877865512,0.1845076805849708,0.065458,0.130916,T_0p075NL_over_Lp2,281,0.9710791956832882
lognormal,5000,6,1250,75.0,25.0,189,1.0625236417319612e+18,189,192,4,195.0,132.0,304.4,50.99141936134793,0.251710037325244,0.0405159999999999,0.1620639999999999,T_0p05NL_over_Lp2,188,0.8868628661454262
lognormal,5000,6,2500,50.0,50.0,308,3.721718801722682e+19,298,313,16,294.0,185.85,389.65,65.47443868573538,0.2245120141471569,0.0583259999999999,0.1166519999999999,T_0p075NL_over_Lp2,281,0.893915771910821
nakagami,5000,6,1250,75.0,25.0,277,5.164453657952473e+25,207,323,117,256.5,178.85,339.05,49.65134602018521,0.1921343008288259,0.051684,0.206736,T_0p05N,250,0.9780330821974292
nakagami,5000,6,2500,50.0,50.0,342,6.390647236732007e+28,286,435,150,347.5,263.1,450.65,60.165599755503095,0.1723251410766543,0.0698279999999999,0.1396559999999999,T_0p075N,375,0.9807541714469596
rayleigh,5000,6,1250,75.0,25.0,225,1.2373566657982794e+25,194,276,83,232.5,161.8,318.05,50.810023468293,0.2158363003623168,0.047082,0.188328,T_0p05N,250,0.9706071107446336
rayleigh,5000,6,2500,50.0,50.0,319,9.566597671939694e+27,265,391,127,309.5,238.8,390.05,51.50805664155753,0.1651058006909559,0.0623939999999999,0.1247879999999999,T_0p075NL_over_Lp2,281,0.9718033731294228
rician,5000,6,1250,75.0,25.0,617,8.965035028885916e+21,563,681,119,692.5,384.15,1222.0,251.00529190767384,0.3468840407789854,0.14472,0.57888,T_0p15NL_over_Lp2,562,0.9222896988977553
rician,5000,6,2500,50.0,50.0,738,1.630964133962916e+25,583,929,347,756.0,524.9,1045.15,167.30352595800184,0.2164536581035822,0.154586,0.309172,T_0p15NL_over_Lp2,562,0.9483049649852862
thin_tail,5000,6,1250,75.0,25.0,208,7.154688389946886e+22,189,242,54,207.0,144.95,303.45,52.467282734822064,0.2419854383120656,0.0433639999999999,0.1734559999999999,T_0p05N,250,0.9419545246298328
