data_profile,N,L,K,off_pct,active_pct,best_fixed_T,best_fixed_u_g_mean,recommended_band_low,recommended_band_high,recommended_band_width,best_tested_T_median,best_tested_T_p05,best_tested_T_p95,best_tested_T_std,best_tested_T_cv,best_tested_T_over_N_mean,best_tested_T_over_K_mean,best_formula,best_formula_T,best_formula_fraction
lognormal,1000,4,250,75.0,25.0,34,426375318.6093282,33,38,6,38.0,15.85,66.0,14.833159685738782,0.3826924583523937,0.0387599999999999,0.1550399999999999,T_0p15K,38,0.8322987474533297
lognormal,1000,4,500,50.0,50.0,50,4394152305.013708,50,50,1,51.5,27.85,82.1,17.55765107043397,0.3223953556818577,0.0544599999999999,0.1089199999999999,T_0p05N,50,0.8403494977769962
nakagami,1000,4,250,75.0,25.0,46,8072820014004.215,38,59,22,48.0,26.95,72.54999999999997,15.781666898683742,0.3263371980703834,0.04836,0.19344,T_0p05N,50,0.9561394886252198
nakagami,1000,4,500,50.0,50.0,58,792812087024522.8,51,79,29,62.0,37.0,99.74999999999996,22.420057758600667,0.3410413410191766,0.0657399999999999,0.1314799999999999,T_0p10NL_over_Lp2,67,0.9623188875063896
rayleigh,1000,4,250,75.0,25.0,43,2797090969672.3154,35,53,19,44.0,18.0,75.05,17.352565088525534,0.3868159850317774,0.04486,0.17944,T_0p05N,50,0.9417105629324404
rayleigh,1000,4,500,50.0,50.0,61,190017113648361.38,52,70,19,60.0,33.9,92.05,18.049793641619576,0.2922097076512802,0.06177,0.12354,T_0p10NL_over_Lp2,67,0.943938231797427
rician,1000,4,250,75.0,25.0,136,64589146463.21143,123,144,22,135.0,43.95,228.89999999999995,57.49942380036288,0.4169344050494009,0.1379099999999999,0.5516399999999999,T_0p10N,100,0.8692437502080936
rician,1000,4,500,50.0,50.0,135,8320814707424.354,117,146,30,136.0,77.95,210.5,43.52058725651017,0.3192297165444888,0.13633,0.27266,T_0p10N,100,0.9308802310556292
thin_tail,1000,4,250,75.0,25.0,46,152039059279.1136,37,51,15,42.5,18.95,66.1,14.92945025272146,0.3473580794025468,0.0429799999999999,0.1719199999999999,T_0p05N,50,0.9045499867727578
thin_tail,1000,4,500,50.0,50.0,63,5347205663528.292,54,67,14,59.5,32.9,95.1,20.25478120385806,0.3271120995455113,0.06192,0.12384,T_0p10NL_over_Lp2,67,0.9167174874348488
twdp,1000,4,250,75.0,25.0,39,13386587860910.867,30,52,23,36.0,17.95,68.0,14.76604075559727,0.3823418113826326,0.03862,0.15448,T_0p15K,38,0.9640525283373376
twdp,1000,4,500,50.0,50.0,56,1324776467501723.5,42,71,30,52.0,31.0,84.0,16.675788412903277,0.3078417650526726,0.0541699999999999,0.1083399999999999,T_0p05N,50,0.9665019682038776
gaussian,1000,6,250,75.0,25.0,51,1.065455787720453e+17,41,55,15,46.5,21.95,84.0,17.42410961741219,0.3662065913705798,0.04758,0.19032,T_0p05N,50,0.9272238614348356
gaussian,1000,6,500,50.0,50.0,67,8.665858234004737e+19,51,79,29,63.0,39.9,100.1,19.27691873613612,0.2895301702633842,0.0665799999999999,0.1331599999999999,T_0p075NL_over_Lp2,56,0.9342321060422484
lognormal,1000,6,250,75.0,25.0,38,179092293855.9329,36,38,3,35.5,16.95,66.0,14.70773863507153,0.3957949040654341,0.03716,0.14864,T_0p05NL_over_Lp2,38,0.7661127449434102
lognormal,1000,6,500,50.0,50.0,54,6487144957696.301,54,55,2,56.0,30.95,89.14999999999999,18.79620636557744,0.3204262933102188,0.05866,0.11732,T_0p075NL_over_Lp2,56,0.7686852598009227
nakagami,1000,6,250,75.0,25.0,50,3.862805767444071e+17,41,57,17,46.0,28.95,79.29999999999998,16.430997436786264,0.3360809457309524,0.04889,0.19556,T_0p05N,50,0.9527002014717694
nakagami,1000,6,500,50.0,50.0,71,4.941399490483604e+20,57,88,32,72.5,41.0,100.15,19.66449911013564,0.2735739998627662,0.07188,0.14376,T_0p075N,75,0.9527012766630012
rayleigh,1000,6,250,75.0,25.0,48,9.392921869444478e+16,36,56,21,47.5,25.95,79.05,17.040581390944798,0.3455105715925547,0.04932,0.19728,T_0p05N,50,0.9254059278503304
rayleigh,1000,6,500,50.0,50.0,69,7.5835359040442e+19,55,76,22,62.5,38.0,102.29999999999998,19.974731512335755,0.3054240292406078,0.0654,0.1308,T_0p075N,75,0.931496860594948
rician,1000,6,250,75.0,25.0,157,62840131371344.93,148,167,20,149.5,53.0,247.0,64.75790112083435,0.4331342460091923,0.14951,0.59804,T_0p125NL_over_Lp2,94,0.8175012940527365
rician,1000,6,500,50.0,50.0,150,1.1648993827887714e+17,140,167,28,169.0,93.95,253.3,52.742119905453286,0.3099014037572906,0.17019,0.34038,T_0p15NL_over_Lp2,112,0.8960924719686418
thin_tail,1000,6,250,75.0,25.0,40,1058932220624049.2,40,42,3,43.5,17.95,76.0,17.14347064799266,0.3898015154159314,0.0439799999999999,0.1759199999999999,T_0p05N,50,0.8617870378303085
thin_tail,1000,6,500,50.0,50.0,66,2.75263458739713e+17,58,72,15,66.5,38.9,102.1,20.036391134557384,0.2956964453151915,0.06776,0.13552,T_0p075N,75,0.8755830765602254
twdp,1000,6,250,75.0,25.0,36,6.020972581679057e+17,31,62,32,39.5,17.0,75.05,18.019548868219243,0.4164443926096427,0.04327,0.17308,T_0p05NL_over_Lp2,38,0.9437508812059416
twdp,1000,6,500,50.0,50.0,65,7.932668907247185e+20,55,79,25,64.0,36.85,94.05,18.328569629037197,0.2808115463311965,0.06527,0.13054,T_0p075N,75,0.957791689669236
gaussian,1000,8,250,75.0,25.0,44,1.071026220934093e+21,41,50,10,43.0,22.95,75.05,15.967931878764029,0.3623311068473798,0.0440699999999999,0.1762799999999999,T_0p05N,50,0.917260853788174
gaussian,1000,8,500,50.0,50.0,74,1.0638656064788555e+25,50,79,30,64.0,37.95,99.05,18.6777672621486,0.2902076951856526,0.0643599999999999,0.1287199999999999,T_0p075N,75,0.928160151484028
lognormal,1000,8,250,75.0,25.0,45,16927087193757.877,45,45,1,41.0,18.85,76.29999999999998,18.52003828780649,0.4316019176836748,0.04291,0.17164,T_0p15K,38,0.6935474388992787
lognormal,1000,8,500,50.0,50.0,46,2378510988208366.0,45,46,2,59.0,25.95,91.05,20.360337259813093,0.3473867473095562,0.05861,0.11722,T_0p075NL_over_Lp2,60,0.709502843322721
nakagami,1000,8,250,75.0,25.0,47,5.133518062212667e+21,42,55,14,45.5,25.95,78.05,16.391901794619333,0.3454563075789111,0.04745,0.1898,T_0p05N,50,0.937774468873886
nakagami,1000,8,500,50.0,50.0,73,8.916466713951615e+25,55,91,37,75.5,41.9,108.39999999999998,21.877000052866737,0.2967177546842091,0.0737299999999999,0.1474599999999999,T_0p075N,75,0.9441720662524378
rayleigh,1000,8,250,75.0,25.0,42,1.0657216659241372e+21,36,50,15,43.5,23.0,78.1,17.38724425049187,0.3728767799805247,0.0466299999999999,0.1865199999999999,T_0p05N,50,0.9122936002353196
rayleigh,1000,8,500,50.0,50.0,67,1.084833940220873e+25,66,78,13,65.0,37.0,102.25,20.826311543940093,0.3045227598178109,0.0683899999999999,0.1367799999999999,T_0p075N,75,0.9287211852545824
rician,1000,8,250,75.0,25.0,176,1.6228476950985062e+16,158,177,20,164.0,48.95,245.05,62.26016691142406,0.3942263465549551,0.15793,0.6317200000000001,T_0p15NL_over_Lp2,120,0.7852749277813595
rician,1000,8,500,50.0,50.0,151,4.29536481784017e+20,138,180,43,161.0,103.85,259.15,50.177462847156576,0.2913906088685051,0.1722,0.3444,T_0p15NL_over_Lp2,120,0.8751691495364088
thin_tail,1000,8,250,75.0,25.0,47,2.8059890311207235e+18,47,48,2,41.0,18.95,75.05,16.329733678789804,0.3790560278270614,0.04308,0.17232,T_0p15K,38,0.8392944638497346
thin_tail,1000,8,500,50.0,50.0,62,5.329829698884265e+21,62,62,1,63.5,35.95,98.05,19.09820182978788,0.2952264929631764,0.06469,0.12938,T_0p075NL_over_Lp2,60,0.8573658259902021
twdp,1000,8,250,75.0,25.0,49,8.209267569164243e+21,46,56,11,48.0,22.0,69.05,16.69709646324864,0.352036611074186,0.04743,0.18972,T_0p05N,50,0.9399009258674154
twdp,1000,8,500,50.0,50.0,61,1.4530587765707643e+26,51,76,26,59.5,36.85,101.1,19.54021752719506,0.3097197262196078,0.06309,0.12618,T_0p075NL_over_Lp2,60,0.9495123774996996
gaussian,2000,10,500,75.0,25.0,102,3.217490095232929e+30,97,124,28,99.0,57.9,145.34999999999997,26.82672420019133,0.2681063781750083,0.05003,0.20012,T_0p05N,100,0.9416702853119908
gaussian,2000,10,1000,50.0,50.0,132,4.1417558413237925e+35,123,152,30,138.5,91.95,200.2,32.06208623495006,0.2252816626963888,0.07116,0.14232,T_0p075NL_over_Lp2,125,0.9495464871486178
lognormal,2000,10,500,75.0,25.0,68,3.7088265122897945e+19,68,69,2,78.5,39.95,118.15,24.062903676267613,0.306027008473453,0.0393149999999999,0.1572599999999999,T_0p05NL_over_Lp2,83,0.7459472315575717
lognormal,2000,10,1000,50.0,50.0,158,1.5040896876938548e+22,158,158,1,108.0,73.95,167.05,31.111276334337603,0.2699225779484435,0.05763,0.11526,T_0p05N,100,0.7624918162330409
nakagami,2000,10,500,75.0,25.0,94,2.141925678792129e+31,76,114,39,94.0,60.95,139.05,26.07450668737376,0.2669653597560536,0.0488349999999999,0.1953399999999999,T_0p05N,100,0.950510610125446
