scope,formula,formula_family,contexts,fraction_mean,fraction_p05_mean,gap_pct_mean,winner_rate_mean,N,L,active_pct,data_profile
overall,T_0p15K,K,280,0.8926612530855114,0.789528513992079,10.733874691448866,0.015000000000000001,,,,
overall,T_0p075NL_over_Lp2,N_L,280,0.8908757367386126,0.7875591225705858,10.912426326138728,0.015214285714285713,,,,
overall,T_0p05N,N,280,0.8889959154406254,0.7831144542631587,11.100408455937467,0.015642857142857142,,,,
overall,T_0p20K,K,280,0.875930559935075,0.772277386263708,12.406944006492507,0.009464285714285713,,,,
overall,T_0p10NL_over_Lp2,N_L,280,0.8737966861326051,0.7703961943686908,12.620331386739492,0.00932142857142857,,,,
overall,T_0p075N,N,280,0.8721996109806538,0.7675173676684595,12.780038901934624,0.007392857142857142,,,,
overall,T_0p05NL_over_Lp2,N_L,280,0.8564325349953248,0.7332995811330923,14.356746500467526,0.013392857142857142,,,,
overall,T_0p10K,K,280,0.8554122375626054,0.7313178760447356,14.45877624373945,0.013785714285714285,,,,
overall,T_0p125NL_over_Lp2,N_L,280,0.8348203171150816,0.7289474847661968,16.517968288491836,0.004928571428571428,,,,
overall,T_0p10N,N,280,0.8138758080290569,0.7059796484184749,18.61241919709431,0.0025714285714285713,,,,
overall,T_0p15NL_over_Lp2,N_L,280,0.7857515999002684,0.6831044423172732,21.42484000997316,0.00225,,,,
overall,T_0p025N,N,280,0.7802282114445326,0.6419326826120542,21.977178855546736,0.007035714285714286,,,,
overall,legacy_T50,legacy,280,0.7524408011137578,0.6344022012809228,24.755919888624227,0.0074285714285714285,,,,
overall,legacy_T100,legacy,280,0.7451620929994509,0.6421618409347716,25.483790700054914,0.002785714285714286,,,,
overall,T_0p05K,K,280,0.702054105547326,0.557519214094879,29.794589445267412,0.0030357142857142857,,,,
overall,legacy_T25,legacy,280,0.6671815301075216,0.5430084006892242,33.28184698924784,0.009642857142857144,,,,
overall,strong_weak,heuristic,280,0.3617076461128739,0.3007874958941824,63.82923538871262,0.0024642857142857144,,,,
by_N,T_0p15K,K,70,0.9339018522226088,0.8785077885954301,6.609814777739116,0.003285714285714286,5000.0,,,
by_N,T_0p075NL_over_Lp2,N_L,70,0.9323949605034139,0.8763597370979158,6.760503949658619,0.004285714285714286,5000.0,,,
by_N,T_0p05N,N,70,0.9304775519286603,0.8734792089115883,6.952244807133958,0.004142857142857143,5000.0,,,
by_N,T_0p20K,K,70,0.9175301917310598,0.8609720133182046,8.246980826894031,0.0025714285714285713,5000.0,,,
by_N,T_0p10NL_over_Lp2,N_L,70,0.9139264316350143,0.8565330192565872,8.60735683649857,0.002428571428571429,5000.0,,,
by_N,T_0p075N,N,70,0.912988880945536,0.8547333431176279,8.701111905446403,0.001142857142857143,5000.0,,,
by_N,T_0p15K,K,70,0.9071763280622835,0.8205835716048602,9.282367193771647,0.009142857142857144,2000.0,,,
by_N,T_0p075NL_over_Lp2,N_L,70,0.9053858369491095,0.819109539304043,9.461416305089054,0.009857142857142858,2000.0,,,
by_N,T_0p05N,N,70,0.9044304935270513,0.815868187609416,9.556950647294867,0.007285714285714286,2000.0,,,
by_N,legacy_T100,legacy,70,0.9044304935270513,0.815868187609416,9.556950647294867,0.007285714285714286,2000.0,,,
by_N,T_0p05NL_over_Lp2,N_L,70,0.8932229214014907,0.824929922070413,10.677707859850926,0.0025714285714285713,5000.0,,,
by_N,T_0p10K,K,70,0.8910174204965117,0.8196439131594402,10.898257950348835,0.002142857142857143,5000.0,,,
by_N,T_0p20K,K,70,0.8910128245903793,0.8036603359119644,10.89871754096206,0.004857142857142858,2000.0,,,
by_N,T_0p10NL_over_Lp2,N_L,70,0.8890770311690482,0.798859623400795,11.092296883095175,0.005285714285714286,2000.0,,,
by_N,T_0p075N,N,70,0.8883999472710954,0.7979566241024657,11.16000527289046,0.0038571428571428576,2000.0,,,
by_N,T_0p15K,K,70,0.8825154738975076,0.7669331337110391,11.74845261024924,0.017285714285714286,1000.0,,,
by_N,T_0p075NL_over_Lp2,N_L,70,0.8787891524493121,0.7648065368737533,12.121084755068788,0.016428571428571428,1000.0,,,
by_N,T_0p05N,N,70,0.8767579252147046,0.7576470299103445,12.324207478529544,0.020428571428571428,1000.0,,,
by_N,legacy_T50,legacy,70,0.8767579252147046,0.7576470299103445,12.324207478529544,0.020428571428571428,1000.0,,,
by_N,T_0p125NL_over_Lp2,N_L,70,0.8713305915947213,0.8109602737698101,12.866940840527878,0.0008571428571428571,5000.0,,,
by_N,T_0p05NL_over_Lp2,N_L,70,0.868538927867655,0.7621933424395999,13.1461072132345,0.007142857142857143,2000.0,,,
by_N,T_0p10K,K,70,0.8683198057955949,0.7621824986706868,13.168019420440515,0.0054285714285714284,2000.0,,,
by_N,T_0p20K,K,70,0.8655696284089635,0.7507666654388219,13.443037159103651,0.012714285714285714,1000.0,,,
by_N,T_0p10NL_over_Lp2,N_L,70,0.864122832051485,0.7484150754884147,13.5877167948515,0.011428571428571429,1000.0,,,
by_N,T_0p075N,N,70,0.862328424260234,0.7457675906959904,13.767157573976599,0.009428571428571429,1000.0,,,
by_N,T_0p10N,N,70,0.8506964152138884,0.7897445189591337,14.930358478611165,0.00042857142857142855,5000.0,,,
by_N,T_0p125NL_over_Lp2,N_L,70,0.8478769437123623,0.7591965265063204,15.212305628763767,0.002,2000.0,,,
by_N,T_0p15K,K,70,0.8470513581596454,0.6920895620569866,15.294864184035465,0.030285714285714287,500.0,,,
by_N,T_0p075NL_over_Lp2,N_L,70,0.8469329970526154,0.6899606770066309,15.306700294738457,0.030285714285714287,500.0,,,
by_N,T_0p05NL_over_Lp2,N_L,70,0.8458358936490673,0.7112163822427373,15.416410635093277,0.013428571428571429,1000.0,,,
by_N,T_0p10K,K,70,0.845743653553583,0.7063580523047618,15.42563464464169,0.016142857142857143,1000.0,,,
by_N,T_0p05N,N,70,0.8443176910920851,0.6854633906212863,15.568230890791495,0.03071428571428571,500.0,,,
by_N,legacy_T25,legacy,70,0.8443176910920851,0.6854633906212863,15.568230890791495,0.03071428571428571,500.0,,,
by_N,T_0p20K,K,70,0.8296095950098971,0.6737105303858409,17.039040499010287,0.017714285714285714,500.0,,,
by_N,T_0p10NL_over_Lp2,N_L,70,0.8280604496748728,0.6777770593289666,17.193955032512722,0.018142857142857145,500.0,,,
by_N,T_0p10N,N,70,0.827138118321274,0.7351773931363137,17.286188167872595,0.0007142857142857143,2000.0,,,
by_N,T_0p125NL_over_Lp2,N_L,70,0.8270959737513089,0.709530416789973,17.290402624869103,0.006142857142857143,1000.0,,,
by_N,T_0p075N,N,70,0.8250811914457498,0.6716119127577539,17.491880855425034,0.015142857142857144,500.0,,,
by_N,T_0p15NL_over_Lp2,N_L,70,0.8193661566484816,0.762439666207781,18.063384335151845,0.0008571428571428571,5000.0,,,
by_N,T_0p05NL_over_Lp2,N_L,70,0.8181323970630859,0.6348586777796191,18.186760293691403,0.030428571428571426,500.0,,,
by_N,T_0p10K,K,70,0.8165680704047324,0.6370870400440538,18.343192959526757,0.03142857142857143,500.0,,,
by_N,T_0p025N,N,70,0.807916077579233,0.7265638403766311,19.208392242076695,0.00042857142857142855,5000.0,,,
by_N,T_0p10N,N,70,0.8062908159758194,0.6868364026543935,19.37091840241806,0.0025714285714285713,1000.0,,,
by_N,legacy_T100,legacy,70,0.8062908159758194,0.6868364026543935,19.37091840241806,0.0025714285714285713,1000.0,,,
by_N,T_0p15NL_over_Lp2,N_L,70,0.7981314314078312,0.7119247702655408,20.186856859216892,0.00028571428571428574,2000.0,,,
by_N,T_0p125NL_over_Lp2,N_L,70,0.792977759401934,0.6361027219986833,20.70222405980659,0.010714285714285714,500.0,,,
by_N,legacy_T50,legacy,70,0.7898133388204511,0.670221450189188,21.018666117954883,0.0027142857142857142,2000.0,,,
by_N,T_0p025N,N,70,0.7898133388204511,0.670221450189188,21.018666117954883,0.0027142857142857142,2000.0,,,
by_N,T_0p15NL_over_Lp2,N_L,70,0.7781969352880171,0.6622251618705874,22.18030647119829,0.0017142857142857144,1000.0,,,
by_N,T_0p025N,N,70,0.7740039447197119,0.6214688104723821,22.599605528028814,0.007285714285714286,1000.0,,,
by_N,legacy_T25,legacy,70,0.7740039447197119,0.6214688104723821,22.599605528028814,0.007285714285714286,1000.0,,,
by_N,T_0p10N,N,70,0.7713778826052458,0.6121602789240589,22.862211739475423,0.006571428571428572,500.0,,,
by_N,legacy_T50,legacy,70,0.7713778826052458,0.6121602789240589,22.862211739475423,0.006571428571428572,500.0,,,
by_N,legacy_T100,legacy,70,0.7498312025299368,0.6656921993303688,25.016879747006325,0.00028571428571428574,5000.0,,,
by_N,T_0p025N,N,70,0.7491794846587343,0.5494766294100156,25.082051534126567,0.017714285714285714,500.0,,,
by_N,T_0p15NL_over_Lp2,N_L,70,0.7473118762567438,0.5958281709251831,25.26881237432562,0.006142857142857143,500.0,,,
by_N,T_0p05K,K,70,0.7187672643782478,0.6352095794708034,28.123273562175218,0.0,5000.0,,,
by_N,T_0p05K,K,70,0.7082107367585221,0.5851658307177837,29.17892632414779,0.0008571428571428571,2000.0,,,
by_N,T_0p05K,K,70,0.6955419726107682,0.5347103242936988,30.44580273892317,0.002285714285714286,1000.0,,,
by_N,T_0p05K,K,70,0.6856964484417655,0.47499112189723025,31.430355155823456,0.009,500.0,,,
by_N,legacy_T25,legacy,70,0.6185345301176842,0.4998467704152067,38.14654698823158,0.0005714285714285715,2000.0,,,
by_N,legacy_T50,legacy,70,0.5718140578146295,0.49758004610009976,42.818594218537044,0.0,5000.0,,,
by_N,legacy_T100,legacy,70,0.5200958599649961,0.40025057414490783,47.9904140035004,0.001,500.0,,,
by_N,legacy_T25,legacy,70,0.43186995450060517,0.3652546312480218,56.813004549939485,0.0,5000.0,,,
by_N,strong_weak,heuristic,70,0.3744332988741461,0.34094898951419644,62.556670112585394,0.00028571428571428574,5000.0,,,
by_N,strong_weak,heuristic,70,0.3678501634429871,0.3162638395119153,63.21498365570129,0.0018571428571428571,2000.0,,,
by_N,strong_weak,heuristic,70,0.3588815218741219,0.2913482704954617,64.11184781258781,0.0027142857142857142,1000.0,,,
by_N,strong_weak,heuristic,70,0.3456656002602404,0.2545888840551563,65.43343997397595,0.005,500.0,,,
by_L,T_0p05N,N,56,0.954999778790291,0.9028414845269123,4.500022120970899,0.01625,,2.0,,
by_L,T_0p10NL_over_Lp2,N_L,56,0.954999778790291,0.9028414845269123,4.500022120970899,0.01625,,2.0,,
by_L,T_0p15K,K,56,0.9504905173808499,0.8968101776648625,4.95094826191501,0.015000000000000001,,2.0,,
by_L,T_0p075NL_over_Lp2,N_L,56,0.9476755400487601,0.8897116447034424,5.23244599512398,0.019642857142857146,,2.0,,
by_L,T_0p125NL_over_Lp2,N_L,56,0.9465205183723037,0.8933577659716857,5.347948162769631,0.01125,,2.0,,
by_L,T_0p10K,K,56,0.9440517793893708,0.8797248346768971,5.594822061062928,0.016428571428571428,,2.0,,
by_L,T_0p20K,K,56,0.9305726200524874,0.8735273134145751,6.942737994751254,0.008392857142857143,,2.0,,
by_L,T_0p15NL_over_Lp2,N_L,56,0.9289286918096441,0.8696853897826501,7.107130819035591,0.005714285714285714,,2.0,,
by_L,T_0p075N,N,56,0.9289286918096441,0.8696853897826501,7.107130819035591,0.005714285714285714,,2.0,,
by_L,T_0p15K,K,56,0.9173814493041211,0.8326877764566328,8.261855069587876,0.014464285714285716,,4.0,,
by_L,T_0p05N,N,56,0.916921914077902,0.8329234331847127,8.307808592209787,0.015178571428571428,,4.0,,
by_L,T_0p075NL_over_Lp2,N_L,56,0.916921914077902,0.8329234331847127,8.307808592209787,0.015178571428571428,,4.0,,
by_L,T_0p025N,N,56,0.9110412958823594,0.8299587344595363,8.895870411764067,0.01107142857142857,,2.0,,
