data_profile,N,L,K,off_pct,active_pct,cases,best_T_min,best_T_p05,best_T_p25,best_T_median,best_T_p75,best_T_p95,best_T_max,best_T_mean,best_T_std,best_T_iqr,best_T_cv,best_T_over_N_mean,best_T_over_K_mean
thin_tail,500,6,125,75.0,25.0,100,4,5.95,12.0,18.5,26.0,35.05,43,19.25,9.687412430363414,14.0,0.5032422041747229,0.0385,0.154
thin_tail,500,6,250,50.0,50.0,100,6,13.95,23.0,32.0,41.0,51.1,64,32.3,12.265991417514748,18.0,0.3797520562698064,0.0646,0.1292
twdp,500,6,125,75.0,25.0,100,2,7.0,15.0,21.0,27.25,35.05,50,21.53,8.871080013507973,12.25,0.4120334423366452,0.04306,0.17224
twdp,500,6,250,50.0,50.0,100,2,12.95,21.0,27.0,35.25,54.0,60,28.96,11.582745788456206,14.25,0.3999566915903386,0.0579199999999999,0.1158399999999999
gaussian,500,8,125,75.0,25.0,100,4,8.95,16.0,22.0,29.5,47.05,61,24.14,11.465380477548466,13.5,0.4749536237592571,0.0482799999999999,0.1931199999999999
gaussian,500,8,250,50.0,50.0,100,8,16.95,25.75,32.0,44.0,56.1,64,34.79,12.390363639179888,18.25,0.356147273330839,0.06958,0.13916
lognormal,500,8,125,75.0,25.0,100,3,7.0,13.0,19.0,25.0,33.0,38,19.36,8.43456093592418,12.0,0.4356694698307944,0.03872,0.15488
lognormal,500,8,250,50.0,50.0,100,6,8.95,19.75,27.0,33.0,50.1,71,27.4,11.6619037896906,13.25,0.4256169266310438,0.0547999999999999,0.1095999999999999
nakagami,500,8,125,75.0,25.0,100,3,8.95,16.0,24.5,34.25,52.0,65,26.29,13.075766003017051,18.25,0.4973665273114132,0.05258,0.21032
nakagami,500,8,250,50.0,50.0,100,16,18.0,27.0,35.5,43.0,54.1,67,35.42,11.549786827365072,16.0,0.3260809380961342,0.07084,0.14168
rayleigh,500,8,125,75.0,25.0,100,6,7.95,17.0,23.0,32.0,44.05,51,24.39,10.953432191221014,15.0,0.4490952107921694,0.0487799999999999,0.1951199999999999
rayleigh,500,8,250,50.0,50.0,100,6,14.9,24.0,32.0,40.0,50.05,67,32.29,11.772502630359366,16.0,0.3645866407667812,0.06458,0.12916
rician,500,8,125,75.0,25.0,100,13,24.95,46.75,72.5,106.5,124.0,125,74.81,33.35474918102808,59.75,0.4458594998132345,0.14962,0.59848
rician,500,8,250,50.0,50.0,100,16,32.95,63.0,89.5,118.0,160.14999999999998,199,92.11,38.79781702700045,55.0,0.4212117796873352,0.18422,0.36844
thin_tail,500,8,125,75.0,25.0,100,5,8.0,14.75,21.5,29.25,39.05,49,22.26,10.012739360182582,14.5,0.4498085965940063,0.0445199999999999,0.1780799999999999
thin_tail,500,8,250,50.0,50.0,100,9,13.95,22.0,32.0,40.0,53.1,77,32.62,12.988557512773552,18.0,0.3981777287790788,0.0652399999999999,0.1304799999999999
twdp,500,8,125,75.0,25.0,100,5,8.95,13.75,21.0,32.25,43.24999999999999,78,23.36,12.742611247862088,18.5,0.5454884951995758,0.04672,0.18688
twdp,500,8,250,50.0,50.0,100,10,15.0,24.75,31.0,40.25,53.05,62,32.24,11.66200772776387,15.5,0.3617248054517329,0.06448,0.12896
gaussian,5000,10,1250,75.0,25.0,100,147,174.75,207.0,239.0,281.0,327.7999999999999,410,246.72,52.75196008613607,74.0,0.2138130677940015,0.049344,0.197376
gaussian,5000,10,2500,50.0,50.0,100,213,247.0,301.75,332.5,381.75,428.65,525,339.01,58.339046473475584,80.0,0.1720865062195085,0.067802,0.135604
lognormal,5000,10,1250,75.0,25.0,100,97,131.5,176.0,205.5,248.0,306.0,330,211.44,50.093915838556725,72.0,0.23691787664849,0.042288,0.169152
lognormal,5000,10,2500,50.0,50.0,100,191,215.9,272.75,307.0,333.0,411.2,438,307.04,57.82277346611049,60.25,0.1883232590740961,0.061408,0.122816
nakagami,5000,10,1250,75.0,25.0,100,164,177.95,219.0,251.5,277.5,329.35,430,254.58,48.75359194226336,58.5,0.1915059782475581,0.0509159999999999,0.2036639999999999
nakagami,5000,10,2500,50.0,50.0,100,248,274.95,326.5,374.5,414.75,477.75,542,373.47,60.62193739010073,88.25,0.1623207684421793,0.074694,0.149388
rayleigh,5000,10,1250,75.0,25.0,100,109,181.75,214.5,242.5,284.5,358.15,404,251.27,55.75557316891236,70.0,0.2218950657416817,0.0502539999999999,0.2010159999999999
rayleigh,5000,10,2500,50.0,50.0,100,228,255.8,308.75,336.0,378.75,448.45,488,344.54,57.88588914075832,70.0,0.1680091981794808,0.068908,0.137816
rician,5000,10,1250,75.0,25.0,100,220,393.3,609.0,821.5,1036.5,1234.55,1249,820.52,272.34794590076064,427.5,0.3319211547564479,0.164104,0.6564160000000001
rician,5000,10,2500,50.0,50.0,100,478,628.65,788.25,889.5,1020.75,1213.75,1507,905.72,188.38371972807485,232.5,0.2079933309721269,0.181144,0.362288
thin_tail,5000,10,1250,75.0,25.0,100,103,158.75,186.0,222.5,260.25,302.0,411,224.86,47.74109891123711,74.25,0.2123147687949707,0.044972,0.179888
thin_tail,5000,10,2500,50.0,50.0,100,200,234.4,280.5,331.0,368.5,462.25,499,331.59,65.62859917980141,88.0,0.1979209239717766,0.066318,0.132636
twdp,5000,10,1250,75.0,25.0,100,130,165.85,208.25,237.0,269.25,331.15,367,240.89,47.90392215232232,61.0,0.1988622282050825,0.048178,0.192712
twdp,5000,10,2500,50.0,50.0,100,197,244.85,271.75,311.5,352.0,412.15,462,314.95,54.19314038369122,80.25,0.1720690280479162,0.06299,0.12598
gaussian,5000,2,1250,75.0,25.0,100,107,128.65,161.75,196.5,231.25,265.35,390,196.23,47.76834990373074,69.5,0.2434304127999324,0.039246,0.156984
gaussian,5000,2,2500,50.0,50.0,100,149,185.85,225.75,260.5,287.25,367.1,401,261.26,53.07353770044356,61.5,0.2031445215511121,0.052252,0.104504
lognormal,5000,2,1250,75.0,25.0,100,102,125.0,161.5,187.5,212.75,272.0,290,189.72,42.86909366804006,51.25,0.2259598021718324,0.037944,0.151776
lognormal,5000,2,2500,50.0,50.0,100,102,181.75,222.5,261.5,294.25,358.45,396,262.02,56.95168606331638,71.75,0.2173562554893381,0.052404,0.104808
nakagami,5000,2,1250,75.0,25.0,100,129,149.0,195.0,220.5,252.25,317.25,382,226.21,50.370003699893374,57.25,0.2226692175407514,0.045242,0.180968
nakagami,5000,2,2500,50.0,50.0,100,210,234.9,267.75,298.0,337.25,397.25,429,304.58,49.55828728259117,69.5,0.1627102478251729,0.060916,0.121832
rayleigh,5000,2,1250,75.0,25.0,100,112,137.9,168.0,202.0,233.25,258.2,303,200.38,40.157462795622656,65.25,0.2004065415491698,0.040076,0.160304
rayleigh,5000,2,2500,50.0,50.0,100,175,191.6,226.0,249.5,288.75,346.25,410,261.08,50.13047219430754,62.75,0.1920119204623393,0.052216,0.104432
rician,5000,2,1250,75.0,25.0,100,181,228.55,284.75,346.0,438.0,572.0499999999998,840,373.52,122.42338193516974,153.25,0.3277558950930867,0.0747039999999999,0.2988159999999999
rician,5000,2,2500,50.0,50.0,100,257,306.95,372.0,422.0,483.25,559.4,652,424.71,79.32955109395034,111.25,0.1867852207246129,0.0849419999999999,0.1698839999999999
thin_tail,5000,2,1250,75.0,25.0,100,118,136.65,178.25,210.0,235.25,294.1,309,211.93,45.78634064761007,57.0,0.2160446404360405,0.042386,0.169544
thin_tail,5000,2,2500,50.0,50.0,100,153,200.5,247.75,284.0,322.25,387.05,428,284.48,56.02082585336394,74.5,0.1969236004406775,0.056896,0.113792
twdp,5000,2,1250,75.0,25.0,100,83,115.8,155.5,181.0,204.0,252.45,308,181.35,41.36493781946349,48.5,0.2280945013480203,0.03627,0.14508
twdp,5000,2,2500,50.0,50.0,100,162,174.95,207.25,233.0,263.5,315.15,371,237.65,42.57859636820909,56.25,0.1791651435649446,0.0475299999999999,0.0950599999999999
gaussian,5000,4,1250,75.0,25.0,100,132,151.85,187.0,210.0,243.25,309.69999999999993,383,219.36,47.80865058446087,56.25,0.2179460730509704,0.043872,0.175488
gaussian,5000,4,2500,50.0,50.0,100,193,217.0,266.75,301.5,336.5,410.05,446,306.08,56.61185941357717,69.75,0.1849577215550744,0.061216,0.122432
lognormal,5000,4,1250,75.0,25.0,100,85,126.0,165.0,195.5,233.25,286.35,317,198.16,48.684040070394296,68.25,0.2456804605893939,0.0396319999999999,0.1585279999999999
lognormal,5000,4,2500,50.0,50.0,100,135,178.7,237.0,280.5,319.0,400.05,454,280.7,65.12962986896737,82.0,0.2320257565691748,0.0561399999999999,0.1122799999999999
nakagami,5000,4,1250,75.0,25.0,100,120,162.95,200.5,236.5,271.0,320.35,373,237.75,49.40829174267506,70.5,0.2078161587494219,0.04755,0.1902
nakagami,5000,4,2500,50.0,50.0,100,162,253.0,284.75,329.0,381.25,423.15,487,333.2,60.376930506392405,96.5,0.1812032728283085,0.06664,0.13328
rayleigh,5000,4,1250,75.0,25.0,100,140,153.0,197.75,222.0,255.0,307.29999999999995,364,227.09,45.833271625302814,57.25,0.2018286653983126,0.045418,0.181672
rayleigh,5000,4,2500,50.0,50.0,100,184,212.9,261.75,297.5,350.0,409.1,432,305.1,58.22656896411923,88.25,0.1908442116162544,0.06102,0.12204
rician,5000,4,1250,75.0,25.0,100,193,307.45,443.0,562.5,714.0,1053.85,1250,599.07,215.83894365002715,271.0,0.3602900222845863,0.119814,0.4792560000000001
rician,5000,4,2500,50.0,50.0,100,372,440.95,525.25,603.5,690.75,788.55,1001,612.5,113.87442135257524,165.5,0.1859174226164493,0.1224999999999999,0.2449999999999999
thin_tail,5000,4,1250,75.0,25.0,100,109,147.8,194.5,220.0,263.0,321.2,382,228.6,53.74387444541043,68.5,0.2351000631907717,0.04572,0.18288
thin_tail,5000,4,2500,50.0,50.0,100,196,227.65,279.0,330.0,372.75,440.9,507,329.71,67.45642738805249,93.75,0.2045932103607791,0.065942,0.131884
