data_profile,N,L,K,off_pct,active_pct,cases,best_T_min,best_T_p05,best_T_p25,best_T_median,best_T_p75,best_T_p95,best_T_max,best_T_mean,best_T_std,best_T_iqr,best_T_cv,best_T_over_N_mean,best_T_over_K_mean
gaussian,1000,10,250,75.0,25.0,100,18,23.85,36.0,48.0,60.0,76.05,108,49.06,17.70169198099151,24.0,0.3608172030369243,0.04906,0.19624
gaussian,1000,10,500,50.0,50.0,100,23,36.0,57.0,69.0,82.0,107.05,129,70.4,20.37526724122938,25.0,0.2894214096765536,0.0704,0.1408
lognormal,1000,10,250,75.0,25.0,100,9,24.8,32.0,41.0,49.25,65.05,94,41.73,14.536512718675068,17.25,0.3483468180847129,0.04173,0.16692
lognormal,1000,10,500,50.0,50.0,100,26,32.0,44.75,58.5,68.0,92.0,101,58.71,18.327158739825094,23.25,0.3121641754356174,0.05871,0.11742
nakagami,1000,10,250,75.0,25.0,100,22,29.85,39.75,51.0,65.0,83.1,92,52.78,16.897540314698727,25.25,0.3201504417335871,0.05278,0.21112
nakagami,1000,10,500,50.0,50.0,100,31,45.0,59.0,73.5,88.0,113.05,156,74.64,21.78105932810765,29.0,0.2918148355855794,0.07464,0.14928
rayleigh,1000,10,250,75.0,25.0,100,12,23.95,36.75,46.0,59.0,74.05,97,48.05,16.631098410611198,22.25,0.3461206745184432,0.0480499999999999,0.1921999999999999
rayleigh,1000,10,500,50.0,50.0,100,24,45.95,55.0,71.5,88.0,110.0,141,73.04,21.047286828194338,33.0,0.2881611011527154,0.07304,0.14608
rician,1000,10,250,75.0,25.0,100,28,37.95,91.0,138.5,185.5,246.0,250,140.84,63.643692507267325,94.5,0.4518864847150477,0.1408399999999999,0.5633599999999999
rician,1000,10,500,50.0,50.0,100,57,81.85,129.25,171.0,224.0,314.6,353,180.81,69.06221686262177,94.75,0.3819601618418327,0.18081,0.36162
thin_tail,1000,10,250,75.0,25.0,100,18,19.0,31.75,39.5,50.25,67.1,89,41.84,15.36210738910334,18.5,0.3671631785158541,0.0418399999999999,0.1673599999999999
thin_tail,1000,10,500,50.0,50.0,100,23,35.95,53.0,65.5,82.0,103.1,111,66.36,20.56353544259814,29.0,0.3098784726129919,0.0663599999999999,0.1327199999999999
twdp,1000,10,250,75.0,25.0,100,15,26.0,35.75,45.0,57.25,70.24999999999999,84,46.33,14.58521113451512,21.5,0.3148113778224718,0.04633,0.18532
twdp,1000,10,500,50.0,50.0,100,26,40.9,53.75,64.0,76.25,90.39999999999998,109,65.02,16.73620644174199,22.5,0.2574008988271608,0.06502,0.13004
gaussian,1000,2,250,75.0,25.0,100,10,18.0,29.75,36.0,45.25,68.05,92,38.29,15.34801339429684,15.5,0.4008360771558328,0.03829,0.15316
gaussian,1000,2,500,50.0,50.0,100,19,28.8,38.75,48.0,63.0,80.1,92,50.98,16.69632512642446,24.25,0.3275073583056975,0.05098,0.10196
lognormal,1000,2,250,75.0,25.0,100,11,17.95,26.0,34.5,43.0,62.0,76,35.66,13.53201964067284,17.0,0.3794733494299731,0.03566,0.14264
lognormal,1000,2,500,50.0,50.0,100,17,20.0,36.75,48.0,60.25,83.05,109,49.67,18.52110726013469,23.5,0.3728831741520977,0.04967,0.09934
nakagami,1000,2,250,75.0,25.0,100,11,20.85,33.0,42.5,54.0,70.05,99,43.8,16.280992201665935,21.0,0.3717121507229666,0.0438,0.1752
nakagami,1000,2,500,50.0,50.0,100,14,31.9,45.0,57.0,72.0,95.05,114,60.22,19.79163173840618,27.0,0.3286554589572597,0.06022,0.12044
rayleigh,1000,2,250,75.0,25.0,100,11,18.95,29.0,35.0,46.0,64.05,90,38.29,14.458785033551909,17.0,0.3776125629028966,0.03829,0.15316
rayleigh,1000,2,500,50.0,50.0,100,22,28.95,39.75,49.5,62.0,75.0,106,51.48,15.572885008075652,22.25,0.3025035937854634,0.05148,0.10296
rician,1000,2,250,75.0,25.0,100,26,30.0,48.75,69.0,104.25,157.45,209,80.82,41.11314272894381,55.5,0.508700108004749,0.08082,0.32328
rician,1000,2,500,50.0,50.0,100,45,51.0,72.75,88.0,108.25,131.14999999999998,146,91.19,24.13375815798863,35.5,0.2646535602367434,0.0911899999999999,0.1823799999999999
thin_tail,1000,2,250,75.0,25.0,100,16,21.0,30.0,40.0,51.25,68.29999999999998,88,41.93,14.801211389134965,21.25,0.3529981251880507,0.0419299999999999,0.1677199999999999
thin_tail,1000,2,500,50.0,50.0,100,16,29.85,40.75,53.5,67.0,89.29999999999998,107,55.35,18.598020422517116,26.25,0.3360075957094329,0.05535,0.1107
twdp,1000,2,250,75.0,25.0,100,10,17.95,30.0,35.0,42.0,59.05,80,36.77,12.836072120191108,12.0,0.3490908925806665,0.03677,0.14708
twdp,1000,2,500,50.0,50.0,100,12,25.0,35.75,45.0,58.0,76.19999999999999,90,47.68,15.780617186532304,22.25,0.3309693201873386,0.04768,0.09536
gaussian,1000,4,250,75.0,25.0,100,11,20.95,32.0,42.0,52.0,69.05,84,42.57,14.192226496547075,20.0,0.3333856353428958,0.04257,0.17028
gaussian,1000,4,500,50.0,50.0,100,27,34.9,44.75,57.5,71.0,94.1,128,59.67,19.246962242274897,26.25,0.3225567662523026,0.05967,0.11934
lognormal,1000,4,250,75.0,25.0,100,9,15.85,28.0,38.0,49.0,66.0,75,38.76,14.833159685738782,21.0,0.3826924583523937,0.0387599999999999,0.1550399999999999
lognormal,1000,4,500,50.0,50.0,100,20,27.85,42.0,51.5,67.25,82.1,108,54.46,17.55765107043397,25.25,0.3223953556818577,0.0544599999999999,0.1089199999999999
nakagami,1000,4,250,75.0,25.0,100,20,26.95,37.0,48.0,57.0,72.54999999999997,114,48.36,15.781666898683742,20.0,0.3263371980703834,0.04836,0.19344
nakagami,1000,4,500,50.0,50.0,100,27,37.0,50.0,62.0,82.25,99.74999999999996,139,65.74,22.420057758600667,32.25,0.3410413410191766,0.0657399999999999,0.1314799999999999
rayleigh,1000,4,250,75.0,25.0,100,12,18.0,32.75,44.0,56.0,75.05,107,44.86,17.352565088525534,23.25,0.3868159850317774,0.04486,0.17944
rayleigh,1000,4,500,50.0,50.0,100,19,33.9,49.0,60.0,75.25,92.05,107,61.77,18.049793641619576,26.25,0.2922097076512802,0.06177,0.12354
rician,1000,4,250,75.0,25.0,100,34,43.95,92.5,135.0,188.5,228.89999999999995,250,137.91,57.49942380036288,96.0,0.4169344050494009,0.1379099999999999,0.5516399999999999
rician,1000,4,500,50.0,50.0,100,43,77.95,99.75,136.0,162.0,210.5,251,136.33,43.52058725651017,62.25,0.3192297165444888,0.13633,0.27266
thin_tail,1000,4,250,75.0,25.0,100,16,18.95,33.0,42.5,53.5,66.1,84,42.98,14.92945025272146,20.5,0.3473580794025468,0.0429799999999999,0.1719199999999999
thin_tail,1000,4,500,50.0,50.0,100,24,32.9,48.0,59.5,76.0,95.1,116,61.92,20.25478120385806,28.0,0.3271120995455113,0.06192,0.12384
twdp,1000,4,250,75.0,25.0,100,10,17.95,28.0,36.0,45.0,68.0,82,38.62,14.76604075559727,17.0,0.3823418113826326,0.03862,0.15448
twdp,1000,4,500,50.0,50.0,100,24,31.0,42.0,52.0,64.0,84.0,106,54.17,16.675788412903277,22.0,0.3078417650526726,0.0541699999999999,0.1083399999999999
gaussian,1000,6,250,75.0,25.0,100,11,21.95,36.0,46.5,55.75,84.0,92,47.58,17.42410961741219,19.75,0.3662065913705798,0.04758,0.19032
gaussian,1000,6,500,50.0,50.0,100,29,39.9,52.0,63.0,81.0,100.1,114,66.58,19.27691873613612,29.0,0.2895301702633842,0.0665799999999999,0.1331599999999999
lognormal,1000,6,250,75.0,25.0,100,8,16.95,27.0,35.5,44.25,66.0,82,37.16,14.70773863507153,17.25,0.3957949040654341,0.03716,0.14864
lognormal,1000,6,500,50.0,50.0,100,20,30.95,42.75,56.0,74.0,89.14999999999999,101,58.66,18.79620636557744,31.25,0.3204262933102188,0.05866,0.11732
nakagami,1000,6,250,75.0,25.0,100,21,28.95,37.0,46.0,58.25,79.29999999999998,92,48.89,16.430997436786264,21.25,0.3360809457309524,0.04889,0.19556
nakagami,1000,6,500,50.0,50.0,100,36,41.0,56.75,72.5,87.25,100.15,133,71.88,19.66449911013564,30.5,0.2735739998627662,0.07188,0.14376
rayleigh,1000,6,250,75.0,25.0,100,17,25.95,37.0,47.5,59.0,79.05,115,49.32,17.040581390944798,22.0,0.3455105715925547,0.04932,0.19728
rayleigh,1000,6,500,50.0,50.0,100,23,38.0,51.0,62.5,78.0,102.29999999999998,125,65.4,19.974731512335755,27.0,0.3054240292406078,0.0654,0.1308
rician,1000,6,250,75.0,25.0,100,32,53.0,94.25,149.5,210.0,247.0,250,149.51,64.75790112083435,115.75,0.4331342460091923,0.14951,0.59804
rician,1000,6,500,50.0,50.0,100,78,93.95,126.5,169.0,206.25,253.3,294,170.19,52.742119905453286,79.75,0.3099014037572906,0.17019,0.34038
thin_tail,1000,6,250,75.0,25.0,100,13,17.95,30.0,43.5,55.25,76.0,87,43.98,17.14347064799266,25.25,0.3898015154159314,0.0439799999999999,0.1759199999999999
thin_tail,1000,6,500,50.0,50.0,100,26,38.9,51.5,66.5,80.0,102.1,123,67.76,20.036391134557384,28.5,0.2956964453151915,0.06776,0.13552
twdp,1000,6,250,75.0,25.0,100,14,17.0,30.0,39.5,55.0,75.05,96,43.27,18.019548868219243,25.0,0.4164443926096427,0.04327,0.17308
twdp,1000,6,500,50.0,50.0,100,16,36.85,55.0,64.0,78.0,94.05,99,65.27,18.328569629037197,23.0,0.2808115463311965,0.06527,0.13054
gaussian,1000,8,250,75.0,25.0,100,15,22.95,31.0,43.0,54.25,75.05,81,44.07,15.967931878764029,23.25,0.3623311068473798,0.0440699999999999,0.1762799999999999
gaussian,1000,8,500,50.0,50.0,100,22,37.95,50.0,64.0,77.0,99.05,105,64.36,18.6777672621486,27.0,0.2902076951856526,0.0643599999999999,0.1287199999999999
lognormal,1000,8,250,75.0,25.0,100,12,18.85,29.5,41.0,52.0,76.29999999999998,104,42.91,18.52003828780649,22.5,0.4316019176836748,0.04291,0.17164
lognormal,1000,8,500,50.0,50.0,100,19,25.95,42.75,59.0,74.0,91.05,104,58.61,20.360337259813093,31.25,0.3473867473095562,0.05861,0.11722
nakagami,1000,8,250,75.0,25.0,100,13,25.95,34.75,45.5,56.25,78.05,89,47.45,16.391901794619333,21.5,0.3454563075789111,0.04745,0.1898
nakagami,1000,8,500,50.0,50.0,100,29,41.9,53.75,75.5,88.25,108.39999999999998,123,73.73,21.877000052866737,34.5,0.2967177546842091,0.0737299999999999,0.1474599999999999
rayleigh,1000,8,250,75.0,25.0,100,11,23.0,34.75,43.5,58.0,78.1,109,46.63,17.38724425049187,23.25,0.3728767799805247,0.0466299999999999,0.1865199999999999
rayleigh,1000,8,500,50.0,50.0,100,11,37.0,53.0,65.0,83.0,102.25,123,68.39,20.826311543940093,30.0,0.3045227598178109,0.0683899999999999,0.1367799999999999
rician,1000,8,250,75.0,25.0,100,23,48.95,113.5,164.0,215.0,245.05,250,157.93,62.26016691142406,101.5,0.3942263465549551,0.15793,0.6317200000000001
rician,1000,8,500,50.0,50.0,100,69,103.85,136.5,161.0,210.0,259.15,302,172.2,50.177462847156576,73.5,0.2913906088685051,0.1722,0.3444
thin_tail,1000,8,250,75.0,25.0,100,15,18.95,31.75,41.0,53.25,75.05,85,43.08,16.329733678789804,21.5,0.3790560278270614,0.04308,0.17232
thin_tail,1000,8,500,50.0,50.0,100,29,35.95,49.75,63.5,77.25,98.05,121,64.69,19.09820182978788,27.5,0.2952264929631764,0.06469,0.12938
twdp,1000,8,250,75.0,25.0,100,13,22.0,35.5,48.0,57.25,69.05,108,47.43,16.69709646324864,21.75,0.352036611074186,0.04743,0.18972
twdp,1000,8,500,50.0,50.0,100,23,36.85,51.0,59.5,72.25,101.1,134,63.09,19.54021752719506,21.25,0.3097197262196078,0.06309,0.12618
gaussian,2000,10,500,75.0,25.0,100,40,57.9,82.25,99.0,116.75,145.34999999999997,166,100.06,26.82672420019133,34.5,0.2681063781750083,0.05003,0.20012
gaussian,2000,10,1000,50.0,50.0,100,71,91.95,123.0,138.5,162.25,200.2,237,142.32,32.06208623495006,39.25,0.2252816626963888,0.07116,0.14232
lognormal,2000,10,500,75.0,25.0,100,33,39.95,60.75,78.5,95.25,118.15,135,78.63,24.062903676267613,34.5,0.306027008473453,0.0393149999999999,0.1572599999999999
lognormal,2000,10,1000,50.0,50.0,100,68,73.95,88.75,108.0,142.0,167.05,191,115.26,31.111276334337603,53.25,0.2699225779484435,0.05763,0.11526
