data_profile,generator_seed,sample,N,L,K,off_pct,active_pct,sigma,P,formula,formula_family,formula_label,formula_T,rule_note,u_bf,u_i,u_g,u_g_db,exact_completed,exact_u_g,fraction_exact_u_g,gap_to_exact_pct,is_exact_best
gaussian,42,0,28,2,7,75.0,25.0,1.0,1.0,best_tested_T,best_tested,best tested T per sample,1,,13.143847541836907,43.39810064600434,35.60855936404897,15.515544035282234,True,37.587157343725735,0.9473597334966583,5.264026650334175,False
gaussian,42,0,28,2,7,75.0,25.0,1.0,1.0,T_0p025N,N,T_0p025N,1,,13.143847541836907,43.39810064600434,35.60855936404897,15.515544035282234,True,37.587157343725735,0.9473597334966583,5.264026650334175,False
gaussian,42,0,28,2,7,75.0,25.0,1.0,1.0,T_0p05N,N,T_0p05N,1,,13.143847541836907,43.39810064600434,35.60855936404897,15.515544035282234,True,37.587157343725735,0.9473597334966583,5.264026650334175,False
gaussian,42,0,28,2,7,75.0,25.0,1.0,1.0,T_0p075N,N,T_0p075N,2,,11.16717437907561,13.329690115094028,33.4979642236314,15.250184144007765,True,37.587157343725735,0.8912077047301123,10.879229526988766,False
gaussian,42,0,28,2,7,75.0,25.0,1.0,1.0,T_0p10N,N,T_0p10N,3,,9.704123312596165,0.824337003490612,30.1776074296249,14.796848046476207,True,37.587157343725735,0.8028701706185908,19.71298293814092,False
gaussian,42,0,28,2,7,75.0,25.0,1.0,1.0,T_0p10K,K,T_0p10K,1,,13.143847541836907,43.39810064600434,35.60855936404897,15.515544035282234,True,37.587157343725735,0.9473597334966583,5.264026650334175,False
gaussian,42,0,28,2,7,75.0,25.0,1.0,1.0,T_0p20K,K,T_0p20K,1,,13.143847541836907,43.39810064600434,35.60855936404897,15.515544035282234,True,37.587157343725735,0.9473597334966583,5.264026650334175,False
gaussian,42,0,28,2,7,75.0,25.0,1.0,1.0,legacy_T25,legacy,legacy_T25,7,,8.598661020862712,0.4589096141333334,26.40674851539396,14.217149294630598,True,37.587157343725735,0.7025471033606091,29.74528966393909,False
gaussian,42,0,28,2,7,75.0,25.0,1.0,1.0,legacy_T50,legacy,legacy_T50,7,,8.598661020862712,0.4589096141333334,26.40674851539396,14.217149294630598,True,37.587157343725735,0.7025471033606091,29.74528966393909,False
gaussian,42,0,28,2,7,75.0,25.0,1.0,1.0,legacy_T100,legacy,legacy_T100,7,,8.598661020862712,0.4589096141333334,26.40674851539396,14.217149294630598,True,37.587157343725735,0.7025471033606091,29.74528966393909,False
gaussian,42,0,28,2,7,75.0,25.0,1.0,1.0,T_0p05K,K,T_0p05K,0,,10.38335167209913,28.289081308680977,21.697827862098038,13.364162594373889,True,37.587157343725735,0.5772670612910812,42.273293870891884,False
