data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label
thin_tail,42,0,1000,8,250,1.0,1.0,75.0,25.0,25,1681.4558675782982,32853.744545546804,2.539578843585649e+18,184.0476170044977,2.867717463048346e+18,0.8855749829992352,11.44250170007648,False,T_0p025N,N,25,T_0p025N
thin_tail,42,1,1000,8,250,1.0,1.0,75.0,25.0,25,1174.8354196854755,18077.27213301001,1.4930902844170742e+17,171.7408606950576,2.9233479284782317e+17,0.5107466921305917,48.92533078694083,False,T_0p025N,N,25,T_0p025N
thin_tail,42,2,1000,8,250,1.0,1.0,75.0,25.0,25,1387.1190495722026,23347.623041981016,5.64095098281136e+17,177.5135232592872,6.940694569410956e+17,0.812735804233797,18.7264195766203,False,T_0p025N,N,25,T_0p025N
thin_tail,42,3,1000,8,250,1.0,1.0,75.0,25.0,25,1681.1807234296105,44332.93492058097,2.197787391826289e+18,183.41985677613127,2.5484243500776095e+18,0.8624102935444632,13.758970645553681,False,T_0p025N,N,25,T_0p025N
thin_tail,42,4,1000,8,250,1.0,1.0,75.0,25.0,25,1465.165156225009,30511.854034747652,8.317499499562491e+17,179.19992783410743,9.571535983704842e+17,0.8689827331499043,13.101726685009574,False,T_0p025N,N,25,T_0p025N
thin_tail,42,5,1000,8,250,1.0,1.0,75.0,25.0,25,1555.4431488478165,34955.10903122992,1.283394539118429e+18,181.0836018702329,1.3859847934083407e+18,0.9259802453982,7.401975460179999,False,T_0p025N,N,25,T_0p025N
thin_tail,42,6,1000,8,250,1.0,1.0,75.0,25.0,25,1160.9585900816949,11872.724266414862,1.5539614284660176e+17,171.91440234791625,2.0288620306721357e+17,0.7659276012727244,23.40723987272756,False,T_0p025N,N,25,T_0p025N
thin_tail,42,7,1000,8,250,1.0,1.0,75.0,25.0,25,1644.794899384774,36918.973892473376,2.077107881569799e+18,183.17459053662554,2.8079894513937044e+18,0.73971356286216,26.028643713784007,False,T_0p025N,N,25,T_0p025N
thin_tail,42,8,1000,8,250,1.0,1.0,75.0,25.0,25,1222.4659039361168,15220.507656902759,2.2291986498198054e+17,173.48148771340925,3.3931553664348045e+17,0.6569692245368738,34.30307754631262,False,T_0p025N,N,25,T_0p025N
thin_tail,42,9,1000,8,250,1.0,1.0,75.0,25.0,25,1358.4266145038587,27611.170331146946,4.372384944068664e+17,176.40718390177355,7.284409470532863e+17,0.6002387649617972,39.97612350382028,False,T_0p025N,N,25,T_0p025N
thin_tail,42,10,1000,8,250,1.0,1.0,75.0,25.0,25,1405.998484390497,47015.960396182534,4.472327073102103e+17,176.50533557143393,6.471389877940041e+17,0.6910922008188023,30.89077991811977,False,T_0p025N,N,25,T_0p025N
thin_tail,42,11,1000,8,250,1.0,1.0,75.0,25.0,25,1974.981518555985,54336.1380691927,8.786499360921652e+18,189.43815881780426,1.313522788162092e+19,0.6689262980519662,33.10737019480337,False,T_0p025N,N,25,T_0p025N
thin_tail,42,12,1000,8,250,1.0,1.0,75.0,25.0,25,1789.3663808929118,33878.36742301943,4.4083151274724966e+18,186.44272632402405,5.211942560611946e+18,0.8458103818693862,15.418961813061383,False,T_0p025N,N,25,T_0p025N
thin_tail,42,13,1000,8,250,1.0,1.0,75.0,25.0,25,1046.4553515547177,16344.409067193168,5.602353888944451e+16,167.48370538825552,1.0771281311565162e+17,0.5201195407392419,47.988045926075806,False,T_0p025N,N,25,T_0p025N
thin_tail,42,14,1000,8,250,1.0,1.0,75.0,25.0,25,1448.315348001737,30054.58679610186,7.527023235082409e+17,178.76623256655037,1.183640363606858e+18,0.6359214729840426,36.40785270159574,False,T_0p025N,N,25,T_0p025N
thin_tail,42,15,1000,8,250,1.0,1.0,75.0,25.0,25,1508.7929209522688,26704.24679602682,1.0975507908679236e+18,180.40424627031035,1.2778617761361649e+18,0.8588963308586922,14.110366914130779,False,T_0p025N,N,25,T_0p025N
thin_tail,42,16,1000,8,250,1.0,1.0,75.0,25.0,25,1469.8163075733646,28508.55664445915,8.752860921239781e+17,179.42150027791382,1.2784007361420224e+18,0.6846727065923242,31.532729340767585,False,T_0p025N,N,25,T_0p025N
thin_tail,42,17,1000,8,250,1.0,1.0,75.0,25.0,25,1599.8064519748527,41596.99685470877,1.6131368057901883e+18,182.0767120029679,2.1853223791186496e+18,0.7381688034699821,26.183119653001786,False,T_0p025N,N,25,T_0p025N
thin_tail,42,18,1000,8,250,1.0,1.0,75.0,25.0,25,956.6713246338372,16318.767245567118,2.4674133921895984e+16,163.92241917591213,2.750896328698035e+16,0.8969488840596891,10.305111594031091,False,T_0p025N,N,25,T_0p025N
thin_tail,42,19,1000,8,250,1.0,1.0,75.0,25.0,25,1658.42751128844,40238.87771402354,2.2002754721590897e+18,183.4247705743545,3.0013124480149985e+18,0.7331044368986984,26.689556310130158,False,T_0p025N,N,25,T_0p025N
thin_tail,42,20,1000,8,250,1.0,1.0,75.0,25.0,25,1710.9366208223344,43458.953732861184,2.6601501646417715e+18,184.24906153110226,4.532000707526604e+18,0.586970377172245,41.3029622827755,False,T_0p025N,N,25,T_0p025N
thin_tail,42,21,1000,8,250,1.0,1.0,75.0,25.0,25,1783.730938172032,44368.52523827596,3.881734544153939e+18,185.89025832456,5.569026392870962e+18,0.697022113079413,30.297788692058703,False,T_0p025N,N,25,T_0p025N
thin_tail,42,22,1000,8,250,1.0,1.0,75.0,25.0,25,1188.9889181872702,15530.497591615383,1.6677879188280666e+17,172.22140823556717,2.35164205847265e+17,0.7092014334491302,29.079856655086978,False,T_0p025N,N,25,T_0p025N
thin_tail,42,23,1000,8,250,1.0,1.0,75.0,25.0,25,1152.7215141100976,19612.4932245454,1.2663533008970342e+17,171.02554886743218,1.9982301716460118e+17,0.6337374537057935,36.62625462942065,False,T_0p025N,N,25,T_0p025N
thin_tail,42,24,1000,8,250,1.0,1.0,75.0,25.0,25,1728.551581500746,35529.944441879496,3.3698056567390505e+18,185.2760485498422,3.591840228256261e+18,0.9381836169185614,6.181638308143855,False,T_0p025N,N,25,T_0p025N
thin_tail,42,25,1000,8,250,1.0,1.0,75.0,25.0,25,1387.9629418698948,18791.602260061958,6.135293427373158e+17,177.87835338186352,8.922340635618122e+17,0.6876327275469591,31.236727245304085,False,T_0p025N,N,25,T_0p025N
