data_profile,K,off_pct,cases,best_T_min,best_T_p05,best_T_p25,best_T_median,best_T_p75,best_T_p95,best_T_max,best_T_mean,best_T_std,best_T_iqr,best_T_cv,best_T_over_N_mean,best_T_over_K_mean
twdp,250,75.0,1000,7,17.950000000000003,26.0,34.5,45.0,61.0,91,36.254,13.770443315634726,19.0,0.37983238582321194,0.036254,0.145016
twdp,500,50.0,1000,11,23.0,36.0,45.0,56.0,74.0,111,46.388,15.023820125759332,20.0,0.3238729871035469,0.046388000000000006,0.09277600000000001
