data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label,rule_note
rician,42,0,5000,10,1250,1.0,1.0,75.0,25.0,1875,320161.14835525583,87730227127.86537,3.532833824109944e+31,315.48123209761656,4.043460957503865e+31,0.8737153298225131,12.62846701774869,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,1,5000,10,1250,1.0,1.0,75.0,25.0,1875,360270.6623047858,111522969535.65048,5.450498251972537e+31,317.36436204697105,7.4556640760250815e+31,0.7310546983332463,26.894530166675366,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,2,5000,10,1250,1.0,1.0,75.0,25.0,1875,332328.0180230586,94815935064.05524,2.8395770951534976e+31,314.5325366437191,3.523768400065048e+31,0.8058353367097224,19.41646632902776,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,3,5000,10,1250,1.0,1.0,75.0,25.0,1875,361950.32924619765,112594660592.23178,5.698862161891885e+31,317.55788152840876,8.831324256871533e+31,0.6453009759502012,35.469902404979884,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,4,5000,10,1250,1.0,1.0,75.0,25.0,1875,352607.3685777207,106725912500.67455,5.299419475742394e+31,317.2422829747054,9.247126030896094e+31,0.573088271754511,42.69117282454889,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,5,5000,10,1250,1.0,1.0,75.0,25.0,1875,332034.6870693195,94701800628.90147,2.5409627763537225e+31,314.04998302932074,4.036006989119261e+31,0.6295734331491365,37.04265668508635,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,6,5000,10,1250,1.0,1.0,75.0,25.0,1875,333368.5793527497,95402163643.15546,2.890903760518951e+31,314.6103363405348,4.027844228152549e+31,0.7177297821780267,28.227021782197326,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,7,5000,10,1250,1.0,1.0,75.0,25.0,1875,334946.77947702055,96434348455.76926,2.5240991014909865e+31,314.0210640223048,3.8370962110361775e+31,0.6578149107210876,34.21850892789124,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,8,5000,10,1250,1.0,1.0,75.0,25.0,1875,370941.68312729546,118255637015.03807,7.04941088639534e+31,318.48152824866867,9.668494635410927e+31,0.7291115268944582,27.088847310554176,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,9,5000,10,1250,1.0,1.0,75.0,25.0,1875,363072.04852661554,113429300139.96239,4.6434953728577975e+31,316.6684501711926,7.218316887916276e+31,0.6432933667169942,35.67066332830058,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,10,5000,10,1250,1.0,1.0,75.0,25.0,1875,360809.30999034294,111901510916.32697,5.216135474284011e+31,317.1734886243436,1.2279778365742004e+32,0.42477439892856134,57.522560107143875,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,11,5000,10,1250,1.0,1.0,75.0,25.0,1875,345283.06169721106,102342867064.69363,4.207265493823348e+31,316.23999918450176,5.629661887807476e+31,0.7473389304134401,25.26610695865599,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,12,5000,10,1250,1.0,1.0,75.0,25.0,1875,328071.1914986845,92439676143.45003,2.293180606782541e+31,313.6043826032968,3.9686229764969303e+31,0.5778277806592532,42.21722193407468,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,13,5000,10,1250,1.0,1.0,75.0,25.0,1875,377029.40721255384,122190605022.40276,7.8488720202615995e+31,318.9480724775481,1.4007451670548992e+32,0.5603354703528297,43.96645296471703,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,14,5000,10,1250,1.0,1.0,75.0,25.0,1875,357099.3578204918,109367615890.04291,7.104848621160192e+31,318.51554829104424,1.0251711447639406e+32,0.6930402457626895,30.69597542373105,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,15,5000,10,1250,1.0,1.0,75.0,25.0,1875,356970.3391076059,109496071135.45961,4.881580117296606e+31,316.88560421418055,7.871923092857906e+31,0.6201254839145469,37.98745160854531,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,16,5000,10,1250,1.0,1.0,75.0,25.0,1875,330473.8338758526,93777343490.2252,2.5540995042768997e+31,314.07237812785104,3.2882138625289054e+31,0.7767437311126072,22.32562688873928,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,17,5000,10,1250,1.0,1.0,75.0,25.0,1875,353015.75950836594,106797571824.26822,7.282383972991595e+31,318.62273573932606,8.383934406980058e+31,0.8686117542771608,13.138824572283925,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,18,5000,10,1250,1.0,1.0,75.0,25.0,1875,339484.06811445137,98992189453.63617,3.37042536564782e+31,315.27684714609006,4.931997214964877e+31,0.6833794138044383,31.662058619556166,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,19,5000,10,1250,1.0,1.0,75.0,25.0,1875,329611.4686628625,93210667854.3863,3.0591402041828444e+31,314.85599381694584,4.70857746387277e+31,0.6496952057504698,35.03047942495302,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,20,5000,10,1250,1.0,1.0,75.0,25.0,1875,351124.6042308541,105849147560.671,5.086762158520223e+31,317.0644143182105,7.716541126518306e+31,0.6592023647796411,34.07976352203589,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,21,5000,10,1250,1.0,1.0,75.0,25.0,1875,343155.39036755037,101106816700.20338,3.9678249912158593e+31,315.9855250848582,5.017982618564165e+31,0.7907211508738157,20.92788491261843,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
rician,42,22,5000,10,1250,1.0,1.0,75.0,25.0,1875,332850.06573928636,94991781760.085,3.678409263073893e+31,315.65660047579183,4.198182736044783e+31,0.8761908412160777,12.38091587839223,False,strong_weak,heuristic,1875,strong/weak H3,outside_dense_0_to_K
