data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,best_tested_T,best_tested_T_over_N,best_tested_T_over_K,best_tested_u_bf,best_tested_u_i,best_tested_u_g_value,best_tested_u_g_db,prev_T,prev_T_u_g,next_T,next_T_u_g,row_power_cv,row_power_skew3,row_power_p95_p50,row_power_p99_p50,row_power_max_p95,log_power_gap_max,log_power_gap_rank,log_power_gap_rank_pct,tail_mass_p80,tail_mass_p90,tail_mass_p95,tail_mass_p99
rician,42,0,5000,10,1250,1.0,1.0,75.0,25.0,1118,0.2236,0.8944,359339.4229508917,111118375490.63531,4.043460957503865e+31,316.06753254044264,1117,4.027574238276059e+31,1119,4.0152157023752663e+31,0.23837699233607643,0.4485071264731791,1.4360948019673225,1.6559252385004493,1.5298973092666128,0.078605485163173,4999,0.9998,0.2703716067488391,0.14522058615229644,0.07743725788601334,0.01752521415665704
rician,42,1,5000,10,1250,1.0,1.0,75.0,25.0,511,0.1022,0.4088,436186.54095871403,164745003518.99402,7.4556640760250815e+31,318.72486332122855,510,7.411401767040218e+31,512,7.412250679309477e+31,0.23380290298589843,0.3755274800669134,1.4358581185495727,1.6165003842290628,1.3970091585601032,0.07553117085781968,4991,0.9982,0.2692812137656446,0.14444572689217,0.07641976659325378,0.017053872235645924
rician,42,2,5000,10,1250,1.0,1.0,75.0,25.0,1213,0.2426,0.9704,365678.3063794886,115259549225.80638,3.5237684000650482e+31,315.4700735664152,1212,3.465615690896198e+31,1214,3.482744370734397e+31,0.2361857079019848,0.4766808026957435,1.4399620055825681,1.6728081750917212,1.503550208523755,0.23167538808691535,4999,0.9998,0.2697336733602526,0.1453995263159814,0.07764315720900154,0.017683442498676278
rician,42,3,5000,10,1250,1.0,1.0,75.0,25.0,986,0.1972,0.7888,409558.93967576255,144717976961.50717,8.831324256871533e+31,319.460258309083,985,8.77306857209457e+31,987,8.812117818686065e+31,0.23490517602673633,0.3546005112207522,1.4200191276473224,1.6329033889283626,1.4072426075203595,0.05774290089828171,4998,0.9996,0.26848453103477865,0.1443779233419425,0.07666023840425176,0.01722706477658629
rician,42,4,5000,10,1250,1.0,1.0,75.0,25.0,401,0.0802,0.3208,437078.12378973915,165270035121.31656,9.247126030896094e+31,319.66006776753875,400,9.117743904595103e+31,402,9.195916535269586e+31,0.23980856895031413,0.42554942471662704,1.4331450625761937,1.6773898805002276,1.413905730361321,0.057229231896011035,4997,0.9994,0.27071556118583284,0.14531709340912166,0.07738519810366822,0.017576950714856394
rician,42,5,5000,10,1250,1.0,1.0,75.0,25.0,424,0.0848,0.3392,409562.4717398312,145235145892.15366,4.036006989119261e+31,316.0595190962961,423,4.0251023557909023e+31,425,4.0136357897673453e+31,0.2337613508887323,0.3172802968407083,1.4272397913678383,1.6144200278370657,1.521944304563817,0.48491276491474133,4999,0.9998,0.2682591830463213,0.1435063048297914,0.07584033727058687,0.01691112586012459
rician,42,6,5000,10,1250,1.0,1.0,75.0,25.0,887,0.1774,0.7096,386142.76630059705,128748994578.36096,4.0278442281525485e+31,316.05072666409404,886,4.026671184041805e+31,888,3.9957444403562565e+31,0.23324569587331462,0.4355679106691523,1.4323821908957899,1.6277106885044919,1.5021320520508665,0.06581295971534934,1,0.0002,0.26880814422154864,0.1445369865178332,0.0768576434726696,0.017188605982860188
rician,42,7,5000,10,1250,1.0,1.0,75.0,25.0,858,0.1716,0.6864,388148.26360439335,130136869653.89006,3.8370962110361775e+31,315.84002688799114,857,3.8052029291276074e+31,859,3.830983162122279e+31,0.2338653673620077,0.435671707552711,1.435184608822979,1.6346114717221363,1.5046989854831345,0.07939319376444964,4997,0.9994,0.26843241181881106,0.1446511267638448,0.07716559116462457,0.017434639126742767
rician,42,8,5000,10,1250,1.0,1.0,75.0,25.0,394,0.0788,0.3152,458232.60229289,181979861697.1833,9.668494635410927e+31,319.8535886059519,393,9.660180243938545e+31,395,9.624100934735526e+31,0.23690126351141705,0.36287705965812606,1.4266459964936158,1.6502249132101001,1.3664961982375128,0.06424848050074927,4997,0.9994,0.2692659135073844,0.14457578072976382,0.07685117625867749,0.01731824271139929
rician,42,9,5000,10,1250,1.0,1.0,75.0,25.0,658,0.1316,0.5264,425865.68732136197,156876282408.1377,7.218316887916276e+31,318.5843594389868,657,7.170380205808645e+31,659,7.148476702553154e+31,0.23597121831724158,0.35686672000432546,1.440936582124028,1.6323474398060913,1.3962680890224626,0.29506858155400284,4999,0.9998,0.2692990431223942,0.14474710058349527,0.07685330582889184,0.01704763486525044
rician,42,10,5000,10,1250,1.0,1.0,75.0,25.0,546,0.1092,0.4368,429080.3918217693,158942571199.62912,1.2279778365742003e+32,320.89190528417214,545,1.2212302436924599e+32,547,1.2169516162617022e+32,0.23642258073538802,0.3886949514258062,1.4353573278591567,1.6389597996629528,1.397947374402081,0.15509083441119076,4999,0.9998,0.26931598352948977,0.14472519045056284,0.07704743044155613,0.017300300285645016
rician,42,11,5000,10,1250,1.0,1.0,75.0,25.0,1174,0.2348,0.9392,384115.86094558146,127182200514.71753,5.629661887807476e+31,317.504823123169,1173,5.6086040489712655e+31,1175,5.607866732571529e+31,0.23514847705824254,0.41550959136645377,1.4281487732507623,1.6379408327256497,1.4558312305126804,0.07678824313876831,4999,0.9998,0.2690777572183531,0.14476011496902463,0.07700371063847192,0.01725854803744585
rician,42,12,5000,10,1250,1.0,1.0,75.0,25.0,864,0.1728,0.6912,378141.169692035,123367167263.00534,3.9686229764969308e+31,315.98639842418277,863,3.945369595523497e+31,865,3.963852566304136e+31,0.2341902442318829,0.3983740836108528,1.4320547157452137,1.6299618456789444,1.5323777675814287,0.09280061579850996,4999,0.9998,0.2688665331273589,0.14425489040682563,0.07659308661228871,0.017217539033469075
rician,42,13,5000,10,1250,1.0,1.0,75.0,25.0,686,0.1372,0.5488,438366.54295428336,165928212640.18362,1.4007451670548992e+32,321.4635913271019,685,1.3911697157056325e+32,687,1.3999756563258773e+32,0.23707063474633056,0.3834067554631529,1.4433186155482332,1.63155904943324,1.3320016536310744,0.11624206688641947,4997,0.9994,0.2699231972444591,0.1454379690729385,0.07710331056634258,0.017102284734165463
rician,42,14,5000,10,1250,1.0,1.0,75.0,25.0,697,0.1394,0.5576,425263.67254143965,156208962296.43594,1.0251711447639406e+32,320.10796373705966,696,1.0178035637062386e+32,698,1.0190791660934778e+32,0.2311431408651977,0.3762989346563634,1.4288850333226977,1.6253163736753258,1.3965873593601346,0.07302227424141484,2,0.0004,0.26833904921052776,0.14369052013743502,0.07602066623605798,0.01684369774995111
rician,42,15,5000,10,1250,1.0,1.0,75.0,25.0,678,0.1356,0.5424,423112.8529598666,154777076863.52042,7.8719230928579065e+31,318.9608084247225,677,7.786460448735301e+31,679,7.754205114309541e+31,0.23649563142245136,0.4381660204099322,1.456127840043242,1.6551195866923292,1.3889669509698774,0.04336302000564019,2,0.0004,0.2700853147879305,0.14566932445491182,0.07747049316919245,0.017145893558952647
rician,42,16,5000,10,1250,1.0,1.0,75.0,25.0,680,0.136,0.544,397744.4245193202,136926783416.1034,3.2882138625289054e+31,315.16960055916593,679,3.2468792007209808e+31,681,3.2702172795411945e+31,0.2318208339269637,0.39055359729754935,1.4346223673049394,1.625779288015164,1.5153170683506505,0.0860570543854396,1,0.0002,0.2683925277131042,0.14396881930288366,0.07626221682281975,0.016997436934276935
rician,42,17,5000,10,1250,1.0,1.0,75.0,25.0,1199,0.2398,0.9592,391359.0390410109,131867922953.49487,8.383934406980058e+31,319.2344787188225,1198,8.35432703828342e+31,1200,8.337236962957448e+31,0.23035221421402238,0.3502678173100682,1.4183020675766989,1.6146953673073523,1.4250104633782388,0.10763438711742435,4999,0.9998,0.26751615516570987,0.1433284209307714,0.0759373969810892,0.017063012582466845
rician,42,18,5000,10,1250,1.0,1.0,75.0,25.0,945,0.189,0.756,392254.5938969039,132833421415.02983,4.931997214964877e+31,316.9302282268328,944,4.914823906879529e+31,946,4.852705676254528e+31,0.2414006195962273,0.39951500578913896,1.445509261453468,1.64273481463645,1.461536531769098,0.05620045415799457,4997,0.9994,0.27077010441236465,0.1454422985288326,0.07728699197083236,0.01754115700533256
rician,42,19,5000,10,1250,1.0,1.0,75.0,25.0,713,0.1426,0.5704,387315.38228013954,129474520804.23338,4.70857746387277e+31,316.7288971967571,712,4.6747114311985855e+31,714,4.702958239942139e+31,0.23710524736385985,0.4228712412087257,1.4390186952021384,1.645317593794917,1.5070098309680136,0.1452237351154606,4999,0.9998,0.27028541911269904,0.14515553014431998,0.07712577879738425,0.01727961135384481
rician,42,20,5000,10,1250,1.0,1.0,75.0,25.0,400,0.08,0.32,439312.47834030644,167141589329.47925,7.716541126518306e+31,318.87422675169444,399,7.603623320715883e+31,401,7.67476960564977e+31,0.23738996218146272,0.36894166095738506,1.4334224138679694,1.6308066606714675,1.417576701878933,0.04762091001962232,4998,0.9996,0.26965350916924563,0.14460535467317404,0.07679883097745112,0.017173378126739528
rician,42,21,5000,10,1250,1.0,1.0,75.0,25.0,330,0.066,0.264,421655.9616583839,153971083192.25757,5.017982618564165e+31,317.0052915265919,329,4.976941477650246e+31,331,5.001194707415658e+31,0.23595597999403742,0.4243878191974565,1.4425443983798854,1.6448673201847848,1.4523383927688147,0.22469212773287106,4999,0.9998,0.26963899338371794,0.14525895856496637,0.07728608349984906,0.017323503005410253
rician,42,22,5000,10,1250,1.0,1.0,75.0,25.0,1059,0.2118,0.8472,380211.00695066305,124715493186.35126,4.198182736044783e+31,316.2306133837422,1058,4.181823705311444e+31,1060,4.1789811155662375e+31,0.23549802947013737,0.41642540905396097,1.4244789446696349,1.643211069562871,1.4957451334276124,0.2640009023673049,4999,0.9998,0.26933039891702826,0.14452497434402556,0.07686685607799297,0.017282017203923496
rician,42,23,5000,10,1250,1.0,1.0,75.0,25.0,785,0.157,0.628,377216.87446774653,122767062791.45056,4.0193866416307325e+31,316.04159784806154,784,3.9993066746361705e+31,786,3.9884891744746085e+31,0.23232974903627232,0.3388608890324879,1.4195460738926524,1.6146687851106951,1.5495736504891204,0.10846779618667846,4999,0.9998,0.26810390378646887,0.14332074727795333,0.07589625786913523,0.016970298518321266
rician,42,24,5000,10,1250,1.0,1.0,75.0,25.0,964,0.1928,0.7712,392696.1886427008,132964738493.84981,6.56159477559531e+31,318.1700940615412,963,6.525121567904005e+31,965,6.555915356680091e+31,0.2368963045877066,0.37340598897631166,1.4342940089089693,1.6271945652622792,1.450707557853794,0.13601272717775337,4999,0.9998,0.2697336233665591,0.14467616441502967,0.07674141144113586,0.017189241749471014
rician,42,25,5000,10,1250,1.0,1.0,75.0,25.0,293,0.0586,0.2344,419064.33704437886,152009518986.8906,5.5439326643472945e+31,317.43817946769695,292,5.541311072228819e+31,294,5.510134631302991e+31,0.23616175266125397,0.4141338109823582,1.4332755136699806,1.6462900574195365,1.4617948668504412,0.05099213260268942,4999,0.9998,0.2691513071696046,0.14495110934745714,0.07722401091969376,0.017465378670802424
rician,42,26,5000,10,1250,1.0,1.0,75.0,25.0,1249,0.2498,0.9992,378077.29167872417,123169486238.60135,5.16189654057355e+31,317.1280929576998,1248,5.148604517569798e+31,1250,5.142753606251327e+31,0.23522225029576094,0.3904712589571151,1.4299444633008653,1.621870185427654,1.4537379455595345,0.1645790241606957,4999,0.9998,0.26941895646032465,0.14458791433286997,0.07667790896669567,0.017188962352425965
rician,42,27,5000,10,1250,1.0,1.0,75.0,25.0,581,0.1162,0.4648,450446.79893365485,175375874455.7509,1.519353600660075e+32,321.81658859408674,580,1.5127333421794222e+32,582,1.5083757405022599e+32,0.23393228883863112,0.3393385108524119,1.423269928364966,1.6340240617589705,1.3472822913385438,0.48711039302924264,4999,0.9998,0.26862503314946545,0.14392724564024503,0.07621308000971452,0.017016992241762008
rician,42,28,5000,10,1250,1.0,1.0,75.0,25.0,220,0.044,0.176,411629.84945808706,146824591012.0344,3.4132114908743435e+31,315.3316319905333,219,3.387955264663879e+31,221,3.374999841528684e+31,0.2343970253476355,0.42107028174079003,1.4181045581468295,1.6551410623997465,1.5360015844763169,0.11776694388359887,4997,0.9994,0.2688448075735727,0.14431847207620183,0.07681571454918201,0.017401328632655224
rician,42,29,5000,10,1250,1.0,1.0,75.0,25.0,274,0.0548,0.2192,398885.77770002093,138040862781.478,1.915774846016255e+31,312.82344466705706,273,1.8862754396504633e+31,275,1.8970745033231447e+31,0.2350215549756289,0.38925489461903395,1.4263002931540707,1.6388445092317525,1.5921026972011159,0.192114977136562,4999,0.9998,0.2686889090144431,0.14423570533883676,0.0767149206888265,0.01733809788172639
rician,42,30,5000,10,1250,1.0,1.0,75.0,25.0,1120,0.224,0.896,360037.79810533853,111636996629.15523,3.521459293413017e+31,315.4672267249598,1119,3.4913533572963675e+31,1121,3.4850263157493683e+31,0.23510283263990503,0.3995221400892904,1.4355367145782523,1.6423969947551513,1.5389422798097963,0.079428677407953,1,0.0002,0.269370271819211,0.14492226148722187,0.07701680170200391,0.01712058327266701
