data_profile,N,L,K,off_pct,active_pct,cases,best_T_min,best_T_p05,best_T_p25,best_T_median,best_T_p75,best_T_p95,best_T_max,best_T_mean,best_T_std,best_T_iqr,best_T_cv,best_T_over_N_mean,best_T_over_K_mean
lognormal,500,8,125,75.0,25.0,100,3,7.0,13.0,19.0,25.0,33.0,38,19.36,8.43456093592418,12.0,0.43566946983079446,0.03872,0.15488
lognormal,500,8,250,50.0,50.0,100,6,8.95,19.75,27.0,33.0,50.099999999999994,71,27.4,11.6619037896906,13.25,0.4256169266310438,0.05479999999999999,0.10959999999999998
