target_obj,algorithm,exact_objective,sample,seed,N,L,K,candidate_count,active_count,u_bf,u_i,u_g,objective_value,direct_scan_verified,subset,enumeration_seconds,gurobi_model_seconds,direct_scan_seconds,total_seconds
bf,Gurobi-BF,bf,0,42,18,4,9,48620,9,19.542943316120343,107.11915835292723,160.03886749010238,19.542943316120343,True,1 3 4 5 10 11 12 13 15,3.569397500017658,1.2392778000212274,0.02472479999414645,4.808675300038885
int,Gurobi-Int,interference,0,42,18,4,9,48620,9,8.475316997340279,2.3339682848766863,78.00280714314489,2.3339682848766863,True,1 2 4 6 7 8 9 10 13,3.569397500017658,0.7725185999879614,0.02296319999732077,4.341916100005619
gen,Gurobi-Gen,general,0,42,18,4,9,48620,9,15.166587198403537,19.985939088955206,307.0653768201428,307.0653768201428,True,3 7 9 11 12 13 15 16 17,3.569397500017658,0.7150205000070855,0.021309100004145876,4.284418000024743
bf,Gurobi-BF,bf,1,43,18,4,9,48620,9,18.46793389341031,103.8419000733545,177.8316193197471,18.46793389341031,True,0 1 3 7 8 9 10 12 16,3.22319210000569,0.6861412999860477,0.021414599992567673,3.9093333999917377
int,Gurobi-Int,interference,1,43,18,4,9,48620,9,5.757734782296783,0.6502092012394378,31.09272285756875,0.6502092012394378,True,2 4 6 7 8 14 15 16 17,3.22319210000569,0.6995170000009239,0.022295500006293878,3.922709100006614
gen,Gurobi-Gen,general,1,43,18,4,9,48620,9,17.13199573014188,72.53764981762062,201.9294412289755,201.9294412289755,True,1 3 4 7 8 9 10 12 16,3.22319210000569,0.7173795999842696,0.02050390001386404,3.9405716999899596
bf,Gurobi-BF,bf,2,44,18,4,9,48620,9,10.18634457569466,13.771217780499754,81.01212985549202,10.18634457569466,True,0 1 3 4 5 9 10 12 14,3.3480044000025373,0.7358214999840129,0.021690199995646253,4.08382589998655
int,Gurobi-Int,interference,2,44,18,4,9,48620,9,4.137191515731715,0.8479014568374774,12.802430824294406,0.8479014568374774,True,2 3 6 8 9 11 14 16 17,3.3480044000025373,0.689455599989742,0.023229800019180402,4.037459999992279
gen,Gurobi-Gen,general,2,44,18,4,9,48620,9,10.18634457569466,13.771217780499754,81.01212985549202,81.01212985549202,True,0 1 3 4 5 9 10 12 14,3.3480044000025373,0.6694532000110485,0.021387700020568445,4.017457600013586
