data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label,rule_note
rician,42,0,2000,8,500,1.0,1.0,75.0,25.0,750,46183.61597097905,1754143970.7747679,2.1076290323312053e+20,203.2379417229513,2.136709019794573e+20,0.986390291240422,1.360970875957801,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,1,2000,8,500,1.0,1.0,75.0,25.0,750,55394.1320368499,2533986678.4453125,5.261021835485476e+20,207.2107010430831,8.66511400938388e+20,0.6071497535737044,39.285024642629566,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,2,2000,8,500,1.0,1.0,75.0,25.0,750,55212.9359612046,2509586001.624115,7.781394674278344e+20,208.91057443398375,1.3191718446545222e+21,0.5898696751154671,41.01303248845329,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,3,2000,8,500,1.0,1.0,75.0,25.0,750,58281.58851953879,2815652237.941418,5.2210390699871745e+20,207.17756943127657,1.1099775611236052e+21,0.47037338887301783,52.962661112698214,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,4,2000,8,500,1.0,1.0,75.0,25.0,750,56756.34309299373,2664643481.5309925,5.147874617265003e+20,207.11627960591895,1.2967194272070595e+21,0.39699217188044744,60.30078281195526,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,5,2000,8,500,1.0,1.0,75.0,25.0,750,51931.70297080452,2216455996.823371,5.6961208142297235e+20,207.5557919207488,7.720657273642214e+20,0.7377766700868699,26.222332991313014,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,6,2000,8,500,1.0,1.0,75.0,25.0,750,53287.731959126315,2350286433.7895465,2.95225713027699e+20,204.70154180182595,4.6863626829186256e+20,0.6299677020384495,37.00322979615505,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,7,2000,8,500,1.0,1.0,75.0,25.0,750,51802.3309775121,2216947113.8660817,2.8756557887220656e+20,204.58736900485164,3.77182807246928e+20,0.7624037292981589,23.75962707018411,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,8,2000,8,500,1.0,1.0,75.0,25.0,750,56816.214200204406,2659660361.4346657,8.740833183746209e+20,209.41552831931548,9.708459053513694e+20,0.9003316731899609,9.966832681003911,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,9,2000,8,500,1.0,1.0,75.0,25.0,750,52134.83451312916,2247557701.730399,2.741512220367307e+20,204.37990186103602,5.424903494339618e+20,0.5053568645465897,49.464313545341035,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
