N,L,K,off_pct,sample,seed,sigma,P,heuristic,active_count,u_bf,u_i,u_g,log2_u_g_per_active,u_bf_per_active,elapsed_seconds
1000,1,750,25,0,42,1.0,1.0,H1,750,11226.21196670783,0.0,11227.211966707837,0.017939616119876253,14.968282622277107,0.03100680001080036
1000,1,750,25,0,42,1.0,1.0,H2,750,11026.368490780684,0.0,11027.368490780687,0.017905067913222394,14.701824654374246,0.10284219999448396
1000,1,750,25,0,42,1.0,1.0,Coutino,750,19010.180645793655,0.0,19011.18064579364,0.01895274734611524,25.346907527724873,0.1540021999971941
1000,1,750,25,0,42,1.0,1.0,MISO-EE,389,11810.768681162088,0.0,11811.768681162097,0.034776188658143435,30.361873216354983,0.2822026000067126
1000,1,750,25,0,42,1.0,1.0,Pareto-H2,750,11226.21196670783,0.0,11227.211966707837,0.017939616119876253,14.968282622277107,0.289258200005861
1000,1,750,25,0,42,1.0,1.0,S-threshold-BF,750,22444.38534581278,0.0,22445.385345812796,0.01927217499256655,29.925847127750377,0.006859400018583983
1000,1,750,25,0,42,1.0,1.0,S-threshold-Int,750,11226.21196670783,0.0,11227.211966707837,0.017939616119876253,14.968282622277107,0.1333697999943979
1000,1,750,25,0,42,1.0,1.0,S-threshold-Gen,750,22444.38534581278,0.0,22445.385345812796,0.01927217499256655,29.925847127750377,0.22792950001894496
1000,1,750,25,0,42,1.0,1.0,Frame-BF,750,22823.295652764744,0.0,22824.29565276476,0.019304376959389892,30.43106087035299,0.02578449997236021
1000,1,750,25,0,42,1.0,1.0,Frame-Int,750,11226.21196670783,0.0,11227.211966707837,0.017939616119876253,14.968282622277107,0.21576140000252053
1000,1,750,25,0,42,1.0,1.0,Frame-Gen,750,22823.295652764744,0.0,22824.29565276476,0.019304376959389892,30.43106087035299,0.022206999972695485
1000,1,750,25,0,42,1.0,1.0,FrameOnly-BF,750,22823.295652764744,0.0,22824.29565276476,0.019304376959389892,30.43106087035299,0.018779799982439727
1000,1,750,25,0,42,1.0,1.0,FrameOnly-Int,750,11226.21196670783,0.0,11227.211966707837,0.017939616119876253,14.968282622277107,0.023199399991426617
1000,1,750,25,0,42,1.0,1.0,FrameOnly-Gen,750,22823.295652764744,0.0,22824.29565276476,0.019304376959389892,30.43106087035299,0.022940399998333305
1000,1,750,25,0,42,1.0,1.0,N-H3-Fast,750,6810.891316958668,0.0,6811.891316958668,0.016978452935743717,9.081188422611557,0.00016009999671950936
1000,1,750,25,1,43,1.0,1.0,H1,750,22625.85609388839,0.0,22626.856093888382,0.019287664695593523,30.167808125184518,0.030898400000296533
1000,1,750,25,1,43,1.0,1.0,H2,750,14069.717173607412,0.0,14070.71717360742,0.018373877657402667,18.759622898143217,0.09615450000273995
1000,1,750,25,1,43,1.0,1.0,Coutino,750,26138.35428943635,0.0,26139.354289436327,0.019565247843698765,34.8511390525818,0.16842320002615452
1000,1,750,25,1,43,1.0,1.0,MISO-EE,634,23779.1507728205,0.0,23780.1507728205,0.02292976378825379,37.5065469602847,0.26055629999609664
1000,1,750,25,1,43,1.0,1.0,Pareto-H2,750,22625.85609388839,0.0,22626.856093888382,0.019287664695593523,30.167808125184518,0.22533909999765456
1000,1,750,25,1,43,1.0,1.0,S-threshold-BF,750,33293.05301362073,0.0,33294.05301362073,0.02003063584740769,44.39073735149431,0.0066510000033304095
1000,1,750,25,1,43,1.0,1.0,S-threshold-Int,750,22625.85609388839,0.0,22626.856093888382,0.019287664695593523,30.167808125184518,0.13384940000833012
1000,1,750,25,1,43,1.0,1.0,S-threshold-Gen,750,33293.05301362073,0.0,33294.05301362073,0.02003063584740769,44.39073735149431,0.1724378000071738
1000,1,750,25,1,43,1.0,1.0,Frame-BF,750,33293.05301362073,0.0,33294.05301362073,0.02003063584740769,44.39073735149431,0.015899399993941188
1000,1,750,25,1,43,1.0,1.0,Frame-Int,750,22625.85609388839,0.0,22626.856093888382,0.019287664695593523,30.167808125184518,0.15625379999983124
1000,1,750,25,1,43,1.0,1.0,Frame-Gen,750,33293.05301362073,0.0,33294.05301362073,0.02003063584740769,44.39073735149431,0.02707009998266585
1000,1,750,25,1,43,1.0,1.0,FrameOnly-BF,750,33293.05301362073,0.0,33294.05301362073,0.02003063584740769,44.39073735149431,0.023600100015755743
1000,1,750,25,1,43,1.0,1.0,FrameOnly-Int,750,22625.85609388839,0.0,22626.856093888382,0.019287664695593523,30.167808125184518,0.02261390001513064
1000,1,750,25,1,43,1.0,1.0,FrameOnly-Gen,750,33293.05301362073,0.0,33294.05301362073,0.02003063584740769,44.39073735149431,0.02090830000815913
1000,1,750,25,1,43,1.0,1.0,N-H3-Fast,750,14185.083959299074,0.0,14186.083959299074,0.018389585027686704,18.91344527906543,0.00011369999265298247
1000,1,750,25,2,44,1.0,1.0,H1,750,20830.79733887966,0.0,20831.79733887966,0.019128666264061126,27.774396451839547,0.028464799979701638
1000,1,750,25,2,44,1.0,1.0,H2,750,12824.685571592066,0.0,12825.685571592077,0.018195664431794413,17.099580762122756,0.08197060000384226
1000,1,750,25,2,44,1.0,1.0,Coutino,750,29298.9691640776,0.0,29299.96916407759,0.019784815367832335,39.06529221877013,0.13058799999998882
1000,1,750,25,2,44,1.0,1.0,MISO-EE,486,21893.98438580487,0.0,21894.984385804884,0.02966731028908734,45.04935058807586,0.2515623999934178
1000,1,750,25,2,44,1.0,1.0,Pareto-H2,750,20830.79733887966,0.0,20831.79733887966,0.019128666264061126,27.774396451839547,0.22647130000405014
