N,L,K,off_pct,bf_frame,bf_frame_only,bf_quality_ratio_only_over_frame,bf_time_frame,bf_time_frame_only,bf_time_ratio_only_over_frame,int_frame,int_frame_only,int_quality_ratio_only_over_frame,int_time_frame,int_time_frame_only,int_time_ratio_only_over_frame,gen_frame,gen_frame_only,gen_quality_ratio_only_over_frame,gen_time_frame,gen_time_frame_only,gen_time_ratio_only_over_frame
1000,6,500,50,12136.153898292912,12136.153898292912,1.0,0.0199326799978734,0.0206442200025776,1.0356971568690267,84.91346402452328,337.6122395954095,3.975956504352549,1.6230058900051518,0.0915498199989088,0.05640757101541892,6.885123145541181e+19,6.885123145541181e+19,1.0,0.0727462699986063,0.0733940400066785,1.0089045116414164
1000,6,750,25,21018.25295738753,21018.25295738753,1.0,0.0217423400026746,0.0215572000015527,0.9914848171310391,190.56491932794447,596.983312804997,3.1327030961960234,1.3351122900028711,0.1169203599973116,0.0875734279976257,1.91635130611197e+21,1.91635130611197e+21,1.0,0.0683098300069104,0.069432719994802,1.016438190342122
1000,7,500,50,11733.099625773682,11733.099625773682,1.0,0.0220270599937066,0.0231183400028385,1.0495426992727896,173.22629071627745,621.5868865215219,3.5882941553000283,1.8757574699964608,0.1072000100015429,0.05715025088064566,3.455890510722514e+22,3.455890510722514e+22,1.0,0.0832114499993622,0.0824306599970441,0.9906167960980842
1000,7,750,25,20711.84424970453,20711.84424970453,1.0,0.0261864600033732,0.0255344400007743,0.9751008726450651,419.7152228092775,1565.3555526608602,3.729565828428797,1.6729495500039775,0.1352333299990277,0.08083527085362867,1.925693750291811e+24,1.925693750291811e+24,1.0,0.0794722500024363,0.078820710000582,0.991801666596399
1000,8,500,50,11267.254192288754,11267.254192288754,1.0,0.0244317099888576,0.0217925199976889,0.8919768615306772,323.63568268632514,938.1711598448688,2.898849570781616,2.328694020002149,0.1120935799990547,0.04813581305067776,1.3561996050766935e+25,1.3561996050766935e+25,1.0,0.0968511300015961,0.0997091799974441,1.029509722765247
1000,8,750,25,20229.32446388505,20229.32446388505,1.0,0.0271183100034249,0.0267844300076831,0.9876880234904154,785.2715038690716,4308.223112875596,5.486284796594257,1.7432675100018968,0.1403999500005738,0.08053838507001201,1.5687411640332132e+27,1.5687411640332132e+27,1.0,0.087588120001601,0.0880837099975906,1.0056581873886612
1000,9,500,50,10388.120867822512,10388.120867822512,1.0,0.0278928000014275,0.0278544999920995,0.9986268854569624,442.573305010004,1091.3698770449032,2.4659640893167603,3.454501510001137,0.1332709100068314,0.03857891207197288,3.673958578975156e+27,3.673958578975156e+27,1.0,0.1200360700022429,0.1214522600028431,1.0117980370448127
1000,9,750,25,18786.937645797283,18786.937645797283,1.0,0.0341150499996729,0.0331202300003496,0.9708392630427675,935.7588419631124,6046.96487679882,6.462097503789541,2.8327250200003617,0.1643043100018985,0.05800220947738779,8.219769889400943e+29,8.219769889400943e+29,1.0,0.1117722299968591,0.1128255199961131,1.009423539275217
1000,10,500,50,9006.496707135646,9006.496707135646,1.0,0.0292715600051451,0.0285402999987127,0.9750180719338544,443.6859161773231,1041.2802105119802,2.346885877026178,4.608705330005614,0.1531564800010528,0.03323199663122446,2.8278452332598008e+29,2.8278452332598008e+29,1.0,0.13050685999915,0.1376108199940063,1.0544336136422452
1000,10,750,25,16461.20017526895,16461.20017526895,1.0,0.0352463700022781,0.0337645199993858,0.9579573725522226,968.757894980535,6176.816141871083,6.376016313131768,3.559180340002058,0.1813225399993825,0.050945027415856554,1.3012464027183489e+32,1.3012464027183489e+32,1.0,0.1296699900005478,0.1301177500048652,1.003453073485357
