N,L,K,off_pct,bf_frame,bf_frame_only,bf_quality_ratio_only_over_frame,bf_time_frame,bf_time_frame_only,bf_time_ratio_only_over_frame,int_frame,int_frame_only,int_quality_ratio_only_over_frame,int_time_frame,int_time_frame_only,int_time_ratio_only_over_frame,gen_frame,gen_frame_only,gen_quality_ratio_only_over_frame,gen_time_frame,gen_time_frame_only,gen_time_ratio_only_over_frame
1000,1,500,50,20859.288975975756,20859.288975975756,1.0,0.0158272999949986,0.015953800000716,1.0079925196184678,0.0,0.0,,0.2844385299977148,0.0206512399978237,0.07260352526076412,20860.288975975756,20860.288975975756,1.0,0.0191803499998059,0.0190217999945161,0.9917337272108484
1000,1,750,25,27331.71281530277,27331.71281530277,1.0,0.0178844699985347,0.0182294199970783,1.0192876835920697,0.0,0.0,,0.1638455699954647,0.0208585000014863,0.12730585271279332,27332.71281530276,27332.71281530276,1.0,0.0224449499946786,0.0206008399982238,0.9178385339734768
1000,2,500,50,18407.33614577872,18407.33614577872,1.0,0.0160450600058538,0.016369049999048,1.0201925074182332,0.0030224381014704,0.231051743007265,76.44548382805907,0.4343190799991134,0.0678926499997032,0.15631974998621243,85198671.07064085,85198671.07064085,1.0,0.0262339200038695,0.0259367399965412,0.9886719176057385
1000,2,750,25,27480.26728349075,27480.26728349075,1.0,0.0176312900002812,0.018948950007325,1.0747341803703976,0.0063596468418836,0.1429334484040737,22.47506063744566,0.2462337700068019,0.0807307300041429,0.3278621368706364,190083590.1362016,190083590.1362016,1.0,0.0272503899992443,0.0272880900040036,1.0013834666131511
1000,3,500,50,16417.681710540426,16417.681710540426,1.0,0.0201261300011538,0.0180431799963116,0.8965051897844848,1.4314692315645516,28.653529348783195,20.01686708799586,1.0491927999944892,0.073980300000403,0.07051163523119065,165589996431.8837,165589996431.8837,1.0,0.0402136200049426,0.0392921999999089,0.9770868674613116
1000,3,750,25,26104.25225174028,26104.25225174028,1.0,0.0221397299930686,0.0215467499976512,0.9732164757382747,3.2130461245775224,17.944350311160086,5.584840557967264,0.8884856699965894,0.1116107599984388,0.1256190884866688,671086408636.2839,671086408636.2839,1.0,0.0446848399966256,0.0443661400029668,0.9928678273507778
1000,4,500,50,15187.92990250304,15187.92990250304,1.0,0.0202751300006639,0.0177287199971033,0.8744072169462185,14.272154828440398,92.94116452364251,6.512062518999364,1.2452103599993278,0.08081939999538,0.06490421425294247,222976395968639.97,222976395968639.97,1.0,0.0423534999979892,0.041392729996005,0.9773154520398594
1000,4,750,25,25256.70678283606,25256.70678283606,1.0,0.0203260500013129,0.0204945700068492,1.0082908388755027,29.365612142533063,94.1496974773705,3.2061207176745468,0.9597771599947008,0.1008600400062278,0.10508693497851591,1720364256024959.8,1720364256024959.8,1.0,0.0436014400038402,0.0447161499934736,1.025565898500949
1000,5,500,50,13581.35321921178,13581.35321921178,1.0,0.0195361700025387,0.019326359994011,0.9892604329046872,44.28917222414166,194.07153843156996,4.381918394170916,1.4010618400061503,0.0901961200026562,0.06437697282673852,1.5577195331666227e+17,1.5577195331666227e+17,1.0,0.0648268700053449,0.0643172799958847,0.992139216201273
1000,5,750,25,23154.066671762885,23154.066671762885,1.0,0.021870129997842,0.0219754699995974,1.004816615254038,107.31647746413948,167.2723407242447,1.5586827361170132,1.1276331200031564,0.1077577200048836,0.09556097465865668,2.303928511455057e+18,2.303928511455057e+18,1.0,0.0674801200046204,0.0639639600005466,0.947893394323646
