N,L,K,off_pct,heuristic,active_count_mean,u_bf_mean,u_bf_std,u_i_mean,u_i_std,u_g_mean,u_g_std,log2_u_g_per_active_mean,log2_u_g_per_active_std,u_bf_per_active_mean,u_bf_per_active_std,elapsed_seconds_mean,elapsed_seconds_std,samples
1000,1,500,50,Coutino,500.0,17538.272575284747,4344.5579074997095,0.0,0.0,17539.272575284744,4344.557907499709,0.028105595399187788,0.0007942061806894864,35.076545150569494,8.68911581499942,0.1268317800044315,0.008819390485194685,10
1000,1,500,50,Frame-BF,500.0,20859.288975975753,3579.133396919579,0.0,0.0,20860.288975975753,3579.133396919584,0.028656621969642714,0.0005161092758658598,41.7185779519515,7.158266793839156,0.01582729999499861,0.001125711846924808,10
1000,1,500,50,Frame-Gen,500.0,20859.288975975753,3579.133396919579,0.0,0.0,20860.288975975753,3579.133396919584,0.028656621969642714,0.0005161092758658598,41.7185779519515,7.158266793839156,0.01918034999980591,0.002110378801177068,10
1000,1,500,50,Frame-Int,500.0,13286.79254566428,4052.8144099881933,0.0,0.0,13287.79254566428,4052.814409988191,0.027252318278812672,0.0010041319946703338,26.57358509132856,8.105628819976388,0.2844385299977148,0.008687328434670773,10
1000,1,500,50,FrameOnly-BF,500.0,20859.288975975753,3579.133396919579,0.0,0.0,20860.288975975753,3579.133396919584,0.028656621969642714,0.0005161092758658598,41.7185779519515,7.158266793839156,0.015953800000716,0.0020357265430727836,10
1000,1,500,50,FrameOnly-Gen,500.0,20859.288975975753,3579.133396919579,0.0,0.0,20860.288975975753,3579.133396919584,0.028656621969642714,0.0005161092758658598,41.7185779519515,7.158266793839156,0.019021799994516187,0.0023336678252665753,10
1000,1,500,50,FrameOnly-Int,500.0,13286.79254566428,4052.8144099881933,0.0,0.0,13287.79254566428,4052.814409988191,0.027252318278812672,0.0010041319946703338,26.57358509132856,8.105628819976388,0.02065123999782372,0.0018117454991637462,10
1000,1,500,50,H1,500.0,13286.79254566428,4052.8144099881933,0.0,0.0,13287.79254566428,4052.814409988191,0.027252318278812672,0.0010041319946703338,26.57358509132856,8.105628819976388,0.019004830002086238,0.0016343842600569476,10
1000,1,500,50,H2,499.3,5284.4942580944025,1162.3675646342356,0.0,0.0,5285.494258094403,1162.3675646342351,0.024693894730125517,0.0007757549414949595,10.585839631407001,2.335781880690957,0.06200034999346826,0.0030667973036332796,10
1000,1,500,50,MISO-EE,388.4,13965.78773076957,4253.798137900145,0.0,0.0,13966.787730769569,4253.798137900143,0.035803150726230984,0.004202946744779123,35.64527132511644,8.878391905431695,0.22024674000567757,0.007268378115404421,10
1000,1,500,50,N-H3-Fast,500.0,4926.6232861654,1743.322324205956,0.0,0.0,4927.623286165401,1743.3223242059566,0.02434415536540464,0.001149857903397634,9.8532465723308,3.4866446484119127,8.781000215094537e-05,2.0844800109360035e-05,10
1000,1,500,50,Pareto-H2,500.0,13286.79254566428,4052.8144099881933,0.0,0.0,13287.79254566428,4052.814409988191,0.027252318278812672,0.0010041319946703338,26.57358509132856,8.105628819976388,0.18276287999760826,0.007019025787869961,10
1000,1,500,50,S-threshold-BF,500.0,20699.025764321625,3651.7612553734843,0.0,0.0,20700.02576432162,3651.761255373486,0.028631811792580238,0.0005330906174279527,41.39805152864325,7.303522510746969,0.011873620000551454,0.0003273162094709294,10
1000,1,500,50,S-threshold-Gen,500.0,20699.025764321625,3651.7612553734843,0.0,0.0,20700.02576432162,3651.761255373486,0.028631811792580238,0.0005330906174279527,41.39805152864325,7.303522510746969,0.28574865000264255,0.012344203224101874,10
1000,1,500,50,S-threshold-Int,500.0,13286.79254566428,4052.8144099881933,0.0,0.0,13287.79254566428,4052.814409988191,0.027252318278812672,0.0010041319946703338,26.57358509132856,8.105628819976388,0.26475108999584335,0.00798035666907875,10
1000,1,750,25,Coutino,750.0,22886.736054274385,5774.896143539527,0.0,0.0,22887.736054274377,5774.896143539525,0.019246768182071397,0.000539309616765507,30.51564807236585,7.699861524719368,0.14172356000344735,0.014555026879702842,10
1000,1,750,25,Frame-BF,750.0,27331.712815302766,4806.250603854974,0.0,0.0,27332.712815302762,4806.250603854969,0.019622929856471828,0.0003522699976727737,36.442283753737016,6.408334138473298,0.01788446999853477,0.002821019306737898,10
1000,1,750,25,Frame-Gen,750.0,27331.712815302766,4806.250603854974,0.0,0.0,27332.712815302762,4806.250603854969,0.019622929856471828,0.0003522699976727737,36.442283753737016,6.408334138473298,0.02244494999467861,0.0036892931388686945,10
1000,1,750,25,Frame-Int,750.0,17265.316171640596,5332.477454992869,0.0,0.0,17266.316171640596,5332.477454992871,0.018669666117290894,0.0006776900734955845,23.02042156218746,7.109969939990493,0.16384556999546476,0.021164605346831743,10
1000,1,750,25,FrameOnly-BF,750.0,27331.712815302766,4806.250603854974,0.0,0.0,27332.712815302762,4806.250603854969,0.019622929856471828,0.0003522699976727737,36.442283753737016,6.408334138473298,0.018229419997078368,0.0022139127515784715,10
1000,1,750,25,FrameOnly-Gen,750.0,27331.712815302766,4806.250603854974,0.0,0.0,27332.712815302762,4806.250603854969,0.019622929856471828,0.0003522699976727737,36.442283753737016,6.408334138473298,0.02060083999822382,0.0011019282304305389,10
1000,1,750,25,FrameOnly-Int,750.0,17265.316171640596,5332.477454992869,0.0,0.0,17266.316171640596,5332.477454992871,0.018669666117290894,0.0006776900734955845,23.02042156218746,7.109969939990493,0.02085850000148639,0.0011182193265449518,10
1000,1,750,25,H1,750.0,17265.316171640596,5332.477454992869,0.0,0.0,17266.316171640596,5332.477454992871,0.018669666117290894,0.0006776900734955845,23.02042156218746,7.109969939990493,0.028791869999258778,0.001759129684108503,10
1000,1,750,25,H2,740.4,11176.580078877416,2722.6933390508307,0.0,0.0,11177.580078877418,2722.69333905083,0.018111200256664538,0.0006578125130594532,15.0777606566044,3.5464490328253215,0.08315535000001546,0.008926075216239716,10
1000,1,750,25,MISO-EE,525.2,18143.167630202617,5603.800656002345,0.0,0.0,18144.167630202617,5603.800656002345,0.027561537373014294,0.00435727041296606,34.459897167599706,8.644866190639156,0.25440964000008537,0.011553217162531949,10
1000,1,750,25,N-H3-Fast,750.0,10458.056244665684,3323.457178611979,0.0,0.0,10459.056244665686,3323.4571786119786,0.01770120747391852,0.0006893777283351128,13.944074992887579,4.431276238149305,9.172000281978398e-05,2.6865413311504966e-05,10
1000,1,750,25,Pareto-H2,750.0,17143.8110749894,5502.603083367856,0.0,0.0,17144.8110749894,5502.603083367857,0.018646101358534856,0.0007153476809670738,22.858414766652533,7.336804111157142,0.23529869000194595,0.022327783990686592,10
1000,1,750,25,S-threshold-BF,750.0,27145.15390030732,4925.273448774175,0.0,0.0,27146.153900307323,4925.273448774177,0.019607874482578738,0.0003640642706254147,36.193538533743094,6.567031265032234,0.00675725000037346,0.0002888949018495005,10
1000,1,750,25,S-threshold-Gen,750.0,27145.15390030732,4925.273448774175,0.0,0.0,27146.153900307323,4925.273448774177,0.019607874482578738,0.0003640642706254147,36.193538533743094,6.567031265032234,0.16131348000490106,0.024833190676266527,10
1000,1,750,25,S-threshold-Int,750.0,17265.316171640596,5332.477454992869,0.0,0.0,17266.316171640596,5332.477454992871,0.018669666117290894,0.0006776900734955845,23.02042156218746,7.109969939990493,0.13408854000153952,0.005602493022231369,10
1000,2,500,50,Coutino,500.0,14846.389180948996,1651.6833234119176,566495.7073224053,381364.58700636314,55430082.88739963,12277014.401629532,0.051381017407261184,0.000668946839755688,29.69277836189799,3.303366646823835,0.2602905400010059,0.009488663388997618,10
