data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,best_tested_T,best_tested_u_bf,best_tested_u_i,best_tested_u_g_value,best_tested_u_g_db,prev_T,prev_T_u_g,next_T,next_T_u_g,row_power_cv,row_power_skew3,row_power_p95_p50,row_power_p99_p50,row_power_max_p95,log_power_gap_max,log_power_gap_rank,log_power_gap_rank_pct,tail_mass_p80,tail_mass_p90,tail_mass_p95,tail_mass_p99
lognormal,42,0,1000,2,250,1.0,1.0,75.0,25.0,54,330.2237358464835,174.90605968353586,27504.056024752812,44.393967439858,53,25921.645069516875,55,26754.879391589966,3.026914043998464,15.697218793982035,10.28078281060449,21.8701318837237,16.996120233997495,1.6617399479026318,2,0.002,0.7219196362102023,0.56037444963749,0.4184945163571765,0.1953329134888238
lognormal,42,1,1000,2,250,1.0,1.0,75.0,25.0,76,651.3853968433001,184.1482850934628,103056.84194459293,50.130768298866414,75,94919.02150858707,77,101142.19650114178,2.1988806595702766,6.4699358919268235,10.908751610838813,30.88296985365068,8.298988594684483,1.6496142777008913,999,0.999,0.7212785063035068,0.5679727195295313,0.42972889168684725,0.16125380525646177
lognormal,42,2,1000,2,250,1.0,1.0,75.0,25.0,17,1360.3933829257792,6345.8849812452,460024.06948021625,56.62780555527155,16,447434.7787237392,18,445789.4940099058,1.7001820243573413,4.7850153950069885,9.481488103213543,17.376425601851164,5.072959337028462,0.48660188232901724,999,0.999,0.6772536046151394,0.4955640086163698,0.337873653004795,0.12031586235369028
lognormal,42,3,1000,2,250,1.0,1.0,75.0,25.0,43,643.9208826524969,2161.1922676357804,103148.53010555031,50.13463043539447,42,99977.13104177537,44,100390.29012330077,2.1798306761744555,7.833425898888278,9.059894819877135,26.08438547978949,10.075731476555406,0.5780920844535267,993,0.993,0.6992665851199505,0.5390950159486629,0.3968361594801834,0.16952908607198014
lognormal,42,4,1000,2,250,1.0,1.0,75.0,25.0,25,515.0752681070167,897.2257514932636,64444.722923968824,48.091873608076384,24,58725.01531853767,26,62979.051004002285,2.2204082419213607,14.242526990352767,8.555197115228001,17.332848648075174,14.424405597802302,1.164133568770076,1,0.001,0.6721492613132094,0.49461649623234605,0.34802336673706963,0.14639484632221464
lognormal,42,5,1000,2,250,1.0,1.0,75.0,25.0,22,1112.4816215178262,10782.384073837444,305083.2059024781,54.84418301432555,21,302940.4569747584,23,293889.65837916103,1.9458942670361392,5.2703465855584,10.908881055585647,24.266347450288308,5.202285293793373,0.8917737454269492,998,0.998,0.711900331750476,0.5423648702366033,0.38668547186693464,0.14360244380883155
lognormal,42,6,1000,2,250,1.0,1.0,75.0,25.0,25,491.5777081834502,239.33950619596462,59653.44217913778,47.75635508798881,24,59310.54518532057,26,58006.34531678767,2.5686288189614777,9.984415664420506,9.513162988678884,34.737467553240045,14.145762845639037,0.46998153386828306,1,0.001,0.7196325205719221,0.5595981926723298,0.425866736208696,0.20984507838517344
lognormal,42,7,1000,2,250,1.0,1.0,75.0,25.0,28,1403.4469505244256,27255.450759043768,478119.4637851894,56.795364237678356,27,444134.0006734698,29,477928.1399615413,1.7495328565893133,4.528399058830125,10.132054787988979,21.682917911872604,4.814721534212081,0.2807523940415182,997,0.997,0.684246474664008,0.506573607024024,0.35290217645124833,0.12521514290967703
lognormal,42,8,1000,2,250,1.0,1.0,75.0,25.0,62,1003.5355498434071,6080.460467053851,248300.7034812203,53.94977949991855,61,234543.8183705316,63,244219.30024703717,1.8923857828585064,6.5101455971877655,9.052477683068377,19.577125008589594,6.718454258519454,0.5080381884253882,998,0.998,0.6800107270981705,0.5022608449642574,0.3589437769195357,0.14224030299579146
lognormal,42,9,1000,2,250,1.0,1.0,75.0,25.0,32,1311.619255107101,1134.96012675542,423805.9532614801,56.27167053012933,31,421210.8128941086,33,412553.18585610425,1.7562349198580431,4.42731749580184,9.743984297910758,23.648340849332957,5.081193938134546,1.004602152465166,999,0.999,0.6912329909953592,0.5126180937597267,0.3557212822754032,0.12256762517222385
