data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label
lognormal,42,0,1000,4,250,1.0,1.0,75.0,25.0,25,223.6423315567821,194.95536201639246,10156632.350997766,70.06749732178021,12117561.181344084,0.8381746292838762,16.18253707161238,False,T_0p025N,N,25,T_0p025N
lognormal,42,1,1000,4,250,1.0,1.0,75.0,25.0,25,673.566798312829,6202.47772948196,729526354.4574656,88.6304098559028,802439338.4831908,0.9091358305494485,9.086416945055154,False,T_0p025N,N,25,T_0p025N
lognormal,42,2,1000,4,250,1.0,1.0,75.0,25.0,25,394.92389092837374,2338.9559300712863,87437303.44440217,79.41696755560191,106349435.99833274,0.8221698838701218,17.78301161298782,False,T_0p025N,N,25,T_0p025N
lognormal,42,3,1000,4,250,1.0,1.0,75.0,25.0,25,630.9655199147855,9239.227902942841,527331100.9406115,87.2208338591249,765528891.6089718,0.6888454592906069,31.115454070939307,False,T_0p025N,N,25,T_0p025N
lognormal,42,4,1000,4,250,1.0,1.0,75.0,25.0,25,297.8165067025999,1982.3467416623898,25654107.595337458,74.09156911871489,35714688.57969545,0.7183069100012357,28.16930899987643,False,T_0p025N,N,25,T_0p025N
lognormal,42,5,1000,4,250,1.0,1.0,75.0,25.0,25,468.2601717605996,1819.0226513138796,179578869.6644788,82.54255233623076,248930828.59265083,0.7214006825901856,27.859931740981438,False,T_0p025N,N,25,T_0p025N
lognormal,42,6,1000,4,250,1.0,1.0,75.0,25.0,25,729.961079411304,9671.687892593885,925865548.6440853,89.66547924347735,1138994690.0765615,0.8128796005026591,18.712039949734095,False,T_0p025N,N,25,T_0p025N
lognormal,42,7,1000,4,250,1.0,1.0,75.0,25.0,25,262.2237996227281,727.9928089947894,17433926.485453594,72.41395210341332,19739184.570050478,0.8832141177658086,11.67858822341914,False,T_0p025N,N,25,T_0p025N
lognormal,42,8,1000,4,250,1.0,1.0,75.0,25.0,25,712.1599773678099,7360.102660478968,891324191.5764294,89.50035693941226,1210704193.2769022,0.7362031093358682,26.37968906641318,False,T_0p025N,N,25,T_0p025N
lognormal,42,9,1000,4,250,1.0,1.0,75.0,25.0,25,890.9703798812166,9045.953069197109,2265434164.379615,93.55151445697683,2525765952.991848,0.8969295677202941,10.307043227970592,False,T_0p025N,N,25,T_0p025N
lognormal,42,10,1000,4,250,1.0,1.0,75.0,25.0,25,441.2937710569979,2436.2091888240607,139428381.08341545,81.44351184761706,155200705.0443905,0.8983746629471571,10.162533705284293,False,T_0p025N,N,25,T_0p025N
lognormal,42,11,1000,4,250,1.0,1.0,75.0,25.0,25,285.27676534631905,815.9000343611061,23730373.946262907,73.75304581939164,26723098.861665297,0.8880098101311333,11.199018986886667,False,T_0p025N,N,25,T_0p025N
lognormal,42,12,1000,4,250,1.0,1.0,75.0,25.0,25,515.8767991043354,5019.630128900329,243364459.64723304,83.86257155216641,356309553.4731159,0.6830141299189028,31.698587008109726,False,T_0p025N,N,25,T_0p025N
lognormal,42,13,1000,4,250,1.0,1.0,75.0,25.0,25,321.94752266017065,705.1098020452208,41618296.499284916,76.19284299900085,50590180.13582899,0.8226556297594599,17.734437024054007,False,T_0p025N,N,25,T_0p025N
lognormal,42,14,1000,4,250,1.0,1.0,75.0,25.0,25,321.23971306337756,808.9152713097495,40346679.667420775,76.05807800236516,55112394.92289697,0.7320799563123025,26.79200436876975,False,T_0p025N,N,25,T_0p025N
lognormal,42,15,1000,4,250,1.0,1.0,75.0,25.0,25,426.10851887818353,3274.3273337309033,110132029.9636797,80.41913644253157,185557698.82256904,0.593519054517853,40.6480945482147,False,T_0p025N,N,25,T_0p025N
lognormal,42,16,1000,4,250,1.0,1.0,75.0,25.0,25,714.7615353698125,5047.398763991518,956706898.8138415,89.807789056716,1128159851.8076117,0.8480242381263107,15.197576187368933,False,T_0p025N,N,25,T_0p025N
lognormal,42,17,1000,4,250,1.0,1.0,75.0,25.0,25,410.4673207366681,3247.348000571127,95747799.68180655,79.81128802515025,143041959.53759167,0.6693686243625869,33.06313756374131,False,T_0p025N,N,25,T_0p025N
lognormal,42,18,1000,4,250,1.0,1.0,75.0,25.0,25,491.51825500623335,7945.3239224614335,171801843.49480012,82.35027819654266,339536549.28458095,0.5059892487474308,49.401075125256924,False,T_0p025N,N,25,T_0p025N
lognormal,42,19,1000,4,250,1.0,1.0,75.0,25.0,25,514.8730127528315,2126.3396470146913,263755817.21658045,84.21202046911249,342726246.77102983,0.7695816112758697,23.041838872413035,False,T_0p025N,N,25,T_0p025N
lognormal,42,20,1000,4,250,1.0,1.0,75.0,25.0,25,605.9230768678234,3295.025656351628,477759627.90182394,86.79209447799269,621777008.3087618,0.7683777648860541,23.162223511394586,False,T_0p025N,N,25,T_0p025N
lognormal,42,21,1000,4,250,1.0,1.0,75.0,25.0,25,323.01882831971864,1024.9805047629045,39145148.74067332,75.92677947602058,63864562.34895325,0.6129400609807031,38.705993901929695,False,T_0p025N,N,25,T_0p025N
lognormal,42,22,1000,4,250,1.0,1.0,75.0,25.0,25,237.34439319955652,589.9358373777186,12101983.034806384,70.82856539780087,13543780.847351765,0.8935453970500934,10.645460294990661,False,T_0p025N,N,25,T_0p025N
lognormal,42,23,1000,4,250,1.0,1.0,75.0,25.0,25,236.9319620312891,533.1824662581542,12091892.917749155,70.82494292538482,13298397.403402885,0.9092744449534196,9.072555504658041,False,T_0p025N,N,25,T_0p025N
lognormal,42,24,1000,4,250,1.0,1.0,75.0,25.0,25,813.6472205861725,3647.2209319012163,1655598466.801727,92.1895501554229,1719570940.5392995,0.9627974210139251,3.720257898607493,False,T_0p025N,N,25,T_0p025N
lognormal,42,25,1000,4,250,1.0,1.0,75.0,25.0,25,846.371679702247,9709.748780624946,1818232533.632001,92.59649424328897,2369215231.9914274,0.7674408424698916,23.255915753010836,False,T_0p025N,N,25,T_0p025N
lognormal,42,26,1000,4,250,1.0,1.0,75.0,25.0,25,567.6365026307897,3017.369899831805,382688369.5046057,85.82845263539562,561007408.4258797,0.6821449481003895,31.78550518996105,False,T_0p025N,N,25,T_0p025N
lognormal,42,27,1000,4,250,1.0,1.0,75.0,25.0,25,683.5305671917688,9327.251517962037,753200273.4010687,88.76910468987424,858331247.3667389,0.8775170142200929,12.248298577990713,False,T_0p025N,N,25,T_0p025N
lognormal,42,28,1000,4,250,1.0,1.0,75.0,25.0,25,576.0332246286916,2899.0906823009786,406267128.0764107,86.08811684072504,554055396.1541291,0.7332608452086871,26.673915479131296,False,T_0p025N,N,25,T_0p025N
lognormal,42,29,1000,4,250,1.0,1.0,75.0,25.0,25,535.6429426831752,2111.4733198549193,305942425.2160114,84.85639705031893,424628049.3000082,0.7204950914579291,27.95049085420709,False,T_0p025N,N,25,T_0p025N
lognormal,42,30,1000,4,250,1.0,1.0,75.0,25.0,25,336.0510662250909,2553.4636446199534,43877112.11329961,76.42238035618001,48366645.233585514,0.9071770824996479,9.28229175003521,False,T_0p025N,N,25,T_0p025N
