data_profile,off_pct,K,T,threshold_source,samples,winner_rate,u_g_mean,u_g_p05,u_g_p50,u_g_p95,u_g_db_mean,u_g_vs_best_T_mean,u_g_vs_best_T_p05,u_g_gap_to_best_pct_mean,elapsed_seconds_mean,candidate_kind_mode
gaussian,25.0,750,78,mean_plus_1.5std,23,0.5217391304347826,194288386.0281498,119012510.40386364,192331788.210516,272815003.9088034,82.68593836216233,0.9893701335958608,0.9599227959131615,1.062986640413921,0.032623603652609745,power_window
gaussian,25.0,750,46,gap_top2+mean_plus_2std,44,0.4090909090909091,205225748.75760058,122639938.95479459,204321870.14219072,290836198.33352685,82.97246242635066,0.9890665113001774,0.969031102623191,1.0933488699822491,0.03675135050012945,power_window
gaussian,25.0,750,43,mean_plus_2std,30,0.36666666666666664,178349866.56892964,103864559.7166212,167156677.68945733,276467625.0346414,82.30986587640588,0.9873659609517171,0.9653567303640344,1.263403904828281,0.03925487449984454,power_window
gaussian,25.0,750,37,gap_top3+mean_plus_2std,3,0.3333333333333333,177227018.02566025,105878908.92315659,130036014.34845783,281608829.7022056,82.00864452407852,0.9869032693515528,0.9662909864641872,1.3096730648447148,0.04205690133312601,power_window
gaussian,25.0,750,49,mean_plus_2std,26,0.3076923076923077,206702872.66095278,150216915.91838646,200903775.00427377,281931978.3547543,83.06965636758163,0.9865229850542467,0.9399477766575529,1.3477014945753267,0.03576713430811651,power_window
gaussian,25.0,750,45,mean_plus_2std,28,0.35714285714285715,192456992.80184844,140679539.8953252,182229391.97677392,273852164.3876369,82.75393213310939,0.985999964792636,0.9591899978056627,1.4000035207364045,0.03711672267867731,power_window
gaussian,25.0,750,47,mean_plus_2std,42,0.38095238095238093,211534268.0794239,140304790.566974,215057977.5445445,277128854.9001121,83.11917163588384,0.985892491513426,0.948035913325328,1.4107508486574036,0.037455719714714744,power_window
gaussian,25.0,750,42,mean_plus_2std,20,0.35,186587899.28398383,124044085.92288296,179252075.60773072,288402169.7005774,82.5752176324663,0.9845588770370819,0.9543261736417441,1.5441122962918064,0.03737162965026073,power_window
gaussian,25.0,750,79,mean_plus_1.5std,19,0.5263157894736842,181798661.3271091,118461122.86675973,193594098.8190968,233253480.24126694,82.47550293476316,0.9791164814286847,0.9171090544600639,2.088351857131523,0.031102868367796827,power_window
gaussian,25.0,750,50,legacy+off_pct_20+quantile_0.95+mean_plus_2std,400,0.2225,200560219.6323901,119784954.40842697,194003218.6253153,291568699.7826565,82.865143924685,0.978954408292561,0.9355019464035832,2.1045591707439,0.03672019627987538,power_window
gaussian,25.0,750,48,mean_plus_2std+gap_top2,37,0.16216216216216217,192943147.15484232,100077066.00593387,187146799.0624626,264434425.18253225,82.68662847097598,0.9774120568068131,0.9521888241877319,2.25879431931869,0.03646264962161375,power_window
gaussian,25.0,750,81,mean_plus_1.5std,25,0.24,205476590.3667742,137001006.91685796,195869287.0080366,301123631.85813123,82.968337405188,0.9771184737940363,0.9451924215341077,2.2881526205963754,0.0314915804399061,power_window
gaussian,25.0,750,51,mean_plus_2std,22,0.22727272727272727,206863527.65772352,113901258.71791588,218375101.1717047,271990321.7827432,83.00891212637178,0.9766874987536318,0.933655318416463,2.331250124636822,0.03561641413646364,power_window
gaussian,25.0,750,55,mean_plus_2std,7,0.0,232214747.65873876,151593414.85227364,199480179.51458833,359653752.7488769,83.42810560866228,0.9760451519198924,0.9523844793139197,2.395484808010771,0.03527890471377759,power_window
gaussian,25.0,750,71,mean_plus_1.5std,3,0.3333333333333333,145245441.79716673,106991532.59127967,140020104.84121355,187157086.872221,81.48191541230135,0.9759558004417723,0.9639134674519557,2.404419955822775,0.03543391833348627,power_window
gaussian,25.0,750,54,mean_plus_2std,5,0.0,245304061.05666313,188211611.2115962,234177625.6130834,304453769.0265303,83.81733709777855,0.9748640199576604,0.9394888340264096,2.5135980042339656,0.03761407360070734,power_window
