data_profile,K,off_pct,formula,T,cases,u_g_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,winner_rate
thin_tail,250,75.0,T_0p05N,50,1000,3579740.782902067,0.9397978681839432,0.8671676576158477,6.020213181605689,0.016
thin_tail,250,75.0,T_0p075N,75,1000,3396812.439430388,0.8944475804931092,0.8010868051366324,10.555241950689073,0.003
thin_tail,250,75.0,T_0p10K,25,1000,3458636.2512040962,0.9068344614392493,0.792370951916942,9.316553856075076,0.015
thin_tail,250,75.0,T_0p10N,100,1000,3131002.8473168826,0.8261750140711726,0.7307570397095197,17.382498592882744,0.0
thin_tail,250,75.0,T_0p20K,50,1000,3579740.782902067,0.9397978681839432,0.8671676576158477,6.020213181605689,0.016
thin_tail,250,75.0,legacy_T100,100,1000,3131002.8473168826,0.8261750140711726,0.7307570397095197,17.382498592882744,0.0
thin_tail,250,75.0,legacy_T25,25,1000,3458636.2512040962,0.9068344614392493,0.792370951916942,9.316553856075076,0.015
thin_tail,250,75.0,legacy_T50,50,1000,3579740.782902067,0.9397978681839432,0.8671676576158477,6.020213181605689,0.016
thin_tail,500,50.0,T_0p05N,50,1000,17914789.300777283,0.9444770027412551,0.868428040066132,5.5522997258744935,0.026
thin_tail,500,50.0,T_0p075N,75,1000,17831772.124326255,0.9423947242891144,0.8754419894187384,5.7605275710885575,0.014
thin_tail,500,50.0,T_0p10K,50,1000,17914789.300777283,0.9444770027412551,0.868428040066132,5.5522997258744935,0.026
thin_tail,500,50.0,T_0p10N,100,1000,17021457.37861262,0.90122585770006,0.8153678505228616,9.877414229993992,0.004
thin_tail,500,50.0,T_0p20K,100,1000,17021457.37861262,0.90122585770006,0.8153678505228616,9.877414229993992,0.004
thin_tail,500,50.0,legacy_T100,100,1000,17021457.37861262,0.90122585770006,0.8153678505228616,9.877414229993992,0.004
thin_tail,500,50.0,legacy_T25,25,1000,16129496.850532692,0.8498429769569376,0.7260415829226452,15.015702304306242,0.001
thin_tail,500,50.0,legacy_T50,50,1000,17914789.300777283,0.9444770027412551,0.868428040066132,5.5522997258744935,0.026
