data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label,rule_note
thin_tail,42,0,1000,2,250,1.0,1.0,75.0,25.0,375,2231.862009542454,55706.72173407398,1217402.3645095888,60.85434140929779,4015817.787042945,0.3031517934995814,69.68482065004187,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
thin_tail,42,1,1000,2,250,1.0,1.0,75.0,25.0,375,2076.263440688396,1865.440670132519,1075040.4209662937,60.314247938075205,3832896.054132493,0.28047732205187853,71.95226779481214,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
thin_tail,42,2,1000,2,250,1.0,1.0,75.0,25.0,375,1586.5000814126934,31209.605301358835,615146.4343668451,57.88978511007083,2079225.954773432,0.295853576161171,70.4146423838829,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
thin_tail,42,3,1000,2,250,1.0,1.0,75.0,25.0,375,2035.0677291936126,20408.012043805153,1026779.5562799576,60.114772130543415,4050263.500765029,0.25350932256284453,74.64906774371555,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
thin_tail,42,4,1000,2,250,1.0,1.0,75.0,25.0,375,1263.8001845025256,4807.196140000571,398153.81942432054,56.00050886198027,1666599.901600513,0.23890186183375808,76.1098138166242,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
thin_tail,42,5,1000,2,250,1.0,1.0,75.0,25.0,375,2124.3042789267015,42350.306560173776,1102718.7553689014,60.42464761246988,3260693.246087748,0.33818537106855046,66.18146289314495,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
thin_tail,42,6,1000,2,250,1.0,1.0,75.0,25.0,375,1749.463659204733,17719.87923160295,757995.5341582813,58.79666646930037,2829609.595592167,0.26787989952361313,73.21201004763869,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
thin_tail,42,7,1000,2,250,1.0,1.0,75.0,25.0,375,2182.4854246743166,3526.3353448594585,1165810.9309277416,60.666281230535446,5280348.185129385,0.22078296545120263,77.92170345487975,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
thin_tail,42,8,1000,2,250,1.0,1.0,75.0,25.0,375,2306.362634257798,5742.787919022248,1324627.7467109896,61.220938478853114,5267573.240972747,0.2514683111394906,74.85316888605094,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
thin_tail,42,9,1000,2,250,1.0,1.0,75.0,25.0,375,2193.555603865314,602.636438413674,1192107.0565718724,60.763152587520906,5527689.99832794,0.21566098260439182,78.43390173956082,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
thin_tail,42,10,1000,2,250,1.0,1.0,75.0,25.0,375,2080.1770346734456,36035.42383541554,1064732.39629836,60.272404684183066,4384620.504670846,0.2428334208545808,75.71665791454191,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
thin_tail,42,11,1000,2,250,1.0,1.0,75.0,25.0,375,1691.084822908973,766.6237542257506,713903.0061031946,58.53639210689902,3212558.375277464,0.22222257861432193,77.7777421385678,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
thin_tail,42,12,1000,2,250,1.0,1.0,75.0,25.0,375,2587.781093276018,49924.62434867464,1630935.3767106463,62.12436753134703,5626456.589626438,0.28986900560427686,71.01309943957231,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
