data_profile,N,L,K,off_pct,active_pct,formula,formula_family,T,cases,u_g_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,winner_rate
thin_tail,1000,2,250,75.0,25.0,T_0p025N,N,25,100,3611930.5586490035,0.9149214323681422,0.8242321077579335,8.507856763185785,0.01
thin_tail,1000,2,250,75.0,25.0,T_0p05K,K,12,100,3159374.474160195,0.7996918790443255,0.6484477893611278,20.030812095567452,0.0
thin_tail,1000,2,250,75.0,25.0,T_0p05N,N,50,100,3710050.3484619213,0.9429310600065807,0.8793872534939335,5.706893999341908,0.04
thin_tail,1000,2,250,75.0,25.0,T_0p05NL_over_Lp2,N_L,25,100,3611930.5586490035,0.9149214323681422,0.8242321077579335,8.507856763185785,0.01
thin_tail,1000,2,250,75.0,25.0,T_0p075N,N,75,100,3491978.886796715,0.8884202638054259,0.8005134803727457,11.157973619457406,0.01
thin_tail,1000,2,250,75.0,25.0,T_0p075NL_over_Lp2,N_L,38,100,3702527.6873445557,0.9390543755016086,0.8598923950808308,6.094562449839142,0.02
thin_tail,1000,2,250,75.0,25.0,T_0p10K,K,25,100,3611930.5586490035,0.9149214323681422,0.8242321077579335,8.507856763185785,0.01
thin_tail,1000,2,250,75.0,25.0,T_0p10N,N,100,100,3239085.255661664,0.8236059885080839,0.7412517318955792,17.63940114919161,0.0
thin_tail,1000,2,250,75.0,25.0,T_0p10NL_over_Lp2,N_L,50,100,3710050.3484619213,0.9429310600065807,0.8793872534939335,5.706893999341908,0.04
thin_tail,1000,2,250,75.0,25.0,T_0p125NL_over_Lp2,N_L,62,100,3612476.6341386926,0.9186686145294604,0.8451060404194491,8.133138547053967,0.02
thin_tail,1000,2,250,75.0,25.0,T_0p15K,K,38,100,3702527.6873445557,0.9390543755016086,0.8598923950808308,6.094562449839142,0.02
thin_tail,1000,2,250,75.0,25.0,T_0p15NL_over_Lp2,N_L,75,100,3491978.886796715,0.8884202638054259,0.8005134803727457,11.157973619457406,0.01
thin_tail,1000,2,250,75.0,25.0,T_0p20K,K,50,100,3710050.3484619213,0.9429310600065807,0.8793872534939335,5.706893999341908,0.04
thin_tail,1000,2,250,75.0,25.0,legacy_T100,legacy,100,100,3239085.255661664,0.8236059885080839,0.7412517318955792,17.63940114919161,0.0
thin_tail,1000,2,250,75.0,25.0,legacy_T25,legacy,25,100,3611930.5586490035,0.9149214323681422,0.8242321077579335,8.507856763185785,0.01
thin_tail,1000,2,250,75.0,25.0,legacy_T50,legacy,50,100,3710050.3484619213,0.9429310600065807,0.8793872534939335,5.706893999341908,0.04
thin_tail,1000,2,500,50.0,50.0,T_0p025N,N,25,100,16792131.01082183,0.8604373985193279,0.7516765709840029,13.956260148067212,0.0
thin_tail,1000,2,500,50.0,50.0,T_0p05K,K,25,100,16792131.01082183,0.8604373985193279,0.7516765709840029,13.956260148067212,0.0
thin_tail,1000,2,500,50.0,50.0,T_0p05N,N,50,100,18495934.712338444,0.9497559378674916,0.8753852612061479,5.0244062132508445,0.03
thin_tail,1000,2,500,50.0,50.0,T_0p05NL_over_Lp2,N_L,25,100,16792131.01082183,0.8604373985193279,0.7516765709840029,13.956260148067212,0.0
thin_tail,1000,2,500,50.0,50.0,T_0p075N,N,75,100,18266581.7511307,0.938477100710311,0.8770562049912088,6.1522899289689,0.01
thin_tail,1000,2,500,50.0,50.0,T_0p075NL_over_Lp2,N_L,38,100,17926310.366494004,0.9192165093265765,0.8046662216810702,8.078349067342328,0.03
thin_tail,1000,2,500,50.0,50.0,T_0p10K,K,50,100,18495934.712338444,0.9497559378674916,0.8753852612061479,5.0244062132508445,0.03
thin_tail,1000,2,500,50.0,50.0,T_0p10N,N,100,100,17546607.9161344,0.9007899258790921,0.8117544681931501,9.921007412090791,0.0
thin_tail,1000,2,500,50.0,50.0,T_0p10NL_over_Lp2,N_L,50,100,18495934.712338444,0.9497559378674916,0.8753852612061479,5.0244062132508445,0.03
thin_tail,1000,2,500,50.0,50.0,T_0p125NL_over_Lp2,N_L,62,100,18465420.843575906,0.9482798191776997,0.895187577636313,5.17201808223006,0.03
thin_tail,1000,2,500,50.0,50.0,T_0p15K,K,75,100,18266581.7511307,0.938477100710311,0.8770562049912088,6.1522899289689,0.01
thin_tail,1000,2,500,50.0,50.0,T_0p15NL_over_Lp2,N_L,75,100,18266581.7511307,0.938477100710311,0.8770562049912088,6.1522899289689,0.01
thin_tail,1000,2,500,50.0,50.0,T_0p20K,K,100,100,17546607.9161344,0.9007899258790921,0.8117544681931501,9.921007412090791,0.0
thin_tail,1000,2,500,50.0,50.0,legacy_T100,legacy,100,100,17546607.9161344,0.9007899258790921,0.8117544681931501,9.921007412090791,0.0
thin_tail,1000,2,500,50.0,50.0,legacy_T25,legacy,25,100,16792131.01082183,0.8604373985193279,0.7516765709840029,13.956260148067212,0.0
thin_tail,1000,2,500,50.0,50.0,legacy_T50,legacy,50,100,18495934.712338444,0.9497559378674916,0.8753852612061479,5.0244062132508445,0.03
