data_profile,K,off_pct,formula,T,cases,u_g_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,winner_rate
gaussian,250,75.0,T_0p05N,50,100,13925565.879345505,0.9514139051383806,0.9000311745076913,4.858609486161949,0.02
gaussian,250,75.0,T_0p075N,75,100,13311922.110464392,0.9101373716444345,0.8465958383479231,8.986262835556563,0.0
gaussian,250,75.0,T_0p10K,25,100,13916929.167769957,0.9476304865027275,0.8802385684015686,5.236951349727236,0.04
gaussian,250,75.0,T_0p10N,100,100,12518787.50719201,0.8554740683404838,0.7805396433252743,14.452593165951612,0.0
gaussian,250,75.0,T_0p20K,50,100,13925565.879345505,0.9514139051383806,0.9000311745076913,4.858609486161949,0.02
gaussian,250,75.0,legacy_T100,100,100,12518787.50719201,0.8554740683404838,0.7805396433252743,14.452593165951612,0.0
gaussian,250,75.0,legacy_T25,25,100,13916929.167769957,0.9476304865027275,0.8802385684015686,5.236951349727236,0.04
gaussian,250,75.0,legacy_T50,50,100,13925565.879345505,0.9514139051383806,0.9000311745076913,4.858609486161949,0.02
gaussian,500,50.0,T_0p05N,50,100,89794602.02802946,0.9611035600359688,0.9167984099308965,3.889643996403115,0.02
gaussian,500,50.0,T_0p075N,75,100,88348193.12178808,0.9458716275879665,0.8911650220543579,5.412837241203347,0.01
gaussian,500,50.0,T_0p10K,50,100,89794602.02802946,0.9611035600359688,0.9167984099308965,3.889643996403115,0.02
gaussian,500,50.0,T_0p10N,100,100,84680968.35167833,0.9060343306681569,0.8377196167835004,9.396566933184317,0.0
gaussian,500,50.0,T_0p20K,100,100,84680968.35167833,0.9060343306681569,0.8377196167835004,9.396566933184317,0.0
gaussian,500,50.0,legacy_T100,100,100,84680968.35167833,0.9060343306681569,0.8377196167835004,9.396566933184317,0.0
gaussian,500,50.0,legacy_T25,25,100,86018791.47030354,0.9178367480802987,0.825461434039828,8.216325191970123,0.01
gaussian,500,50.0,legacy_T50,50,100,89794602.02802946,0.9611035600359688,0.9167984099308965,3.889643996403115,0.02
rayleigh,250,75.0,T_0p05N,50,100,13379487.649725916,0.9554238109200548,0.9045197825542469,4.45761890799451,0.02
rayleigh,250,75.0,T_0p075N,75,100,12772525.67559458,0.9118376618103123,0.8349584466318748,8.816233818968765,0.0
rayleigh,250,75.0,T_0p10K,25,100,13239955.333979582,0.9466273463811342,0.8828034048558111,5.337265361886583,0.02
rayleigh,250,75.0,T_0p10N,100,100,12008549.234451793,0.8575939402554004,0.7901857642590078,14.240605974459973,0.0
rayleigh,250,75.0,T_0p20K,50,100,13379487.649725916,0.9554238109200548,0.9045197825542469,4.45761890799451,0.02
rayleigh,250,75.0,legacy_T100,100,100,12008549.234451793,0.8575939402554004,0.7901857642590078,14.240605974459973,0.0
rayleigh,250,75.0,legacy_T25,25,100,13239955.333979582,0.9466273463811342,0.8828034048558111,5.337265361886583,0.02
rayleigh,250,75.0,legacy_T50,50,100,13379487.649725916,0.9554238109200548,0.9045197825542469,4.45761890799451,0.02
rayleigh,500,50.0,T_0p05N,50,100,86170189.81459142,0.9647064685306549,0.919194922653562,3.5293531469345187,0.03
rayleigh,500,50.0,T_0p075N,75,100,84561387.39872134,0.9463963479331308,0.8902674433161674,5.360365206686912,0.02
rayleigh,500,50.0,T_0p10K,50,100,86170189.81459142,0.9647064685306549,0.919194922653562,3.5293531469345187,0.03
rayleigh,500,50.0,T_0p10N,100,100,81047871.02456443,0.9077519966410119,0.8491177706532483,9.224800335898818,0.0
rayleigh,500,50.0,T_0p20K,100,100,81047871.02456443,0.9077519966410119,0.8491177706532483,9.224800335898818,0.0
rayleigh,500,50.0,legacy_T100,100,100,81047871.02456443,0.9077519966410119,0.8491177706532483,9.224800335898818,0.0
rayleigh,500,50.0,legacy_T25,25,100,81714038.59001982,0.9163037213192032,0.8525145963313557,8.36962786807967,0.01
rayleigh,500,50.0,legacy_T50,50,100,86170189.81459142,0.9647064685306549,0.919194922653562,3.5293531469345187,0.03
rician,250,75.0,T_0p05N,50,100,6892075.064655177,0.9361266287503383,0.8713684219830264,6.387337124966175,0.01
rician,250,75.0,T_0p075N,75,100,6924474.352412995,0.9402727567375108,0.8727175703996822,5.972724326248898,0.0
rician,250,75.0,T_0p10K,25,100,6493653.349323397,0.8809144572848736,0.7840993516411944,11.908554271512639,0.0
rician,250,75.0,T_0p10N,100,100,6818059.652304977,0.9254254620378357,0.848661318018964,7.457453796216428,0.0
rician,250,75.0,T_0p20K,50,100,6892075.064655177,0.9361266287503383,0.8713684219830264,6.387337124966175,0.01
rician,250,75.0,legacy_T100,100,100,6818059.652304977,0.9254254620378357,0.848661318018964,7.457453796216428,0.0
rician,250,75.0,legacy_T25,25,100,6493653.349323397,0.8809144572848736,0.7840993516411944,11.908554271512639,0.0
rician,250,75.0,legacy_T50,50,100,6892075.064655177,0.9361266287503383,0.8713684219830264,6.387337124966175,0.01
rician,500,50.0,T_0p05N,50,100,62177288.84747607,0.9435892890047869,0.8751641256803739,5.641071099521322,0.02
rician,500,50.0,T_0p075N,75,100,63688057.85418184,0.9659128779999274,0.9260737237194424,3.4087122000072414,0.02
rician,500,50.0,T_0p10K,50,100,62177288.84747607,0.9435892890047869,0.8751641256803739,5.641071099521322,0.02
rician,500,50.0,T_0p10N,100,100,63664314.27202922,0.9652733096676809,0.9296897866337847,3.472669033231916,0.0
rician,500,50.0,T_0p20K,100,100,63664314.27202922,0.9652733096676809,0.9296897866337847,3.472669033231916,0.0
