data_profile,N,L,K,off_pct,active_pct,formula,formula_family,cases,T_min,T_p50,T_max,outside_dense_rate,u_g_mean,fraction_exact_mean,fraction_exact_p05,fraction_exact_p50,fraction_exact_p95,gap_to_exact_pct_mean,exact_rate
gaussian,16,2,8,50.0,50.0,T_0p05K,K,100,0,0.0,0,0.0,49.79457638001525,0.9343612119652309,0.6861553830782026,0.9848752563081358,1.0000000000000004,6.5638788034769115,0.38
gaussian,16,2,8,50.0,50.0,T_0p05N,N,100,1,1.0,1,0.0,41.99362350775706,0.8079396563837937,0.6083124859102114,0.8141117591409648,1.0,19.206034361620624,0.14
gaussian,16,2,8,50.0,50.0,T_0p05NL_over_Lp2,N_L,100,0,0.0,0,0.0,49.79457638001525,0.9343612119652309,0.6861553830782026,0.9848752563081358,1.0000000000000004,6.5638788034769115,0.38
gaussian,16,2,8,50.0,50.0,T_0p075N,N,100,1,1.0,1,0.0,41.99362350775706,0.8079396563837937,0.6083124859102114,0.8141117591409648,1.0,19.206034361620624,0.14
gaussian,16,2,8,50.0,50.0,T_0p075NL_over_Lp2,N_L,100,1,1.0,1,0.0,41.99362350775706,0.8079396563837937,0.6083124859102114,0.8141117591409648,1.0,19.206034361620624,0.14
gaussian,16,2,8,50.0,50.0,T_0p10K,K,100,1,1.0,1,0.0,41.99362350775706,0.8079396563837937,0.6083124859102114,0.8141117591409648,1.0,19.206034361620624,0.14
gaussian,16,2,8,50.0,50.0,T_0p10N,N,100,2,2.0,2,0.0,35.879533380713816,0.7055704143965507,0.4333714052039422,0.7028991209443223,0.9806814694738655,29.442958560344927,0.04
gaussian,16,2,8,50.0,50.0,T_0p10NL_over_Lp2,N_L,100,1,1.0,1,0.0,41.99362350775706,0.8079396563837937,0.6083124859102114,0.8141117591409648,1.0,19.206034361620624,0.14
gaussian,16,2,8,50.0,50.0,T_0p125NL_over_Lp2,N_L,100,1,1.0,1,0.0,41.99362350775706,0.8079396563837937,0.6083124859102114,0.8141117591409648,1.0,19.206034361620624,0.14
gaussian,16,2,8,50.0,50.0,T_0p15K,K,100,1,1.0,1,0.0,41.99362350775706,0.8079396563837937,0.6083124859102114,0.8141117591409648,1.0,19.206034361620624,0.14
gaussian,16,2,8,50.0,50.0,T_0p15NL_over_Lp2,N_L,100,1,1.0,1,0.0,41.99362350775706,0.8079396563837937,0.6083124859102114,0.8141117591409648,1.0,19.206034361620624,0.14
gaussian,16,2,8,50.0,50.0,T_0p20K,K,100,2,2.0,2,0.0,35.879533380713816,0.7055704143965507,0.4333714052039422,0.7028991209443223,0.9806814694738655,29.442958560344927,0.04
gaussian,16,2,8,50.0,50.0,best_tested_T,best_tested,100,0,0.0,4,0.0,51.7613520538559,0.9863403096012162,0.936591537234831,0.9999999999999992,1.0000000000000004,1.3659690398783781,0.57
gaussian,16,2,8,50.0,50.0,legacy_T100,legacy,100,8,8.0,8,0.0,9.480221230914939,0.2009419528742883,0.09597809515642254,0.18423167383606032,0.34116841922832875,79.90580471257117,0.0
gaussian,16,2,8,50.0,50.0,legacy_T25,legacy,100,8,8.0,8,0.0,9.480221230914939,0.2009419528742883,0.09597809515642254,0.18423167383606032,0.34116841922832875,79.90580471257117,0.0
gaussian,16,2,8,50.0,50.0,legacy_T50,legacy,100,8,8.0,8,0.0,9.480221230914939,0.2009419528742883,0.09597809515642254,0.18423167383606032,0.34116841922832875,79.90580471257117,0.0
gaussian,16,2,8,50.0,50.0,strong_weak,heuristic,100,4,4.0,4,0.0,25.723264929535954,0.514158803222016,0.28867123416896806,0.4932849291751258,0.8018034632717453,48.5841196777984,0.0
gaussian,20,2,5,75.0,25.0,T_0p025N,N,100,0,0.0,0,0.0,17.706222585476183,0.9496109879319213,0.7664998474762277,0.9927211863427587,1.0000000000000004,5.03890120680786,0.46
gaussian,20,2,5,75.0,25.0,T_0p05K,K,100,0,0.0,0,0.0,17.706222585476183,0.9496109879319213,0.7664998474762277,0.9927211863427587,1.0000000000000004,5.03890120680786,0.46
gaussian,20,2,5,75.0,25.0,T_0p05N,N,100,1,1.0,1,0.0,15.619813957931681,0.8475879721526439,0.6535108171233459,0.8491222757597632,1.0,15.2412027847356,0.15
gaussian,20,2,5,75.0,25.0,T_0p05NL_over_Lp2,N_L,100,0,0.0,0,0.0,17.706222585476183,0.9496109879319213,0.7664998474762277,0.9927211863427587,1.0000000000000004,5.03890120680786,0.46
gaussian,20,2,5,75.0,25.0,T_0p075N,N,100,2,2.0,2,0.0,13.626167694041444,0.7517378667333875,0.4998790075645323,0.7383786483213927,0.9907223814099974,24.82621332666124,0.05
gaussian,20,2,5,75.0,25.0,T_0p075NL_over_Lp2,N_L,100,1,1.0,1,0.0,15.619813957931681,0.8475879721526439,0.6535108171233459,0.8491222757597632,1.0,15.2412027847356,0.15
gaussian,20,2,5,75.0,25.0,T_0p10K,K,100,0,0.0,0,0.0,17.706222585476183,0.9496109879319213,0.7664998474762277,0.9927211863427587,1.0000000000000004,5.03890120680786,0.46
gaussian,20,2,5,75.0,25.0,T_0p10N,N,100,2,2.0,2,0.0,13.626167694041444,0.7517378667333875,0.4998790075645323,0.7383786483213927,0.9907223814099974,24.82621332666124,0.05
gaussian,20,2,5,75.0,25.0,T_0p10NL_over_Lp2,N_L,100,1,1.0,1,0.0,15.619813957931681,0.8475879721526439,0.6535108171233459,0.8491222757597632,1.0,15.2412027847356,0.15
gaussian,20,2,5,75.0,25.0,T_0p125NL_over_Lp2,N_L,100,1,1.0,1,0.0,15.619813957931681,0.8475879721526439,0.6535108171233459,0.8491222757597632,1.0,15.2412027847356,0.15
