data_profile,generator_seed,sample,N,L,K,off_pct,active_pct,sigma,P,formula,formula_family,formula_label,formula_T,rule_note,u_bf,u_i,u_g,u_g_db,exact_completed,exact_u_g,fraction_exact_u_g,gap_to_exact_pct,is_exact_best
gaussian,42,0,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best_tested,best tested T per sample,1,,2.3079324085355157,2.278722497283406,3.3951077570322274,5.308535628703677,True,3.8889241686847087,0.8730197889614553,12.698021103854472,False
gaussian,42,0,8,2,2,75.0,25.0,1.0,1.0,T_0p025N,N,T_0p025N,0,,2.1534767527373537,1.7081753170927978,3.3651225785514023,5.2700088853589016,True,3.8889241686847087,0.8653093844433424,13.469061555665762,False
gaussian,42,0,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,N,T_0p05N,0,,2.1534767527373537,1.7081753170927978,3.3651225785514023,5.2700088853589016,True,3.8889241686847087,0.8653093844433424,13.469061555665762,False
gaussian,42,0,8,2,2,75.0,25.0,1.0,1.0,T_0p075N,N,T_0p075N,1,,2.3079324085355157,2.278722497283406,3.3951077570322274,5.308535628703677,True,3.8889241686847087,0.8730197889614553,12.698021103854472,False
gaussian,42,0,8,2,2,75.0,25.0,1.0,1.0,T_0p10N,N,T_0p10N,1,,2.3079324085355157,2.278722497283406,3.3951077570322274,5.308535628703677,True,3.8889241686847087,0.8730197889614553,12.698021103854472,False
gaussian,42,0,8,2,2,75.0,25.0,1.0,1.0,T_0p10K,K,T_0p10K,0,,2.1534767527373537,1.7081753170927978,3.3651225785514023,5.2700088853589016,True,3.8889241686847087,0.8653093844433424,13.469061555665762,False
gaussian,42,0,8,2,2,75.0,25.0,1.0,1.0,T_0p20K,K,T_0p20K,0,,2.1534767527373537,1.7081753170927978,3.3651225785514023,5.2700088853589016,True,3.8889241686847087,0.8653093844433424,13.469061555665762,False
gaussian,42,0,8,2,2,75.0,25.0,1.0,1.0,legacy_T25,legacy,legacy_T25,2,,1.948811114639022,1.625485320264863,2.971690939806305,4.73003640177314,True,3.8889241686847087,0.7641421665497208,23.58578334502792,False
gaussian,42,0,8,2,2,75.0,25.0,1.0,1.0,legacy_T50,legacy,legacy_T50,2,,1.948811114639022,1.625485320264863,2.971690939806305,4.73003640177314,True,3.8889241686847087,0.7641421665497208,23.58578334502792,False
gaussian,42,0,8,2,2,75.0,25.0,1.0,1.0,legacy_T100,legacy,legacy_T100,2,,1.948811114639022,1.625485320264863,2.971690939806305,4.73003640177314,True,3.8889241686847087,0.7641421665497208,23.58578334502792,False
gaussian,42,0,8,2,2,75.0,25.0,1.0,1.0,T_0p05K,K,T_0p05K,0,,2.1534767527373537,1.7081753170927978,3.3651225785514023,5.2700088853589016,True,3.8889241686847087,0.8653093844433424,13.469061555665762,False
gaussian,42,0,8,2,2,75.0,25.0,1.0,1.0,T_0p15K,K,T_0p15K,0,,2.1534767527373537,1.7081753170927978,3.3651225785514023,5.2700088853589016,True,3.8889241686847087,0.8653093844433424,13.469061555665762,False
gaussian,42,0,8,2,2,75.0,25.0,1.0,1.0,T_0p05NL_over_Lp2,N_L,T_0p05NL_over_Lp2,0,,2.1534767527373537,1.7081753170927978,3.3651225785514023,5.2700088853589016,True,3.8889241686847087,0.8653093844433424,13.469061555665762,False
gaussian,42,0,8,2,2,75.0,25.0,1.0,1.0,T_0p075NL_over_Lp2,N_L,T_0p075NL_over_Lp2,0,,2.1534767527373537,1.7081753170927978,3.3651225785514023,5.2700088853589016,True,3.8889241686847087,0.8653093844433424,13.469061555665762,False
gaussian,42,0,8,2,2,75.0,25.0,1.0,1.0,T_0p10NL_over_Lp2,N_L,T_0p10NL_over_Lp2,0,,2.1534767527373537,1.7081753170927978,3.3651225785514023,5.2700088853589016,True,3.8889241686847087,0.8653093844433424,13.469061555665762,False
gaussian,42,0,8,2,2,75.0,25.0,1.0,1.0,T_0p125NL_over_Lp2,N_L,T_0p125NL_over_Lp2,0,,2.1534767527373537,1.7081753170927978,3.3651225785514023,5.2700088853589016,True,3.8889241686847087,0.8653093844433424,13.469061555665762,False
gaussian,42,0,8,2,2,75.0,25.0,1.0,1.0,T_0p15NL_over_Lp2,N_L,T_0p15NL_over_Lp2,1,,2.3079324085355157,2.278722497283406,3.3951077570322274,5.308535628703677,True,3.8889241686847087,0.8730197889614553,12.698021103854472,False
gaussian,42,0,8,2,2,75.0,25.0,1.0,1.0,strong_weak,heuristic,strong/weak H3,3,outside_dense_0_to_K,0.8205620949426471,0.10654750666980385,1.928879655034994,2.853051323693206,True,3.8889241686847087,0.4959931259568297,50.400687404317026,False
