data_profile,generator_seed,sample,N,L,K,off_pct,active_pct,sigma,P,exact_completed,exact_timed_out,exact_candidate_count,exact_evaluated_count,exact_elapsed_seconds,exact_subset,exact_window_T,exact_is_threshold_window,exact_u_bf,exact_u_i,exact_u_g,exact_u_g_db,best_tested_T,best_tested_u_bf,best_tested_u_i,best_tested_u_g,best_tested_u_g_db,best_tested_subset,best_tested_fraction_exact_u_g,best_tested_gap_to_exact_pct
gaussian,42,0,8,2,2,75.0,25.0,1.0,1.0,True,False,28,28,0.00029537297086790204,3 7,,False,2.887063705150489,4.157717436592389,3.8889241686847087,5.8982947478981735,1,2.3079324085355157,2.278722497283406,3.3951077570322274,5.308535628703677,1 3,0.8730197889614553,12.698021103854472
gaussian,42,0,8,2,4,50.0,50.0,1.0,1.0,True,False,70,70,0.00042856798972934484,1 3 6 7,0.0,True,6.940732595091788,19.116695274940046,9.196390060926689,9.63617383401447,0,6.940732595091788,19.116695274940046,9.196390060926689,9.63617383401447,1 3 6 7,1.0,0.0
gaussian,42,1,8,2,2,75.0,25.0,1.0,1.0,True,False,28,28,0.0001920729991979897,3 6,,False,3.0814029928836053,2.0283384690593627,4.092328124456928,6.119704483362883,0,2.5952823094356057,2.773393089214632,3.8905139665465307,5.900069787268217,2 3,0.9506847565071096,4.93152434928904
gaussian,42,1,8,2,4,50.0,50.0,1.0,1.0,True,False,70,70,0.0002857339568436146,0 2 3 7,,False,6.841914235748535,0.41832775787685234,17.571884017011463,12.448183280477473,0,7.232395364596327,6.311962943351202,16.910097114203207,12.281461017456696,2 3 6 7,0.962338306913045,3.7661693086954995
gaussian,42,2,8,2,2,75.0,25.0,1.0,1.0,True,False,28,28,0.00018229498527944088,1 5,,False,1.8973530668400884,1.084288958809117,2.897562275238601,4.620327787173743,0,1.5993880661165356,0.8547755818868782,2.7932521773767034,4.461101459764313,5 7,0.9640007399484423,3.5999260051557735
gaussian,42,2,8,2,4,50.0,50.0,1.0,1.0,True,False,70,70,0.0002466220175847411,1 3 5 7,0.0,True,3.637331061647766,5.0551669475116325,5.35150658464629,7.284760641312381,0,3.637331061647766,5.0551669475116325,5.35150658464629,7.284760641312381,1 3 5 7,1.0,0.0
gaussian,42,3,8,2,2,75.0,25.0,1.0,1.0,True,False,28,28,0.00016560201765969396,0 6,,False,2.4663922895662775,0.44488676991306775,3.4675203645138164,5.4001902033508635,0,1.7599502779022318,0.6720161623795995,3.169706463063626,5.0101904538041495,0 5,0.9141132941862484,8.588670581375158
gaussian,42,3,8,2,4,50.0,50.0,1.0,1.0,True,False,70,70,0.0002827320131473243,0 5 6 7,0.0,True,4.684876997106741,0.14561095595122175,11.073540788288026,10.442865096718826,0,4.684876997106741,0.14561095595122175,11.073540788288026,10.442865096718826,0 5 6 7,1.0,0.0
gaussian,42,4,8,2,2,75.0,25.0,1.0,1.0,True,False,28,28,0.000187463010661304,1 6,0.0,True,2.517923370781538,2.0397210575109987,4.018281986663058,6.040404104994827,0,2.517923370781538,2.0397210575109987,4.018281986663058,6.040404104994827,1 6,1.0,0.0
gaussian,42,4,8,2,4,50.0,50.0,1.0,1.0,True,False,70,70,0.0003013800014741719,1 3 6 7,0.0,True,6.1105443512042905,2.562916738976533,14.913239027002172,11.735719787167154,0,6.1105443512042905,2.562916738976533,14.913239027002172,11.735719787167154,1 3 6 7,1.0,0.0
gaussian,42,5,8,2,2,75.0,25.0,1.0,1.0,True,False,28,28,0.000153798027895391,1 3,0.0,True,2.6692718749239277,3.40566015768456,3.7018290368821654,5.684163576764263,0,2.6692718749239277,3.40566015768456,3.7018290368821654,5.684163576764263,1 3,1.0,0.0
gaussian,42,5,8,2,4,50.0,50.0,1.0,1.0,True,False,70,70,0.00032645504688844085,0 1 2 3,0.0,True,3.7012287589172326,2.6521916776243404,6.7988530988690865,8.324356575824396,0,3.7012287589172326,2.6521916776243413,6.7988530988690865,8.324356575824396,0 1 2 3,1.0,0.0
gaussian,42,6,8,2,2,75.0,25.0,1.0,1.0,True,False,28,28,0.00022461998742073774,0 6,0.0,True,2.077202575948493,1.3776155572979338,3.445571035619783,5.372612079757616,0,2.077202575948493,1.3776155572979338,3.445571035619783,5.372612079757616,0 6,1.0,0.0
gaussian,42,6,8,2,4,50.0,50.0,1.0,1.0,True,False,70,70,0.0002538160188123584,0 2 6 7,,False,2.724621440853591,1.1079948501019974,5.022828216273704,7.009483252827506,0,2.851224597368524,1.7051526732406306,5.0138792472849465,7.0017387033434,0 5 6 7,0.9982183406233636,0.17816593766364353
gaussian,42,7,8,2,2,75.0,25.0,1.0,1.0,True,False,28,28,0.0002605909830890596,5 6,0.0,True,2.063830941363554,0.5928453753566638,3.4865242642978402,5.4239269200300235,0,2.063830941363554,0.5928453753566638,3.4865242642978402,5.4239269200300235,5 6,1.0,0.0
gaussian,42,7,8,2,4,50.0,50.0,1.0,1.0,True,False,70,70,0.0003759050159715116,1 5 6 7,0.0,True,4.5217584079434365,4.30700007051246,8.427749239936178,9.257116050883942,0,4.5217584079434365,4.30700007051246,8.427749239936178,9.257116050883942,1 5 6 7,1.0,0.0
