target_obj,algorithm,win_share,winner_hits,samples,win_fraction,winner_rate
bf,Gurobi-BF,10.0,10.0,10,1.0,1.0
gen,Coutino,1.7833333333333332,7.0,10,0.17833333333333332,0.7
gen,Gurobi-Gen,4.783333333333333,10.0,10,0.47833333333333333,1.0
gen,H1,0.5333333333333333,3.0,10,0.05333333333333333,0.3
gen,H3-threshold-BF,0.3333333333333333,2.0,10,0.03333333333333333,0.2
gen,H3-threshold-Gen,0.7833333333333333,4.0,10,0.07833333333333334,0.4
gen,MISO-EE,1.7833333333333332,7.0,10,0.17833333333333332,0.7
int,Gurobi-Int,10.0,10.0,10,1.0,1.0
