target_obj,exact_objective,sample,seed,N,L,K,algorithm,active_count,valid,u_bf,u_i,u_g,meets_bf_floor,meets_interference_ceiling,objective_gap_pct,subset,elapsed_seconds,enumeration_seconds,gurobi_model_seconds,direct_scan_seconds,target_metric,target_direction,target_value,candidate_count
bf,bf,0,42,22,5,11,Gurobi-BF,11,True,21.790757686425525,103.87074561066655,630.847909360996,True,True,0.0,0 1 2 6 7 9 11 13 14 16 19,114.848318374,92.531656166,22.316662207999997,0.9040030419999994,u_bf,max,21.790757686425525,2440759
bf,bf,0,42,22,5,11,Gurobi-Int,5,True,2.482976521298363,0.6059287548650205,5.980446930438769,True,True,88.6053685831901,1 3 12 18 21,114.01772945700002,92.531656166,21.48607329100001,0.9695032499999741,u_bf,max,2.482976521298363,2440759
bf,bf,0,42,22,5,11,Gurobi-Gen,11,True,20.702091211883562,54.18405642855555,1103.060155188115,True,True,4.996001012026047,0 2 3 4 6 7 9 11 13 14 19,114.31147895699999,92.531656166,21.779822790999987,0.8833395000000053,u_bf,max,20.702091211883562,2440759
bf,bf,0,42,22,5,11,H1,11,True,20.702091211883562,54.18405642855555,1103.060155188115,True,True,4.996001012026047,0 2 3 4 6 7 9 11 13 14 19,0.00034641600001350525,,,,u_bf,max,20.702091211883562,2440759
bf,bf,0,42,22,5,11,H2,11,True,9.749801410632728,8.18815199349757,123.19802937080989,True,True,55.25717117809845,0 3 8 11 12 13 16 17 18 19 20,0.0005698330000143415,,,,u_bf,max,9.749801410632728,2440759
bf,bf,0,42,22,5,11,Coutino,11,True,20.702091211883562,54.18405642855555,1103.060155188115,True,True,4.996001012026047,0 2 3 4 6 7 9 11 13 14 19,0.0009055000000159907,,,,u_bf,max,20.702091211883562,2440759
bf,bf,0,42,22,5,11,MISO-EE,11,True,20.702091211883562,54.18405642855555,1103.060155188115,True,True,4.996001012026047,0 2 3 4 6 7 9 11 13 14 19,0.001736500000021124,,,,u_bf,max,20.702091211883562,2440759
bf,bf,0,42,22,5,11,Pareto-H2,11,True,9.749801410632728,8.18815199349757,123.19802937080989,True,True,55.25717117809845,0 3 8 11 12 13 16 17 18 19 20,0.0016850419999911992,,,,u_bf,max,9.749801410632728,2440759
bf,bf,0,42,22,5,11,H3-threshold-BF,11,True,20.702091211883562,54.18405642855555,1103.060155188115,True,True,4.996001012026047,0 2 3 4 6 7 9 11 13 14 19,0.0003896249999968404,,,,u_bf,max,20.702091211883562,2440759
bf,bf,0,42,22,5,11,H3-threshold-Int,11,True,12.94059350614173,6.635442812410446,332.3452103850728,True,True,40.61430220848619,2 3 4 8 9 11 12 13 14 18 19,0.0013312499999926786,,,,u_bf,max,12.94059350614173,2440759
