data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label
twdp,42,0,500,4,125,1.0,1.0,75.0,25.0,12,1848.506100472085,60338.91126941622,39556263010.385956,105.97215255861735,46537747639.69983,0.8499823265327479,15.001767346725215,False,T_0p025N,N,12,T_0p025N
twdp,42,1,500,4,125,1.0,1.0,75.0,25.0,12,2240.8551510897714,138754.43515464678,77823198177.17068,108.91109074349467,79806976587.80199,0.9751427945845212,2.4857205415478756,False,T_0p025N,N,12,T_0p025N
twdp,42,2,500,4,125,1.0,1.0,75.0,25.0,12,1835.4719054065322,56495.43937249819,36782209884.21824,105.65637818205221,44814318211.96765,0.8207691503916612,17.92308496083388,False,T_0p025N,N,12,T_0p025N
twdp,42,3,500,4,125,1.0,1.0,75.0,25.0,12,2089.8769623337994,112357.77352098818,58616532095.9301,107.68020120889305,60529287733.38132,0.9683995019753661,3.160049802463394,False,T_0p025N,N,12,T_0p025N
twdp,42,4,500,4,125,1.0,1.0,75.0,25.0,12,1849.4196072982209,67249.37237410802,38730917475.859955,105.8805778487619,42077703479.43086,0.9204617712749713,7.953822872502869,False,T_0p025N,N,12,T_0p025N
twdp,42,5,500,4,125,1.0,1.0,75.0,25.0,12,1970.057560241193,23517.552212622864,56346165998.51929,107.5086437038506,57854669475.24674,0.9739259857430718,2.6074014256928235,False,T_0p025N,N,12,T_0p025N
twdp,42,6,500,4,125,1.0,1.0,75.0,25.0,12,2100.6650908786155,48984.655193672304,69313615064.95464,108.40818550150209,71423770937.04721,0.9704558322193256,2.954416778067437,False,T_0p025N,N,12,T_0p025N
twdp,42,7,500,4,125,1.0,1.0,75.0,25.0,12,2190.3070020205114,158156.88145604212,66972478151.40396,108.25896369229861,67959210505.693665,0.9854805206395528,1.4519479360447174,False,T_0p025N,N,12,T_0p025N
twdp,42,8,500,4,125,1.0,1.0,75.0,25.0,12,2051.524991009781,153551.7870242011,50605277544.053314,107.04195811083696,53715482440.074265,0.9420985392900317,5.790146070996826,False,T_0p025N,N,12,T_0p025N
twdp,42,9,500,4,125,1.0,1.0,75.0,25.0,12,2009.2624698312084,103969.00629829674,51768349710.63051,107.14064320612715,56876935854.007286,0.9101817623141727,8.98182376858273,False,T_0p025N,N,12,T_0p025N
twdp,42,10,500,4,125,1.0,1.0,75.0,25.0,12,1833.6362315305928,44101.248011921125,39843351497.69972,106.00355862777208,40874311914.8584,0.9747773022012902,2.522269779870978,False,T_0p025N,N,12,T_0p025N
twdp,42,11,500,4,125,1.0,1.0,75.0,25.0,12,2190.435795664218,160804.56771880956,68717072825.95509,108.37064651367263,77919732163.42157,0.8818956497673057,11.810435023269427,False,T_0p025N,N,12,T_0p025N
twdp,42,12,500,4,125,1.0,1.0,75.0,25.0,12,2005.9634812857387,165280.6478256203,43850930565.88495,106.41978814015417,51464339552.53058,0.8520643798629829,14.793562013701711,False,T_0p025N,N,12,T_0p025N
twdp,42,13,500,4,125,1.0,1.0,75.0,25.0,12,1779.7927015989176,57549.864612466656,33733606727.80206,105.2806277754384,45189750150.29751,0.7464880114540747,25.35119885459253,False,T_0p025N,N,12,T_0p025N
twdp,42,14,500,4,125,1.0,1.0,75.0,25.0,12,1476.2020495265558,31840.9703333151,16490363602.260414,102.17230231673285,18153302325.75487,0.9083946990110348,9.160530098896524,False,T_0p025N,N,12,T_0p025N
twdp,42,15,500,4,125,1.0,1.0,75.0,25.0,12,2431.796171146316,195677.26337890807,100341310283.7174,110.01479767862479,105290790141.85464,0.9529922811722756,4.700771882772436,False,T_0p025N,N,12,T_0p025N
