data_profile,N,L,K,off_pct,active_pct,cases,best_T_min,best_T_p05,best_T_p25,best_T_median,best_T_p75,best_T_p95,best_T_max,best_T_mean,best_T_std,best_T_iqr,best_T_cv,best_T_over_N_mean,best_T_over_K_mean
rician,1000,6,250,75.0,25.0,100,32,53.0,94.25,149.5,210.0,247.0,250,149.51,64.75790112083435,115.75,0.43313424600919237,0.14951,0.59804
rician,1000,6,500,50.0,50.0,100,78,93.95,126.5,169.0,206.25,253.29999999999998,294,170.19,52.742119905453286,79.75,0.3099014037572906,0.17019,0.34038
