data_profile,N,L,K,off_pct,active_pct,formula,formula_family,T,cases,u_g_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,winner_rate
gaussian,500,6,125,75.0,25.0,T_0p025N,N,12,100,29530227847635.824,0.8283231115659468,0.6332156757787816,17.167688843405312,0.03
gaussian,500,6,125,75.0,25.0,T_0p05K,K,6,100,24839409736629.234,0.6860856379283412,0.45871190668633544,31.3914362071659,0.0
gaussian,500,6,125,75.0,25.0,T_0p05N,N,25,100,31204928358664.91,0.8904832770575177,0.7573947491661792,10.951672294248205,0.03
gaussian,500,6,125,75.0,25.0,T_0p05NL_over_Lp2,N_L,19,100,31528950758799.324,0.892386739071637,0.7403735842430144,10.761326092836292,0.06
gaussian,500,6,125,75.0,25.0,T_0p075N,N,38,100,29596192348870.15,0.8522289479870464,0.6560721386234318,14.777105201295367,0.03
gaussian,500,6,125,75.0,25.0,T_0p075NL_over_Lp2,N_L,28,100,30964974419915.754,0.8817829688979758,0.75610606854619,11.821703110202398,0.03
gaussian,500,6,125,75.0,25.0,T_0p10K,K,12,100,29530227847635.824,0.8283231115659468,0.6332156757787816,17.167688843405312,0.03
gaussian,500,6,125,75.0,25.0,T_0p10N,N,50,100,27011522370483.855,0.7800756544756823,0.5699020724482027,21.992434552431764,0.0
gaussian,500,6,125,75.0,25.0,T_0p10NL_over_Lp2,N_L,38,100,29596192348870.15,0.8522289479870464,0.6560721386234318,14.777105201295367,0.03
gaussian,500,6,125,75.0,25.0,T_0p125NL_over_Lp2,N_L,47,100,27686171796837.74,0.8010710886596464,0.5889586650753443,19.892891134035366,0.01
gaussian,500,6,125,75.0,25.0,T_0p15K,K,19,100,31528950758799.324,0.892386739071637,0.7403735842430144,10.761326092836292,0.06
gaussian,500,6,125,75.0,25.0,T_0p15NL_over_Lp2,N_L,56,100,25352752433570.496,0.7348305095820442,0.5649455309318742,26.516949041795588,0.0
gaussian,500,6,125,75.0,25.0,T_0p20K,K,25,100,31204928358664.91,0.8904832770575177,0.7573947491661792,10.951672294248205,0.03
gaussian,500,6,125,75.0,25.0,legacy_T100,legacy,100,100,16392806471313.502,0.4774839744077519,0.335560816076343,52.25160255922483,0.0
gaussian,500,6,125,75.0,25.0,legacy_T25,legacy,25,100,31204928358664.91,0.8904832770575177,0.7573947491661792,10.951672294248205,0.03
gaussian,500,6,125,75.0,25.0,legacy_T50,legacy,50,100,27011522370483.855,0.7800756544756823,0.5699020724482027,21.992434552431764,0.0
gaussian,500,6,250,50.0,50.0,T_0p025N,N,12,100,2.233873832727945e+16,0.7490578010732893,0.5431477574046919,25.09421989267106,0.01
gaussian,500,6,250,50.0,50.0,T_0p05K,K,12,100,2.233873832727945e+16,0.7490578010732893,0.5431477574046919,25.09421989267106,0.01
gaussian,500,6,250,50.0,50.0,T_0p05N,N,25,100,2.608461238289628e+16,0.8909072014174818,0.7622477067348976,10.909279858251809,0.03
gaussian,500,6,250,50.0,50.0,T_0p05NL_over_Lp2,N_L,19,100,2.5306005353916852e+16,0.8585599881875371,0.6586396126119889,14.144001181246294,0.05
gaussian,500,6,250,50.0,50.0,T_0p075N,N,38,100,2.6595593250751144e+16,0.909947382105161,0.7759513017573303,9.005261789483898,0.03
gaussian,500,6,250,50.0,50.0,T_0p075NL_over_Lp2,N_L,28,100,2.6392199363937736e+16,0.8991962080831015,0.7662505111070064,10.080379191689847,0.04
gaussian,500,6,250,50.0,50.0,T_0p10K,K,25,100,2.608461238289628e+16,0.8909072014174818,0.7622477067348976,10.909279858251809,0.03
gaussian,500,6,250,50.0,50.0,T_0p10N,N,50,100,2.5209698818483096e+16,0.8639348018587054,0.7091595301703374,13.606519814129465,0.01
gaussian,500,6,250,50.0,50.0,T_0p10NL_over_Lp2,N_L,38,100,2.6595593250751144e+16,0.909947382105161,0.7759513017573303,9.005261789483898,0.03
gaussian,500,6,250,50.0,50.0,T_0p125NL_over_Lp2,N_L,47,100,2.560963129162836e+16,0.87901111571381,0.7370182735675131,12.098888428619007,0.06
gaussian,500,6,250,50.0,50.0,T_0p15K,K,38,100,2.6595593250751144e+16,0.909947382105161,0.7759513017573303,9.005261789483898,0.03
gaussian,500,6,250,50.0,50.0,T_0p15NL_over_Lp2,N_L,56,100,2.4111473966361924e+16,0.8299042558908412,0.672621794980737,17.0095744109159,0.0
gaussian,500,6,250,50.0,50.0,T_0p20K,K,50,100,2.5209698818483096e+16,0.8639348018587054,0.7091595301703374,13.606519814129465,0.01
gaussian,500,6,250,50.0,50.0,legacy_T100,legacy,100,100,1.652177774684117e+16,0.5697365994085365,0.457961856739996,43.02634005914634,0.0
gaussian,500,6,250,50.0,50.0,legacy_T25,legacy,25,100,2.608461238289628e+16,0.8909072014174818,0.7622477067348976,10.909279858251809,0.03
gaussian,500,6,250,50.0,50.0,legacy_T50,legacy,50,100,2.5209698818483096e+16,0.8639348018587054,0.7091595301703374,13.606519814129465,0.01
