K,sigma,metric,metric_label,heuristic,win_share,winner_hits,samples,win_fraction,winner_rate
250,10000.0,u_g,General objective,H3-threshold-BF,14.0,28.0,30,0.4666666666666667,0.9333333333333333
250,10000.0,u_g,General objective,H3-threshold-Gen,16.0,30.0,30,0.5333333333333333,1.0
250,30000.0,u_g,General objective,H3-threshold-BF,14.5,29.0,30,0.48333333333333334,0.9666666666666667
250,30000.0,u_g,General objective,H3-threshold-Gen,15.5,30.0,30,0.5166666666666667,1.0
250,100000.0,u_g,General objective,H3-threshold-BF,15.0,30.0,30,0.5,1.0
250,100000.0,u_g,General objective,H3-threshold-Gen,15.0,30.0,30,0.5,1.0
250,0.001,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
250,0.003,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
250,0.01,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
250,0.03,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
250,0.1,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
250,0.3,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
250,1.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
250,3.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
250,10.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
250,30.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
250,100.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
250,300.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
250,1000.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
250,3000.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
250,10000.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
250,30000.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
250,100000.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
500,0.001,u_bf,BF gain,H3-threshold-BF,16.0,30.0,30,0.5333333333333333,1.0
500,0.001,u_bf,BF gain,H3-threshold-Gen,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,0.003,u_bf,BF gain,H3-threshold-BF,16.0,30.0,30,0.5333333333333333,1.0
500,0.003,u_bf,BF gain,H3-threshold-Gen,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,0.01,u_bf,BF gain,H3-threshold-BF,16.0,30.0,30,0.5333333333333333,1.0
500,0.01,u_bf,BF gain,H3-threshold-Gen,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,0.03,u_bf,BF gain,H3-threshold-BF,16.0,30.0,30,0.5333333333333333,1.0
500,0.03,u_bf,BF gain,H3-threshold-Gen,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,0.1,u_bf,BF gain,H3-threshold-BF,16.0,30.0,30,0.5333333333333333,1.0
500,0.1,u_bf,BF gain,H3-threshold-Gen,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,0.3,u_bf,BF gain,H3-threshold-BF,16.0,30.0,30,0.5333333333333333,1.0
500,0.3,u_bf,BF gain,H3-threshold-Gen,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,1.0,u_bf,BF gain,H3-threshold-BF,16.0,30.0,30,0.5333333333333333,1.0
500,1.0,u_bf,BF gain,H3-threshold-Gen,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,3.0,u_bf,BF gain,H3-threshold-BF,16.0,30.0,30,0.5333333333333333,1.0
500,3.0,u_bf,BF gain,H3-threshold-Gen,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,10.0,u_bf,BF gain,H3-threshold-BF,16.0,30.0,30,0.5333333333333333,1.0
500,10.0,u_bf,BF gain,H3-threshold-Gen,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,30.0,u_bf,BF gain,H3-threshold-BF,16.0,30.0,30,0.5333333333333333,1.0
500,30.0,u_bf,BF gain,H3-threshold-Gen,14.0,28.0,30,0.4666666666666667,0.9333333333333333
