K,sigma,metric,metric_label,direction,leader,leader_value,leader_geom_eig,leader_sigma_over_geom_eig
500,10.0,u_bf,BF gain,max,H3-threshold-BF,14887.045151192511,3683.830792044602,0.0027441023942574166
500,30.0,u_bf,BF gain,max,H3-threshold-BF,14887.045151192511,3683.830792044602,0.008232307182772363
500,100.0,u_bf,BF gain,max,H3-threshold-BF,14887.045151192511,3683.830792044602,0.027441023942574645
500,300.0,u_bf,BF gain,max,H3-threshold-BF,14887.045151192511,3683.830792044602,0.08232307182772401
500,1000.0,u_bf,BF gain,max,H3-threshold-BF,14887.045151192511,3683.830792044602,0.27441023942574677
500,3000.0,u_bf,BF gain,max,H3-threshold-BF,14887.045151192511,3683.830792044602,0.8232307182772406
500,10000.0,u_bf,BF gain,max,H3-threshold-BF,14887.045151192511,3683.830792044602,2.7441023942574683
500,30000.0,u_bf,BF gain,max,H3-threshold-BF,14887.045151192511,3683.830792044602,8.232307182772406
500,100000.0,u_bf,BF gain,max,H3-threshold-BF,14887.045151192511,3683.830792044602,27.441023942574684
500,0.001,u_g,General objective,max,H3-threshold-Gen,196575409551279.3,3684.3311403611983,2.7437573885648424e-07
500,0.003,u_g,General objective,max,H3-threshold-Gen,196575826917316.12,3684.3311403611983,8.231272165694526e-07
500,0.01,u_g,General objective,max,H3-threshold-Gen,196577287703701.12,3684.3311403611983,2.7437573885648417e-06
500,0.03,u_g,General objective,max,H3-threshold-Gen,196581461424138.62,3684.3311403611983,8.231272165694526e-06
500,0.1,u_g,General objective,max,H3-threshold-Gen,196596069971280.34,3684.3311403611983,2.7437573885648423e-05
500,0.3,u_g,General objective,max,H3-threshold-Gen,196637813182871.6,3684.3311403611983,8.231272165694527e-05
500,1.0,u_g,General objective,max,H3-threshold-Gen,196783966996374.6,3684.3311403611983,0.00027437573885644
500,3.0,u_g,General objective,max,H3-threshold-Gen,197202000178981.2,3684.3311403611983,0.0008231272165694032
500,10.0,u_g,General objective,max,H3-threshold-Gen,198670385436961.47,3684.3311403611983,0.00274375738856479
500,30.0,u_g,General objective,max,H3-threshold-Gen,202911169558528.66,3684.3311403611983,0.008231272165694482
500,100.0,u_g,General objective,max,H3-threshold-Gen,218292737320119.62,3684.3311403611983,0.027437573885648384
500,300.0,u_g,General objective,max,H3-threshold-Gen,267098555162313.84,3684.3311403611983,0.08231272165694523
500,1000.0,u_g,General objective,max,H3-threshold-Gen,504571536579522.94,3684.3311403611983,0.2743757388564842
500,3000.0,u_g,General objective,max,H3-threshold-Gen,2056383174251427.8,3684.3311403611983,0.8231272165694526
500,10000.0,u_g,General objective,max,H3-threshold-BF,3.551295987640047e+16,3683.830792044602,2.7441023942574683
500,30000.0,u_g,General objective,max,H3-threshold-BF,1.2934935420999603e+18,3683.830792044602,8.232307182772406
500,100000.0,u_g,General objective,max,H3-threshold-BF,1.1574241357369814e+20,3683.830792044602,27.441023942574684
500,0.001,u_i,Interference,min,H3-Fast,47.201969822822136,1440.9039090369865,7.190807422608844e-07
500,0.003,u_i,Interference,min,H3-Fast,47.201969822822136,1440.9039090369865,2.1572422267826533e-06
500,0.01,u_i,Interference,min,H3-Fast,47.201969822822136,1440.9039090369865,7.190807422608845e-06
500,0.03,u_i,Interference,min,H3-Fast,47.201969822822136,1440.9039090369865,2.1572422267826533e-05
500,0.1,u_i,Interference,min,H3-Fast,47.201969822822136,1440.9039090369865,7.190807422608288e-05
500,0.3,u_i,Interference,min,H3-Fast,47.201969822822136,1440.9039090369865,0.0002157242226782133
500,1.0,u_i,Interference,min,H3-Fast,47.201969822822136,1440.9039090369865,0.00071908074226084
500,3.0,u_i,Interference,min,H3-Fast,47.201969822822136,1440.9039090369865,0.0021572422267826033
500,10.0,u_i,Interference,min,H3-Fast,47.201969822822136,1440.9039090369865,0.007190807422608793
500,30.0,u_i,Interference,min,H3-Fast,47.201969822822136,1440.9039090369865,0.021572422267826494
500,100.0,u_i,Interference,min,H3-Fast,47.201969822822136,1440.9039090369865,0.07190807422608841
500,300.0,u_i,Interference,min,H3-Fast,47.201969822822136,1440.9039090369865,0.2157242226782653
500,1000.0,u_i,Interference,min,H3-Fast,47.201969822822136,1440.9039090369865,0.7190807422608845
500,3000.0,u_i,Interference,min,H3-Fast,47.201969822822136,1440.9039090369865,2.1572422267826536
500,10000.0,u_i,Interference,min,H3-Fast,47.201969822822136,1440.9039090369865,7.190807422608844
500,30000.0,u_i,Interference,min,H3-Fast,47.201969822822136,1440.9039090369865,21.572422267826536
500,100000.0,u_i,Interference,min,H3-Fast,47.201969822822136,1440.9039090369865,71.90807422608844
