group,cases,fraction_mean,fraction_p05,overlap_frac_mean,swap_count_mean,exact_rank_gaps_mean,exact_window_rate,max_power_ratio_mean,scaled_trace_ratio_mean,eig_min_ratio_mean,eig_balance_delta_mean
exact_match,1619,1.0,0.9999999999999992,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
miss,791,0.9633427461969631,0.8964278056666226,0.8224537227065674,1.1504424778761062,1.4791403286978508,0.0,1.025488596509484,0.9533898043279112,1.4876386025431252,0.11113036961321181
near_miss_99,182,0.9947281235093778,0.9903724244683846,0.8347808937094652,1.0824175824175823,1.3626373626373627,0.0,1.0120653545668798,0.966823701362304,1.1437552150507075,0.08645995572487487
far_miss_95,200,0.9158390456561949,0.8510569133488306,0.7851055194805195,1.315,1.535,0.0,1.0452682107260707,0.9461264259924863,1.4750604048977833,0.12896145873218823
