N,cases,exact_match_rate,near_99_rate,fraction_mean,fraction_p05,fraction_min,overlap_mean,swap_mean,exact_window_rate,rank_gaps_mean
8,300,0.86,0.9,0.9943288245089792,0.9622472552329661,0.8490445822566428,0.9416666666666667,0.14333333333333334,0.86,0.15666666666666668
12,400,0.8325,0.8725,0.9934801782574196,0.9490793750361372,0.8792735826805009,0.9626250000000001,0.17,0.8325,0.21
16,500,0.686,0.752,0.9882064276000477,0.9300804541327669,0.8034864379322697,0.9421309523809525,0.356,0.686,0.45
20,600,0.595,0.69,0.9858182007042771,0.9272467058091037,0.8263902035617917,0.934167328042328,0.48,0.595,0.6133333333333333
24,600,0.54,0.6433333333333333,0.9831783133566144,0.9234411941386493,0.8215942181153963,0.9352655122655122,0.545,0.54,0.7316666666666667
28,10,0.4,0.6,0.9812271349577493,0.9430179054360678,0.9394655006592209,0.9285714285714285,0.6,0.4,0.7
