actual_active_pct,cases,exact_match_rate,near_99_rate,fraction_mean,fraction_p05,fraction_min,overlap_mean,swap_mean,exact_window_rate,best_T_over_N
25.0,505,0.7386138613861386,0.7821782178217822,0.9885160279903247,0.9246435577191482,0.8296441714955637,0.9268882602545969,0.29108910891089107,0.7386138613861386,0.017773455917020273
29.166666666666668,100,0.51,0.63,0.9786349782635193,0.8978337786807375,0.8215942181153963,0.9157142857142857,0.59,0.51,0.029166666666666664
30.0,100,0.63,0.71,0.9837292389534882,0.8997452677154398,0.8452040538718516,0.9316666666666668,0.41,0.63,0.0225
31.25,100,0.76,0.8,0.9889647539318012,0.9085214843827064,0.8772056825329636,0.95,0.25,0.76,0.023125
33.333333333333336,200,0.655,0.72,0.9857355295606754,0.9240731515500118,0.8792735826805009,0.9425,0.375,0.655,0.0225
35.0,100,0.57,0.66,0.983405651985525,0.912081540960109,0.8263902035617917,0.927142857142857,0.51,0.57,0.031
37.5,200,0.78,0.84,0.9920599465007058,0.9407576517709414,0.8034864379322697,0.9516666666666667,0.245,0.78,0.015625
40.0,100,0.58,0.68,0.9859321584179049,0.9375954622277372,0.8853266984904123,0.93375,0.53,0.58,0.032
41.666666666666664,200,0.71,0.795,0.9915217263144152,0.95178743537877,0.8729611293396228,0.9555,0.365,0.71,0.03291666666666667
43.75,100,0.63,0.73,0.9861684091189457,0.9125748033515148,0.8712207536481612,0.9385714285714286,0.43,0.63,0.0275
45.0,100,0.5,0.63,0.9854686111260351,0.9405131288465144,0.84735069774433,0.9344444444444444,0.59,0.5,0.033
45.833333333333336,100,0.56,0.68,0.9871122984708801,0.9475559749225715,0.8434375197556828,0.9545454545454546,0.5,0.56,0.03583333333333333
50.0,505,0.6792079207920793,0.7584158415841584,0.9900959754548806,0.9409620548957008,0.8568637835974461,0.9563672795851014,0.36633663366336633,0.6792079207920793,0.02575200377180575
