source_dir,data_profile,generator_seed,sample,N,L,K,actual_active_pct,sigma,P,best_tested_T,best_fraction_exact,best_gap_pct,best_is_exact_match,exact_is_threshold_window,exact_window_T,overlap_count,overlap_frac,swap_count,exact_rank_min,exact_rank_max,exact_rank_span,exact_rank_gaps,best_rank_min,best_rank_max,best_rank_span,exact_ranks,best_ranks,exact_only_ranks,best_only_ranks,exact_subset,best_tested_subset,exact_u_g,best_u_g,exact_max_power,best_max_power,max_power_ratio_exact_over_best,exact_mean_power,best_mean_power,mean_power_ratio_exact_over_best,exact_scaled_trace,best_scaled_trace,scaled_trace_ratio_exact_over_best,exact_eig_min,best_eig_min,eig_min_ratio_exact_over_best,exact_eig_max,best_eig_max,eig_max_ratio_exact_over_best,exact_eig_balance,best_eig_balance,eig_balance_delta_exact_minus_best
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,0,8,2,2,25.0,1.0,1.0,1,0.8730197889614553,12.698021103854472,False,False,,1,0.5,1,0,2,3,1,1,2,2,0 2,1 2,0,1,3 7,1 3,3.8889241686847087,3.3951077570322292,1.0000000000000002,0.7531618204487358,1.3277359165712854,0.8621673107690163,0.7387482209933841,1.1670651600482669,2.8870637051504886,2.307932408535516,1.2509307874325732,0.0006445576470863745,0.038411341387664,0.016780399324804043,2.8864191475034024,2.2695210671478523,1.2718186181593005,0.00022330701611506502,0.016924866635380575,-0.016701559619265508
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,0,8,2,3,37.5,1.0,1.0,0,1.0,0.0,True,True,0.0,3,1.0,0,0,2,3,0,0,2,3,0 1 2,0 1 2,,,1 3 7,1 3 7,6.213307316944154,6.213307316944154,1.0000000000000002,1.0000000000000002,1.0,0.8258321473289228,0.8258321473289228,1.0,4.68687366043279,4.68687366043279,1.0,0.11514992752560804,0.11514992752560804,1.0,4.571723732907182,4.571723732907182,1.0,0.02518742038079883,0.02518742038079883,0.0
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,0,8,2,4,50.0,1.0,1.0,0,1.0,0.0,True,True,0.0,4,1.0,0,0,3,4,0,0,3,4,0 1 2 3,0 1 2 3,,,1 3 6 7,1 3 6 7,9.19639006092669,9.19639006092669,1.0000000000000002,1.0000000000000002,1.0,0.7575393987780015,0.7575393987780015,1.0,6.940732595091788,6.940732595091788,1.0,0.18588996587481832,0.18588996587481832,1.0,6.754842629216972,6.754842629216972,1.0,0.02751951097584147,0.02751951097584147,0.0
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,0,12,2,3,25.0,1.0,1.0,0,1.0,0.0,True,True,0.0,3,1.0,0,0,2,3,0,0,2,3,0 1 2,0 1 2,,,3 6 7,3 6 7,8.786293091013402,8.786293091013402,1.0,1.0,1.0,0.9437115425697317,0.9437115425697317,1.0,4.259225548538167,4.259225548538167,1.0,1.1255295975079018,1.1255295975079018,1.0,3.1336959510302647,3.1336959510302647,1.0,0.35917000726821047,0.35917000726821047,0.0
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,0,12,2,4,33.333333333333336,1.0,1.0,0,1.0,0.0,True,True,0.0,4,1.0,0,0,3,4,0,0,3,4,0 1 2 3,0 1 2 3,,,3 6 7 10,3 6 7 10,18.116639904015628,18.116639904015628,1.0,1.0,1.0,0.9067026057834522,0.9067026057834522,1.0,6.698246664945481,6.698246664945481,1.0,2.4556839909149777,2.4556839909149777,1.0,4.242562674030504,4.242562674030504,1.0,0.5788209107544044,0.5788209107544044,0.0
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,0,12,2,5,41.666666666666664,1.0,1.0,0,0.9999999999999996,4.440892098500626e-14,True,True,0.0,5,1.0,0,0,4,5,0,0,4,5,0 1 2 3 4,0 1 2 3 4,,,1 3 6 7 10,1 3 6 7 10,28.550342063385305,28.550342063385305,1.0,1.0,1.0,0.8476590220939849,0.8476590220939849,1.0,9.455550920123741,9.455550920123741,1.0,2.664508715915182,2.664508715915182,1.0,6.7910422042085585,6.7910422042085585,1.0,0.3923563770909754,0.3923563770909754,0.0
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,0,12,2,6,50.0,1.0,1.0,0,1.0,0.0,True,True,0.0,6,1.0,0,0,5,6,0,0,5,6,0 1 2 3 4 5,0 1 2 3 4 5,,,1 3 6 7 10 11,1 3 6 7 10 11,41.03694194160838,41.03694194160838,1.0,1.0,1.0,0.780857453476652,0.780857453476652,1.0,11.212993084752648,11.212993084752648,1.0,3.9913016244726207,3.9913016244726207,1.0,7.221691460280027,7.221691460280027,1.0,0.5526823800802277,0.5526823800802277,0.0
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,0,16,2,4,25.0,1.0,1.0,0,1.0,0.0,True,True,0.0,4,1.0,0,0,3,4,0,0,3,4,0 1 2 3,0 1 2 3,,,3 6 7 15,3 6 7 15,17.77189081548877,17.77189081548877,1.0000000000000002,1.0000000000000002,1.0,0.9139353130230563,0.9139353130230563,1.0,7.1656601291252,7.1656601291252,1.0,1.7854874191079082,1.7854874191079082,1.0,5.380172710017292,5.380172710017292,1.0,0.3318643313779735,0.3318643313779735,0.0
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,0,16,2,5,31.25,1.0,1.0,0,0.9908331514351856,0.9166848564814423,False,False,,4,0.8,1,0,5,6,1,0,4,5,0 1 2 3 5,0 1 2 3 4,5,4,3 6 7 8 15,1 3 6 7 15,31.316002353347947,31.02893330211939,1.0000000000000002,1.0000000000000002,1.0,0.8628761484472811,0.8777576748648228,0.9830459740271328,9.485874128274649,10.400714191339944,0.9120406496866313,3.452462822126159,2.4772164801846883,1.3936863611809822,6.03341130614849,7.9234977111552585,0.7614580739582001,0.5722240117473585,0.3126417865555875,0.259582225191771
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,0,16,2,6,37.5,1.0,1.0,0,1.0,0.0,True,True,0.0,6,1.0,0,0,5,6,0,0,5,6,0 1 2 3 4 5,0 1 2 3 4 5,,,1 3 6 7 8 15,1 3 6 7 8 15,53.325387089568814,53.325387089568814,1.0000000000000002,1.0000000000000002,1.0,0.8412379774113824,0.8412379774113824,1.0,12.922124408233849,12.922124408233849,1.0,4.930682472111409,4.930682472111409,1.0,7.991441936122444,7.991441936122444,1.0,0.6169953447104495,0.6169953447104495,0.0
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,0,16,2,7,43.75,1.0,1.0,0,1.0,0.0,True,True,0.0,7,1.0,0,0,6,7,0,0,6,7,0 1 2 3 4 5 6,0 1 2 3 4 5 6,,,1 3 6 7 8 11 15,1 3 6 7 8 11 15,78.80178127914517,78.80178127914517,1.0000000000000002,1.0000000000000002,1.0,0.8069784179123392,0.8069784179123392,1.0,16.21390553478802,16.21390553478802,1.0,6.073530177669904,6.073530177669904,1.0,10.140375357118108,10.140375357118108,1.0,0.5989453017048868,0.5989453017048868,0.0
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,0,16,2,8,50.0,1.0,1.0,0,0.9862085513722388,1.379144862776116,False,False,,7,0.875,1,0,8,9,1,0,7,8,0 1 2 3 4 5 6 8,0 1 2 3 4 5 6 7,8,7,1 3 6 7 8 10 11 15,1 2 3 6 7 8 11 15,110.84005833468412,109.31141336426327,1.0000000000000002,1.0000000000000002,1.0,0.7747157728847989,0.7757588440265762,0.9986554183045296,19.390852347457674,19.687230608727113,0.9849456601002043,7.810729194636525,6.967406079574061,1.121038318339846,11.580123152821146,12.719824529153053,0.9103995991674428,0.6744944843469715,0.5477596065578731,0.1267348777890983
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,0,20,2,5,25.0,1.0,1.0,1,1.0,0.0,True,True,1.0,5,1.0,0,1,5,5,0,1,5,5,1 2 3 4 5,1 2 3 4 5,,,3 7 11 15 19,3 7 11 15 19,12.716809958155025,12.716809958155025,0.5374093509302663,0.5374093509302663,1.0,0.47523183555914306,0.47523183555914306,1.0,5.532583183057981,5.532583183057981,1.0,1.5546223320910248,1.5546223320910248,1.0,3.977960850966956,3.977960850966956,1.0,0.39080885668171667,0.39080885668171667,0.0
