target_obj,algorithm,win_share,winner_hits,samples,win_fraction,winner_rate
bf,Frame-BF,1.5,3.0,3,0.5,1.0
bf,Gurobi-BF,1.5,3.0,3,0.5,1.0
gen,Coutino,0.39285714285714285,2.0,3,0.13095238095238096,0.6666666666666666
gen,Frame-Gen,0.8928571428571428,3.0,3,0.2976190476190476,1.0
gen,Gurobi-Gen,0.8928571428571428,3.0,3,0.2976190476190476,1.0
gen,H1,0.14285714285714285,1.0,3,0.047619047619047616,0.3333333333333333
gen,H3-threshold-BF,0.14285714285714285,1.0,3,0.047619047619047616,0.3333333333333333
gen,H3-threshold-Gen,0.14285714285714285,1.0,3,0.047619047619047616,0.3333333333333333
gen,MISO-EE,0.39285714285714285,2.0,3,0.13095238095238096,0.6666666666666666
int,Frame-Int,1.5,3.0,3,0.5,1.0
int,Gurobi-Int,1.5,3.0,3,0.5,1.0
