data_profile,K,off_pct,formula,T,cases,u_g_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,winner_rate
rayleigh,250,75.0,T_0p05N,50,100,13379487.649725916,0.9554238109200548,0.9045197825542469,4.45761890799451,0.02
rayleigh,250,75.0,T_0p075N,75,100,12772525.67559458,0.9118376618103123,0.8349584466318748,8.816233818968765,0.0
rayleigh,250,75.0,T_0p10K,25,100,13239955.333979582,0.9466273463811342,0.8828034048558111,5.337265361886583,0.02
rayleigh,250,75.0,T_0p10N,100,100,12008549.234451793,0.8575939402554004,0.7901857642590078,14.240605974459973,0.0
rayleigh,250,75.0,T_0p20K,50,100,13379487.649725916,0.9554238109200548,0.9045197825542469,4.45761890799451,0.02
rayleigh,250,75.0,legacy_T100,100,100,12008549.234451793,0.8575939402554004,0.7901857642590078,14.240605974459973,0.0
rayleigh,250,75.0,legacy_T25,25,100,13239955.333979582,0.9466273463811342,0.8828034048558111,5.337265361886583,0.02
rayleigh,250,75.0,legacy_T50,50,100,13379487.649725916,0.9554238109200548,0.9045197825542469,4.45761890799451,0.02
rayleigh,500,50.0,T_0p05N,50,100,86170189.81459142,0.9647064685306549,0.919194922653562,3.5293531469345187,0.03
rayleigh,500,50.0,T_0p075N,75,100,84561387.39872134,0.9463963479331308,0.8902674433161674,5.360365206686912,0.02
rayleigh,500,50.0,T_0p10K,50,100,86170189.81459142,0.9647064685306549,0.919194922653562,3.5293531469345187,0.03
rayleigh,500,50.0,T_0p10N,100,100,81047871.02456443,0.9077519966410119,0.8491177706532483,9.224800335898818,0.0
rayleigh,500,50.0,T_0p20K,100,100,81047871.02456443,0.9077519966410119,0.8491177706532483,9.224800335898818,0.0
rayleigh,500,50.0,legacy_T100,100,100,81047871.02456443,0.9077519966410119,0.8491177706532483,9.224800335898818,0.0
rayleigh,500,50.0,legacy_T25,25,100,81714038.59001982,0.9163037213192032,0.8525145963313557,8.36962786807967,0.01
rayleigh,500,50.0,legacy_T50,50,100,86170189.81459142,0.9647064685306549,0.919194922653562,3.5293531469345187,0.03
