N,L,K,off_pct,heuristic,active_count_mean,u_bf_mean,u_bf_std,u_i_mean,u_i_std,u_g_mean,u_g_std,log2_u_g_per_active_mean,log2_u_g_per_active_std,u_bf_per_active_mean,u_bf_per_active_std,elapsed_seconds_mean,elapsed_seconds_std,samples
1000,1,500,50,Coutino,500.0,17538.272575284747,4344.5579074997095,0.0,0.0,17539.272575284744,4344.557907499709,0.028105595399187788,0.0007942061806894864,35.076545150569494,8.68911581499942,0.12083942000172102,0.008398496543931502,10
1000,1,500,50,Frame-BF,500.0,20859.288975975753,3579.133396919579,0.0,0.0,20860.288975975753,3579.133396919584,0.028656621969642714,0.0005161092758658598,41.7185779519515,7.158266793839156,0.020782200002577154,0.0018318442003313797,10
1000,1,500,50,Frame-Gen,500.0,20859.288975975753,3579.133396919579,0.0,0.0,20860.288975975753,3579.133396919584,0.028656621969642714,0.0005161092758658598,41.7185779519515,7.158266793839156,0.03239028999814764,0.007287242066739422,10
1000,1,500,50,Frame-Int,500.0,13286.79254566428,4052.8144099881933,0.0,0.0,13287.79254566428,4052.814409988191,0.027252318278812672,0.0010041319946703338,26.57358509132856,8.105628819976388,0.2756416499963962,0.012129762576972495,10
1000,1,500,50,H1,500.0,13286.79254566428,4052.8144099881933,0.0,0.0,13287.79254566428,4052.814409988191,0.027252318278812672,0.0010041319946703338,26.57358509132856,8.105628819976388,0.01991124000051059,0.004484890879953472,10
1000,1,500,50,H2,499.3,5284.4942580944025,1162.3675646342356,0.0,0.0,5285.494258094403,1162.3675646342351,0.024693894730125517,0.0007757549414949595,10.585839631407001,2.335781880690957,0.05991873000166379,0.007226714758714219,10
1000,1,500,50,MISO-EE,388.4,13965.78773076957,4253.798137900145,0.0,0.0,13966.787730769569,4253.798137900143,0.035803150726230984,0.004202946744779123,35.64527132511644,8.878391905431695,0.20604682999837678,0.006475439535256341,10
1000,1,500,50,N-H3-Fast,500.0,4926.6232861654,1743.322324205956,0.0,0.0,4927.623286165401,1743.3223242059566,0.02434415536540464,0.001149857903397634,9.8532465723308,3.4866446484119127,9.388999897055327e-05,3.283356628107179e-05,10
1000,1,500,50,Pareto-H2,500.0,13286.79254566428,4052.8144099881933,0.0,0.0,13287.79254566428,4052.814409988191,0.027252318278812672,0.0010041319946703338,26.57358509132856,8.105628819976388,0.17265622999693733,0.008028274825198368,10
1000,1,500,50,S-threshold-BF,500.0,20699.025764321625,3651.7612553734843,0.0,0.0,20700.02576432162,3651.761255373486,0.028631811792580238,0.0005330906174279527,41.39805152864325,7.303522510746969,0.01209123000735417,0.0017693760287962107,10
1000,1,500,50,S-threshold-Gen,500.0,20699.025764321625,3651.7612553734843,0.0,0.0,20700.02576432162,3651.761255373486,0.028631811792580238,0.0005330906174279527,41.39805152864325,7.303522510746969,0.2660118500032695,0.007876737142869092,10
