data_profile,N,L,K,off_pct,active_pct,cases,best_T_min,best_T_p05,best_T_p25,best_T_median,best_T_p75,best_T_p95,best_T_max,best_T_mean,best_T_std,best_T_iqr,best_T_cv,best_T_over_N_mean,best_T_over_K_mean
gaussian,5000,6,1250,75.0,25.0,100,151,161.95,192.5,224.5,259.25,322.54999999999995,406,229.21,47.824657644230754,66.75,0.208649961363949,0.045841999999999994,0.18336799999999998
gaussian,5000,6,2500,50.0,50.0,100,205,233.9,288.0,319.5,361.0,439.05,520,327.29,60.387518778655114,73.0,0.18450768058497086,0.065458,0.130916
