target_obj,exact_objective,target_metric,target_direction,algorithm,active_count_mean,active_count_std,u_bf_mean,u_bf_std,u_i_mean,u_i_std,u_g_mean,u_g_std,target_value_mean,target_value_std,objective_gap_pct_mean,objective_gap_pct_std,elapsed_seconds_mean,elapsed_seconds_std,enumeration_seconds_mean,gurobi_model_seconds_mean,direct_scan_seconds_mean,samples
bf,bf,u_bf,max,Coutino,9.0,0.0,11.841848618878192,3.3584958526184736,25.996752930640497,19.782451245406232,126.1325316847679,101.98691261317474,11.841848618878192,3.3584958526184736,9.369460146546214,7.875968212901001,0.0006743708000000126,4.83565197317033e-05,0.0,0.0,0.0,10
bf,bf,u_bf,max,Gurobi-BF,9.0,0.0,13.284602272925516,4.388784543727217,60.45082436483966,49.644697940492314,87.05452306050609,54.307759994591194,13.284602272925516,4.388784543727217,0.0,0.0,7.029410412500002,0.09333808693973593,5.685359020800001,1.3440513917000012,0.0585348834999996,10
bf,bf,u_bf,max,Gurobi-Gen,9.0,0.0,11.841848618878192,3.3584958526184736,25.996752930640497,19.782451245406232,126.1325316847679,101.98691261317474,11.841848618878192,3.3584958526184736,9.369460146546214,7.875968212901001,7.018244195900001,0.09360728627189882,5.685359020800001,1.332885175100001,0.05600825840000336,10
bf,bf,u_bf,max,Gurobi-Int,4.0,0.0,1.1530263180504474,0.3186926558222786,0.1438614605351673,0.07303013975710264,2.472285800251016,0.4814037946535218,1.1530263180504474,0.3186926558222786,91.11803785587242,1.4509307745285602,6.995465383400003,0.09553129330839351,5.685359020800001,1.310106362600002,0.061001929100000754,10
bf,bf,u_bf,max,H1,9.0,0.0,11.775040398552079,4.298636055286902,35.01306661637992,30.22515920422291,107.66200037761425,90.59265148435036,11.775040398552079,4.298636055286902,12.094146307657208,8.027130610993273,0.0003047872000015772,1.2397434195791636e-05,0.0,0.0,0.0,10
bf,bf,u_bf,max,H2,9.0,0.0,5.991433275171419,2.2644042839528224,1.7692785418090888,1.2371898070913858,39.77492811225246,35.05951999284608,5.991433275171419,2.2644042839528224,54.90354881673702,10.080631997073596,0.0004897584000003619,7.443898490689848e-05,0.0,0.0,0.0,10
bf,bf,u_bf,max,H3-Fast,9.0,0.0,5.512834134601969,1.713344690629018,1.7405916554296599,0.9520942392376933,27.52038812443543,17.507853247866635,5.512834134601969,1.713344690629018,57.9633714469702,5.53764020190023,0.0008213249000025513,8.808071283621819e-05,0.0,0.0,0.0,10
bf,bf,u_bf,max,H3-threshold-BF,9.0,0.0,12.421490781840246,3.9057828335212172,37.59862291332452,29.04590721091821,117.96905151841352,96.20555759432139,12.421490781840246,3.9057828335212172,5.897152733551502,5.075686491147872,0.0003193124000000935,2.1332677058421276e-05,0.0,0.0,0.0,10
bf,bf,u_bf,max,H3-threshold-Gen,9.0,0.0,12.354329948230763,3.9342039568115372,35.963067804576774,29.900180247233887,119.84392445391452,95.90049969816808,12.354329948230763,3.9342039568115372,6.459154059536624,5.56238551897826,0.0017225541999989602,2.283347681499042e-05,0.0,0.0,0.0,10
bf,bf,u_bf,max,H3-threshold-Int,9.0,0.0,5.5988129049178585,2.3789468459624934,1.5436034674481163,1.2721921494212969,36.27546374205856,36.51003061276525,5.5988129049178585,2.3789468459624934,58.5371900155057,7.443064953762755,0.0009752623999998988,4.052944837471408e-05,0.0,0.0,0.0,10
