target_obj,algorithm,exact_objective,sample,seed,N,L,K,candidate_count,active_count,u_bf,u_i,u_g,objective_value,direct_scan_verified,subset,enumeration_seconds,gurobi_model_seconds,direct_scan_seconds,total_seconds
bf,Gurobi-BF,bf,0,42,18,4,9,154394,9,19.542943316120358,107.11915835292744,160.03886749010272,19.542943316120358,True,1 3 4 5 10 11 12 13 15,5.6660298749999995,1.3336288749999996,0.05569570800000001,6.999658749999999
int,Gurobi-Int,interference,0,42,18,4,9,154394,4,1.6534219658778686,0.13153520231676863,3.3774727356664465,0.13153520231676863,True,1 2 6 8,5.6660298749999995,1.3100222499999994,0.062133917000000594,6.976052124999999
gen,Gurobi-Gen,general,0,42,18,4,9,154394,9,15.166587198403548,19.985939088955206,307.06537682014306,307.06537682014306,True,3 7 9 11 12 13 15 16 17,5.6660298749999995,1.347154625,0.060274042000001415,7.0131844999999995
bf,Gurobi-BF,bf,1,43,18,4,9,154394,9,18.467933893410308,103.84190007335445,177.83161931974692,18.467933893410308,True,0 1 3 7 8 9 10 12 16,5.777917292,1.3662568340000014,0.05768841700000138,7.144174126000001
int,Gurobi-Int,interference,1,43,18,4,9,154394,4,1.1649102259125066,0.17475772115387578,2.4434339009762063,0.17475772115387578,True,2 6 13 15,5.777917292,1.2960821250000016,0.0589497080000001,7.073999417000001
gen,Gurobi-Gen,general,1,43,18,4,9,154394,9,17.13199573014188,72.53764981762059,201.9294412289755,201.9294412289755,True,1 3 4 7 8 9 10 12 16,5.777917292,1.3678849999999976,0.05662120799999926,7.145802291999997
bf,Gurobi-BF,bf,2,44,18,4,9,154394,9,10.186344575694665,13.771217780499768,81.01212985549216,10.186344575694665,True,0 1 3 4 5 9 10 12 14,5.803978208,1.3285957089999982,0.06029845900000197,7.132573916999998
int,Gurobi-Int,interference,2,44,18,4,9,154394,4,0.933342059381103,0.1067442547754145,2.176907217126414,0.1067442547754145,True,8 11 13 17,5.803978208,1.3425313340000002,0.06166141699999983,7.146509542
gen,Gurobi-Gen,general,2,44,18,4,9,154394,9,10.186344575694665,13.771217780499768,81.01212985549216,81.01212985549216,True,0 1 3 4 5 9 10 12 14,5.803978208,1.3130215830000012,0.05620091700000174,7.116999791000001
bf,Gurobi-BF,bf,3,45,18,4,9,154394,9,11.001880895838257,38.44275910303426,49.99218920345338,11.001880895838257,True,3 4 7 8 9 12 13 14 15,5.708240833000005,1.342212332999999,0.05642833400000313,7.050453166000004
int,Gurobi-Int,interference,3,45,18,4,9,154394,4,1.0973542091504753,0.15146793095583827,2.437042972766441,0.15146793095583827,True,0 2 8 12,5.708240833000005,1.2734958750000018,0.06270250000000033,6.981736708000007
gen,Gurobi-Gen,general,3,45,18,4,9,154394,9,10.097642708292838,26.12219978747412,52.50405400771106,52.50405400771106,True,6 7 8 9 10 12 13 14 15,5.708240833000005,1.325452792,0.05377091700000136,7.033693625000005
bf,Gurobi-BF,bf,4,46,18,4,9,154394,9,11.784569632341412,49.75107194174386,51.46256669358471,11.784569632341412,True,0 4 5 10 11 12 13 15 17,5.580037250000004,1.3167090829999992,0.05805666700000245,6.896746333000003
int,Gurobi-Int,interference,4,46,18,4,9,154394,4,1.3662390603211778,0.11243507085672366,2.8135562330391184,0.11243507085672366,True,1 2 6 17,5.580037250000004,1.3044968750000052,0.0620884160000017,6.884534125000009
gen,Gurobi-Gen,general,4,46,18,4,9,154394,9,10.954710782114269,34.548704715338786,59.105479872477986,59.105479872477986,True,0 2 3 4 10 11 12 13 15,5.580037250000004,1.2897360839999976,0.0552186659999947,6.869773334000001
bf,Gurobi-BF,bf,5,47,18,4,9,154394,9,9.26927806737099,28.54740748412616,39.61806247536313,9.26927806737099,True,0 1 5 6 7 9 11 12 13,5.5553906669999975,1.3520295829999966,0.056883917000000395,6.907420249999994
int,Gurobi-Int,interference,5,47,18,4,9,154394,4,0.8214934706894461,0.09253942309607188,1.9785175757794031,0.09253942309607188,True,2 8 10 14,5.5553906669999975,1.288151500000005,0.06011645800000309,6.8435421670000025
gen,Gurobi-Gen,general,5,47,18,4,9,154394,9,8.38872825573103,14.154856084297933,46.94636493905189,46.94636493905189,True,1 2 5 6 7 9 12 13 17,5.5553906669999975,1.3375170420000018,0.0555358750000039,6.892907708999999
bf,Gurobi-BF,bf,6,48,18,4,9,154394,9,19.82316253681979,162.59180178010394,152.60845200284848,19.82316253681979,True,0 2 4 7 11 12 13 14 15,5.737841333999995,1.3749687080000115,0.0653497079999994,7.112810042000007
int,Gurobi-Int,interference,6,48,18,4,9,154394,4,1.5940237551277534,0.3334770528075319,2.9914141046162412,0.3334770528075319,True,3 6 9 16,5.737841333999995,1.340655874999996,0.06081383299999743,7.078497208999991
gen,Gurobi-Gen,general,6,48,18,4,9,154394,9,17.206012862215175,42.959866914567,286.8537612565878,286.8537612565878,True,1 2 4 5 8 12 13 14 15,5.737841333999995,1.3005540410000123,0.0547836250000131,7.0383953750000074
bf,Gurobi-BF,bf,7,49,18,4,9,154394,9,13.98164780753606,65.95442289961773,64.27596343132996,13.98164780753606,True,0 1 3 5 8 10 11 12 15,5.758543790999994,1.3505671670000083,0.05977841700000397,7.109110958000002
int,Gurobi-Int,interference,7,49,18,4,9,154394,4,1.2330630947877261,0.15196947898740487,2.5244463410885936,0.15196947898740487,True,6 10 14 16,5.758543790999994,1.3082390000000004,0.06076500000000351,7.066782790999994
gen,Gurobi-Gen,general,7,49,18,4,9,154394,9,10.897711510600587,8.031955282692913,122.38258539251443,122.38258539251443,True,1 2 4 5 7 10 11 12 15,5.758543790999994,1.3630033750000052,0.05735466700001268,7.121547165999999
bf,Gurobi-BF,bf,8,50,18,4,9,154394,9,9.953589837612974,25.253855757170914,47.598356025630274,9.953589837612974,True,0 1 5 9 10 11 12 13 15,5.632021083000012,1.3552176250000088,0.058146582999995644,6.987238708000021
int,Gurobi-Int,interference,8,50,18,4,9,154394,4,0.9934593900338731,0.10608476090848773,2.1893297389181345,0.10608476090848773,True,7 8 14 16,5.632021083000012,1.3455169590000082,0.059296250000002715,6.97753804200002
gen,Gurobi-Gen,general,8,50,18,4,9,154394,9,9.580402395124182,19.18428156858696,50.53480352361745,50.53480352361745,True,0 1 5 9 11 12 13 15 16,5.632021083000012,1.345722834,0.05474254199999962,6.977743917000012
bf,Gurobi-BF,bf,9,51,18,4,9,154394,9,8.834672166510348,9.234648475818112,46.10702410750914,8.834672166510348,True,2 3 5 6 7 8 9 11 16,5.633589874999998,1.3203279999999893,0.05702262499998767,6.953917874999988
int,Gurobi-Int,interference,9,51,18,4,9,154394,4,0.6729559492225453,0.0776037094935556,1.790737182533162,0.0776037094935556,True,1 10 14 16,5.633589874999998,1.2918718330000019,0.06149179199999821,6.925461708
gen,Gurobi-Gen,general,9,51,18,4,9,154394,9,8.808350170463754,8.67085826637167,52.99131995110758,52.99131995110758,True,2 3 5 6 7 8 9 11 12,5.633589874999998,1.3388043749999952,0.055580125000005864,6.972394249999994
