target_obj,exact_objective,sample,seed,N,L,K,algorithm,active_count,valid,u_bf,u_i,u_g,meets_bf_floor,meets_interference_ceiling,objective_gap_pct,subset,elapsed_seconds,enumeration_seconds,gurobi_model_seconds,direct_scan_seconds,target_metric,target_direction,target_value,candidate_count
bf,bf,0,42,18,4,9,Gurobi-BF,9,True,19.542943316120358,107.11915835292744,160.03886749010272,True,True,0.0,1 3 4 5 10 11 12 13 15,6.999658749999999,5.6660298749999995,1.3336288749999996,0.05569570800000001,u_bf,max,19.542943316120358,154394
bf,bf,0,42,18,4,9,Gurobi-Int,4,True,1.6534219658778686,0.13153520231676863,3.3774727356664465,True,True,91.5395447905024,1 2 6 8,6.976052124999999,5.6660298749999995,1.3100222499999994,0.062133917000000594,u_bf,max,1.6534219658778686,154394
bf,bf,0,42,18,4,9,Gurobi-Gen,9,True,15.166587198403548,19.985939088955206,307.06537682014306,True,True,22.39353636208366,3 7 9 11 12 13 15 16 17,7.0131844999999995,5.6660298749999995,1.347154625,0.060274042000001415,u_bf,max,15.166587198403548,154394
bf,bf,0,42,18,4,9,H1,9,True,16.14124538608322,36.93971753570732,251.7363154402397,True,True,17.40627230510966,0 3 5 7 9 11 12 13 15,0.0003191659999988161,,,,u_bf,max,16.14124538608322,154394
bf,bf,0,42,18,4,9,H2,9,True,9.654131202518979,3.4007105503002713,115.8678972922278,True,True,50.60042366005539,1 4 6 7 9 12 13 14 16,0.0004737499999993844,,,,u_bf,max,9.654131202518979,154394
bf,bf,0,42,18,4,9,Coutino,9,True,15.166587198403548,19.985939088955206,307.06537682014306,True,True,22.39353636208366,3 7 9 11 12 13 15 16 17,0.0007100419999996888,,,,u_bf,max,15.166587198403548,154394
bf,bf,0,42,18,4,9,MISO-EE,9,True,15.166587198403548,19.985939088955206,307.06537682014306,True,True,22.39353636208366,3 7 9 11 12 13 15 16 17,0.0013687920000009512,,,,u_bf,max,15.166587198403548,154394
bf,bf,0,42,18,4,9,Pareto-H2,9,True,9.654131202518979,3.4007105503002713,115.8678972922278,True,True,50.60042366005539,1 4 6 7 9 12 13 14 16,0.0013708749999992165,,,,u_bf,max,9.654131202518979,154394
bf,bf,0,42,18,4,9,H3-threshold-BF,9,True,17.259571976452694,43.756823446283136,302.72457577253925,True,True,11.683866154307385,3 5 7 9 11 12 13 15 16,0.0003175419999994489,,,,u_bf,max,17.259571976452694,154394
bf,bf,0,42,18,4,9,H3-threshold-Int,9,True,9.654131202518979,3.4007105503002713,115.8678972922278,True,True,50.60042366005539,1 4 6 7 9 12 13 14 16,0.0009862079999987117,,,,u_bf,max,9.654131202518979,154394
bf,bf,0,42,18,4,9,H3-threshold-Gen,9,True,17.259571976452694,43.756823446283136,302.72457577253925,True,True,11.683866154307385,3 5 7 9 11 12 13 15 16,0.0017167089999983176,,,,u_bf,max,17.259571976452694,154394
bf,bf,0,42,18,4,9,H3-Fast,9,True,8.782581038576161,3.519082082871492,53.973179487424645,True,True,55.060090506778025,1 2 4 5 6 7 8 14 16,0.0007514159999999492,,,,u_bf,max,8.782581038576161,154394
int,interference,0,42,18,4,9,Gurobi-BF,9,True,19.542943316120358,107.11915835292744,160.03886749010272,True,True,81337.63529930076,1 3 4 5 10 11 12 13 15,6.999658749999999,5.6660298749999995,1.3336288749999996,0.05569570800000001,u_i,min,107.11915835292744,154394
int,interference,0,42,18,4,9,Gurobi-Int,4,True,1.6534219658778686,0.13153520231676863,3.3774727356664465,True,True,0.0,1 2 6 8,6.976052124999999,5.6660298749999995,1.3100222499999994,0.062133917000000594,u_i,min,0.13153520231676863,154394
int,interference,0,42,18,4,9,Gurobi-Gen,9,True,15.166587198403548,19.985939088955206,307.06537682014306,True,True,15094.36526263458,3 7 9 11 12 13 15 16 17,7.0131844999999995,5.6660298749999995,1.347154625,0.060274042000001415,u_i,min,19.985939088955206,154394
int,interference,0,42,18,4,9,H1,9,True,16.14124538608322,36.93971753570732,251.7363154402397,True,True,27983.522042067132,0 3 5 7 9 11 12 13 15,0.0002987500000006804,,,,u_i,min,36.93971753570732,154394
int,interference,0,42,18,4,9,H2,9,True,9.654131202518979,3.4007105503002713,115.8678972922278,True,True,2485.3995663537557,1 4 6 7 9 12 13 14 16,0.000452916000000414,,,,u_i,min,3.4007105503002713,154394
int,interference,0,42,18,4,9,Coutino,9,True,15.166587198403548,19.985939088955206,307.06537682014306,True,True,15094.36526263458,3 7 9 11 12 13 15 16 17,0.0006249999999994316,,,,u_i,min,19.985939088955206,154394
int,interference,0,42,18,4,9,MISO-EE,9,True,15.166587198403548,19.985939088955206,307.06537682014306,True,True,15094.36526263458,3 7 9 11 12 13 15 16 17,0.0013265839999991869,,,,u_i,min,19.985939088955206,154394
int,interference,0,42,18,4,9,Pareto-H2,9,True,9.654131202518979,3.4007105503002713,115.8678972922278,True,True,2485.3995663537557,1 4 6 7 9 12 13 14 16,0.0014640840000001987,,,,u_i,min,3.4007105503002713,154394
int,interference,0,42,18,4,9,H3-threshold-BF,9,True,17.259571976452694,43.756823446283136,302.72457577253925,True,True,33166.24559477706,3 5 7 9 11 12 13 15 16,0.00046320899999940934,,,,u_i,min,43.756823446283136,154394
int,interference,0,42,18,4,9,H3-threshold-Int,9,True,9.654131202518979,3.4007105503002713,115.8678972922278,True,True,2485.3995663537557,1 4 6 7 9 12 13 14 16,0.0010082909999997725,,,,u_i,min,3.4007105503002713,154394
int,interference,0,42,18,4,9,H3-threshold-Gen,9,True,17.259571976452694,43.756823446283136,302.72457577253925,True,True,33166.24559477706,3 5 7 9 11 12 13 15 16,0.0017409589999992647,,,,u_i,min,43.756823446283136,154394
int,interference,0,42,18,4,9,H3-Fast,9,True,8.782581038576161,3.519082082871492,53.973179487424645,True,True,2575.3918501578687,1 2 4 5 6 7 8 14 16,0.0008661250000017162,,,,u_i,min,3.519082082871492,154394
gen,general,0,42,18,4,9,Gurobi-BF,9,True,19.542943316120358,107.11915835292744,160.03886749010272,True,True,47.88117463863663,1 3 4 5 10 11 12 13 15,6.999658749999999,5.6660298749999995,1.3336288749999996,0.05569570800000001,u_g,max,160.03886749010272,154394
gen,general,0,42,18,4,9,Gurobi-Int,4,True,1.6534219658778686,0.13153520231676863,3.3774727356664465,True,True,98.90008024654479,1 2 6 8,6.976052124999999,5.6660298749999995,1.3100222499999994,0.062133917000000594,u_g,max,3.3774727356664465,154394
gen,general,0,42,18,4,9,Gurobi-Gen,9,True,15.166587198403548,19.985939088955206,307.06537682014306,True,True,0.0,3 7 9 11 12 13 15 16 17,7.0131844999999995,5.6660298749999995,1.347154625,0.060274042000001415,u_g,max,307.06537682014306,154394
