data_profile,N,L,K,off_pct,active_pct,formula,formula_family,T,cases,u_g_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,winner_rate
twdp,500,2,125,75.0,25.0,T_0p025N,N,12,100,2764695.7499523666,0.9513717223545468,0.889589446722956,4.862827764545321,0.04
twdp,500,2,125,75.0,25.0,T_0p05K,K,6,100,2674746.7216209318,0.9200026814599327,0.8345621599644751,7.999731854006732,0.03
twdp,500,2,125,75.0,25.0,T_0p05N,N,25,100,2784725.264859974,0.9586064877822382,0.9059268874485907,4.139351221776191,0.01
twdp,500,2,125,75.0,25.0,T_0p05NL_over_Lp2,N_L,12,100,2764695.7499523666,0.9513717223545468,0.889589446722956,4.862827764545321,0.04
twdp,500,2,125,75.0,25.0,T_0p075N,N,38,100,2698926.047191673,0.929831630373276,0.8704263190297843,7.016836962672385,0.0
twdp,500,2,125,75.0,25.0,T_0p075NL_over_Lp2,N_L,19,100,2798416.6476725214,0.9633882721139007,0.9228771354424202,3.6611727886099343,0.07
twdp,500,2,125,75.0,25.0,T_0p10K,K,12,100,2764695.7499523666,0.9513717223545468,0.889589446722956,4.862827764545321,0.04
twdp,500,2,125,75.0,25.0,T_0p10N,N,50,100,2579719.998804093,0.8890269669026705,0.8173198656834592,11.097303309732936,0.0
twdp,500,2,125,75.0,25.0,T_0p10NL_over_Lp2,N_L,25,100,2784725.264859974,0.9586064877822382,0.9059268874485907,4.139351221776191,0.01
twdp,500,2,125,75.0,25.0,T_0p125NL_over_Lp2,N_L,31,100,2749188.504849642,0.9471979153881597,0.8992036721547634,5.28020846118402,0.02
twdp,500,2,125,75.0,25.0,T_0p15K,K,19,100,2798416.6476725214,0.9633882721139007,0.9228771354424202,3.6611727886099343,0.07
twdp,500,2,125,75.0,25.0,T_0p15NL_over_Lp2,N_L,38,100,2698926.047191673,0.929831630373276,0.8704263190297843,7.016836962672385,0.0
twdp,500,2,125,75.0,25.0,T_0p20K,K,25,100,2784725.264859974,0.9586064877822382,0.9059268874485907,4.139351221776191,0.01
twdp,500,2,125,75.0,25.0,legacy_T100,legacy,100,100,2030522.11126465,0.7006972677351142,0.6314610995059995,29.93027322648858,0.0
twdp,500,2,125,75.0,25.0,legacy_T25,legacy,25,100,2784725.264859974,0.9586064877822382,0.9059268874485907,4.139351221776191,0.01
twdp,500,2,125,75.0,25.0,legacy_T50,legacy,50,100,2579719.998804093,0.8890269669026705,0.8173198656834592,11.097303309732936,0.0
twdp,500,2,250,50.0,50.0,T_0p025N,N,12,100,22663671.163126074,0.9389309787423001,0.869060053740185,6.106902125769993,0.02
twdp,500,2,250,50.0,50.0,T_0p05K,K,12,100,22663671.163126074,0.9389309787423001,0.869060053740185,6.106902125769993,0.02
twdp,500,2,250,50.0,50.0,T_0p05N,N,25,100,23337229.427581396,0.9672700008039178,0.9226442900881923,3.2729999196082162,0.02
twdp,500,2,250,50.0,50.0,T_0p05NL_over_Lp2,N_L,12,100,22663671.163126074,0.9389309787423001,0.869060053740185,6.106902125769993,0.02
twdp,500,2,250,50.0,50.0,T_0p075N,N,38,100,22891462.495375138,0.9498121312279103,0.896406140362807,5.01878687720897,0.01
twdp,500,2,250,50.0,50.0,T_0p075NL_over_Lp2,N_L,19,100,23255986.564506635,0.9639898993968962,0.9215368014329522,3.6010100603103883,0.04
twdp,500,2,250,50.0,50.0,T_0p10K,K,25,100,23337229.427581396,0.9672700008039178,0.9226442900881923,3.2729999196082162,0.02
twdp,500,2,250,50.0,50.0,T_0p10N,N,50,100,22027418.505964812,0.91435952210789,0.8624759464549525,8.564047789211013,0.0
twdp,500,2,250,50.0,50.0,T_0p10NL_over_Lp2,N_L,25,100,23337229.427581396,0.9672700008039178,0.9226442900881923,3.2729999196082162,0.02
twdp,500,2,250,50.0,50.0,T_0p125NL_over_Lp2,N_L,31,100,23174179.54709986,0.9616101515800449,0.925383501377518,3.838984841995511,0.05
twdp,500,2,250,50.0,50.0,T_0p15K,K,38,100,22891462.495375138,0.9498121312279103,0.896406140362807,5.01878687720897,0.01
twdp,500,2,250,50.0,50.0,T_0p15NL_over_Lp2,N_L,38,100,22891462.495375138,0.9498121312279103,0.896406140362807,5.01878687720897,0.01
twdp,500,2,250,50.0,50.0,T_0p20K,K,50,100,22027418.505964812,0.91435952210789,0.8624759464549525,8.564047789211013,0.0
twdp,500,2,250,50.0,50.0,legacy_T100,legacy,100,100,17164044.306755807,0.7134214393589049,0.6463413809962181,28.657856064109502,0.0
twdp,500,2,250,50.0,50.0,legacy_T25,legacy,25,100,23337229.427581396,0.9672700008039178,0.9226442900881923,3.2729999196082162,0.02
twdp,500,2,250,50.0,50.0,legacy_T50,legacy,50,100,22027418.505964812,0.91435952210789,0.8624759464549525,8.564047789211013,0.0
