data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label
rayleigh,42,0,1000,6,250,1.0,1.0,75.0,25.0,25,3865.7872044319042,181456.92209274782,5.6496115624875576e+16,167.52018589046443,7.630934777349333e+16,0.7403564212417494,25.964357875825062,False,T_0p025N,N,25,T_0p025N
rayleigh,42,1,1000,6,250,1.0,1.0,75.0,25.0,25,4052.3685316494343,205337.0448384318,7.639792000720722e+16,168.8308153473159,8.454970005831862e+16,0.9035859376734787,9.641406232652127,False,T_0p025N,N,25,T_0p025N
rayleigh,42,2,1000,6,250,1.0,1.0,75.0,25.0,25,3935.3910514298777,194647.25745835656,5.9988632826367976e+16,167.78068964242337,8.086822221229858e+16,0.7418072412780802,25.819275872191984,False,T_0p025N,N,25,T_0p025N
rayleigh,42,3,1000,6,250,1.0,1.0,75.0,25.0,25,4030.5254551061194,214307.3596050904,7.075136250345535e+16,168.49734807758654,8.707966778003347e+16,0.8124900370793325,18.750996292066745,False,T_0p025N,N,25,T_0p025N
rayleigh,42,4,1000,6,250,1.0,1.0,75.0,25.0,25,4132.853543253384,152366.31999464263,9.072258959782317e+16,169.57715438285976,9.44640893580438e+16,0.9603923587720263,3.9607641227973667,False,T_0p025N,N,25,T_0p025N
rayleigh,42,5,1000,6,250,1.0,1.0,75.0,25.0,25,4779.233767536278,336066.5215202425,1.9444645474684218e+17,172.8880002926327,2.2181150989469654e+17,0.8766292373157474,12.337076268425262,False,T_0p025N,N,25,T_0p025N
rayleigh,42,6,1000,6,250,1.0,1.0,75.0,25.0,25,3737.7321952183374,182992.56815883375,4.6133869942372824e+16,166.64019886954316,5.066058452126266e+16,0.9106462228640506,8.935377713594939,False,T_0p025N,N,25,T_0p025N
rayleigh,42,7,1000,6,250,1.0,1.0,75.0,25.0,25,3769.8318747187404,184808.99975494837,4.87286924728555e+16,166.87784758201687,6.028779783622681e+16,0.8082679119451024,19.17320880548976,False,T_0p025N,N,25,T_0p025N
rayleigh,42,8,1000,6,250,1.0,1.0,75.0,25.0,25,3788.840699007148,163006.8993380528,5.1786438427343096e+16,167.14216043774417,5.4206792796911736e+16,0.9553496112814382,4.465038871856175,False,T_0p025N,N,25,T_0p025N
rayleigh,42,9,1000,6,250,1.0,1.0,75.0,25.0,25,4671.880848121143,325044.67776609724,1.632394117869866e+17,172.12825021177647,1.7737135300236474e+17,0.9203256840737425,7.967431592625751,False,T_0p025N,N,25,T_0p025N
