algorithm,active_count,valid,u_bf,u_i,u_g,meets_bf_floor,meets_interference_ceiling,objective_gap_pct,subset,elapsed_seconds
Gurobi optimum,5,True,9.035585986598992,2.63096138235926,26.928516274409876,True,True,0.0,1 3 6 8 9,0.0
H1,5,True,9.611804155398682,12.355259379872578,26.490637309074753,True,True,1.6260790638184512,1 3 7 8 9,0.00013062500000005084
H2,5,True,7.672726488352394,0.1353546570452835,21.723413738622142,True,True,19.3293328260129,0 3 5 8 9,0.00013462499999999933
Coutino,5,True,9.035585986598992,2.63096138235926,26.928516274409876,True,True,0.0,1 3 6 8 9,0.00024162500000002307
MISO-EE,5,True,9.035585986598992,2.63096138235926,26.928516274409876,True,True,0.0,1 3 6 8 9,0.0004673749999999921
Pareto-H2,5,True,7.672726488352394,0.1353546570452835,21.723413738622142,True,True,19.3293328260129,0 3 5 8 9,0.0004881250000000059
